xml:id	url	Sprache	Wörterbuch	Lnummer	Lemma_bereinigt	Lemma	Varianten	Wortart	Level	Definition	Konzept	Stringabgleich	ModernGBERT	Llama
EA00652	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=A00652	Q11	Q8	L2	Amors	Amors		Q13	3.	schlechter Schnaps	Q38	Q38	Q38	Q38
EF00900	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=F00900	Q11	Q8	L3	Fusel	Fusel		Q13		geringer, schlechter Branntwein	Q38	Q38	Q38	Q38
EF01024	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=F01024	Q11	Q8	L4	Vitriol	Vitriol		Q13	2.	schlechter Branntwein	Q38	Q38	Q38	Q38
EG00225	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G00225	Q11	Q8	L5	Rattengift	Rattengift		Q13	1.	Schnaps	Q38	Q38	Q38	Q38
EG00272	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G00272	Q11	Q8	L6	Giger	Giger		Q13	4.	schlechte Sorte Branntwein	Q38		Q38	Q38
EG00282	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G00282	Q11	Q8	L1	Giges, Gigs	Giges	Gigs	Q13		schlechter Branntwein, Fusel; schlechter Wein	Q38; Q36	Q38; Q36	Q36; Q38	Q38; Q36
EG00283	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G00283	Q11	Q8	L7	Burlegiges	Burlegiges		Q13	1.	schlechter, gewässerter Wein	Q36	Q36	Q36	Q36
EG01048	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G01048	Q11	Q8	L8	Geist	Geist		Q13	2.	Weingeist, Alkohol	Q38		Q38	Q38
EG01127	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G01127	Q11	Q8	L9	Herrgöttel	Herrgöttel		Q13	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Q35; Q36	Q36	Q36; Q35	Q35; Q36
EG01147	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G01147	Q11	Q8	L10	gutteren	gutteren		Q14	1.	aus einem Fläschchen trinken	Q20	Q20	Q20	Q20
EG01325	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G01325	Q11	Q8	L11	gluckeren	gluckeren		Q14		schlürfen, trinken	Q27	Q20; Q27	Q27	Q27
EG01330	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=G01330	Q11	Q8	L12	glucklen	glucklen		Q14	2.	trinken	Q20	Q20	Q20	Q20
EH00174	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=H00174	Q11	Q8	L13	huchen	huchen		Q13	2.	trinken, bes. übermässig	Q25	Q20	Q25	Q23
EH01203	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=H01203	Q11	Q8	L14	hüpperen	hüpperen		Q14	4.	trinken	Q20	Q20	Q20	Q20
EK00182	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K00182	Q11	Q8	L15	Kaffee, Kaffi	Kaffee	Kaffi	Q13	1.	Kaffee	Q42	Q42	Q42	Q42
EK00183	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K00183	Q11	Q8	L16	Schokelakaffee	Schokelakaffee		Q13		Milchschokolade mit Brot	Q43			Q32
EK01109	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K01109	Q11	Q8	L17	Kirse, Kirs, Kirsch	Kirse	Kirs, Kirsch	Q13	2.	Kirschbranntwein	Q38	Q38	Q38	Q38
EK01581	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K01581	Q11	Q8	L18	klëmmen	klëmmen		Q14	3.	trinken	Q20	Q20	Q20	Q20
EK01653	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K01653	Q11	Q8	L19	klepfen	klepfen		Q14	4.	wegschnappen, verzehren (Obst; eine Flasche Wein)	Q23	Q36		
EK01662	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K01662	Q11	Q8	L20	klopfen	klopfen		Q14	1.	schlagen, hämmern; mit dem Glase auf den Tisch klopfen, wenn man im Wirtshaus noch etwas wünscht; trinken	Q20	Q20		
EK01744	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K01744	Q11	Q8	L21	Kläwner, Kläwer, Kläfler	Kläwner	Kläwer, Kläfler	Q13	2.	Wein daraus	Q36	Q36	Q36	Q36
EK02026	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K02026	Q11	Q8	L22	Kräbel	Kräbel		Q13		Branntwein	Q38	Q38	Q38	Q38
EK02032	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=K02032	Q11	Q8	L23	Krëbser	Krëbser		Q13	1.	Schnaps	Q38	Q38	Q38	Q38
EL00173	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L00173	Q11	Q8	L24	verlëchen	verlëchen		Q14	2.	austrocknen, verschmachten vor Durst	Q21		Q21	Q21
EL00463	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L00463	Q11	Q8	L25	Vorlauf	Vorlauf		Q13	2.	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Q38	Q38; Q20	Q38	
EL00740	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L00740	Q11	Q8	L26	lällen	lällen		Q14	1.	lechzen vor Hitze und Durst, von Hunden, Rindern, Federvieh, zuweilen übtr. auch vom Menschen gesagt: vor Durst die Zunge heraushängen lassen	Q21	Q21	Q21	Q20; Q21
EL01062	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01062	Q11	Q8	L27	läppelen	läppelen		Q14	2.	saufen (vom Hund)	Q20	Q23	Q20	Q23
EL01062	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01062	Q11	Q8	L27	läppelen	läppelen		Q14	1.	trinken mit dem Nebengedanken des Behaglichen, Langsamen	Q24	Q20	Q24	Q24
EL01063	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01063	Q11	Q8	L28	läpperen	läpperen		Q14	1.	schlürfen, schlappern (von Hunden); langsam und behaglich, langsam trinken	Q27; Q24	Q20; Q27	Q24; Q27	Q27; Q24
EL01080	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01080	Q11	Q8	L29	lipplen	lipplen		Q14	2.	saufen (von der Katze)	Q20	Q23	Q20	Q23
EL01179	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01179	Q11	Q8	L30	Lure, Lur, Lür	Lure	Lur, Lür	Q13	4.	schlechte Brühe überhaupt, bes. Kaffee	Q42	Q42	Q42	Q42
EL01179	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01179	Q11	Q8	L30	Lure, Lur, Lür	Lure	Lur, Lür	Q13	3.	schlechter Schnaps	Q38	Q38	Q38	Q38
EL01179	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01179	Q11	Q8	L30	Lure, Lur, Lür	Lure	Lur, Lür	Q13	1.	leichter Wein, hergestellt durch Vermischen mit Wasser	Q36	Q36	Q34	Q36
EL01179	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01179	Q11	Q8	L30	Lure, Lur, Lür	Lure	Lur, Lür	Q13	2.	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	Q36	Q22	Q36	Q36
EL01180	https://woerterbuchnetz.de/?sigle=ElsWB&lemid=L01180	Q11	Q8	L31	Lappenlure, Lappenlur, Lappenlür	Lappenlure	Lappenlur, Lappenlür	Q13	1.	schwacher, saurer, matter, verwässerter Wein oder Kaffee	Q42; Q36	Q36	Q40	Q36; Q42
