Konzept	Begriff	Begriffsvarianten	Quelle	Referenz	Wikidata_exact	Wikidata-Label	Wikidata_close	Label
Durst	ausgetrocknet sein		OT	https://www.openthesaurus.de/synonyme/ausgetrocknet%20sein				
Durst	Bedürfnis zu trinken		chatgpt-4o-latest-20241120					
Durst	Begierde nach Flüssigkeit		chatgpt-4o-latest-20241120					
Durst	Brand		OT	https://www.openthesaurus.de/synonyme/Brand				
Durst	Drang zu trinken		chatgpt-4o-latest-20241120					
Durst	Durst		OT	https://www.openthesaurus.de/synonyme/Durst	https://www.wikidata.org/wiki/Q474187	Durst		
Durst	Durst empfinden		amazon-nova-pro-v1.0					
Durst	Durst haben		OT	https://www.openthesaurus.de/synonyme/Durst%20haben				
Durst	Durst leiden		OT	https://www.openthesaurus.de/synonyme/Durst%20leiden				
Durst	Durst verspüren		amazon-nova-pro-v1.0					
Durst	Durstempfinden		claude-3-5-sonnet-20241022					
Durst	dürsten	dursten	AK; D1; WE12					
Durst	dürstend		claude-3-5-sonnet-20241022					
Durst	Durstgefühl		D9; Wikidata 					
Durst	Durstgefühl haben		amazon-nova-pro-v1.0 					
Durst	durstig		D1; D9					
Durst	durstig sein		OT	https://www.openthesaurus.de/synonyme/durstig%20sein				
Durst	Dürstigkeit		chatgpt-4o-latest-20241120					
Durst	durstleidend		chatgpt-4o-latest-20241120					
Durst	etwas trinken möchten		OT	https://www.openthesaurus.de/synonyme/etwas%20trinken%20m%C3%B6chten				
Durst	Flüssigkeitsbedarf		chatgpt-4o-latest-20241120					
Durst	Flüssigkeitsdrang		chatgpt-4o-latest-20241120					
Durst	Flüssigkeitsverlangen		chatgpt-4o-latest-20241120					
Durst	Heißdurst		OT	https://www.openthesaurus.de/synonyme/Hei%C3%9Fdurst				
Durst	Kehle ist wie ausgedörrt	jemandes Kehle ist wie ausgedörrt	OT	https://www.openthesaurus.de/synonyme/%28jemandes%29%20Kehle%20ist%20wie%20ausged%C3%B6rrt				
Durst	lechzen		D1; D9					
Durst	lechzend		claude-3-5-sonnet-20241022					
Durst	Nachdurst		OT	https://www.openthesaurus.de/synonyme/Nachdurst	https://www.wikidata.org/wiki/Q15836176	Nachdurst		
Durst	Trinkbedarf		chatgpt-4o-latest-20241120					
Durst	Trinkbedürfnis		chatgpt-4o-latest-20241120					
Durst	trinkgierig		Sanders					
Durst	Trinkverlangen		chatgpt-4o-latest-20241120					
Durst	Verlangen nach Flüssigkeit		chatgpt-4o-latest-20241120					
Durst	Verlangen nach Trinken		chatgpt-4o-latest-20241120					
Durst	Verlangen zu trinken		OT	https://www.openthesaurus.de/synonyme/Verlangen%20zu%20trinken				
Trinken	abtrinken		GermaNet					
Trinken	aufsaugen		OT					
Trinken	den Durst löschen		D9					
Trinken	die Kehle anfeuchten		Sanders					
Trinken	die Kehle befeuchten		Sanders					
Trinken	die Kehle benetzen		Sanders					
Trinken	die Kehle herunterlaufen lassen		OT	https://www.openthesaurus.de/synonyme/trinken				
Trinken	die Kehle schmieren		Sanders					
Trinken	Durst löschen	seinen Durst löschen	OT	https://www.openthesaurus.de/synonyme/%28seinen%29%20Durst%20l%C3%B6schen				
Trinken	Durst stillen	seinen Durst stillen; den Durst stillen	OT	https://www.openthesaurus.de/synonyme/%28seinen%29%20Durst%20stillen				
Trinken	einsaugen		OT					
Trinken	Flüssigkeit aufnehmen		OT	https://www.openthesaurus.de/synonyme/trinken				
Trinken	nuckeln		OT; Sanders	https://www.openthesaurus.de/synonyme/nuckeln				
Trinken	saugen		OT; D1; GermaNet	https://www.openthesaurus.de/synonyme/saugen				
Trinken	schlucken		D9; Sanders					
Trinken	suckeln		OT	https://www.openthesaurus.de/synonyme/suckeln				
Trinken	trinken		OT	https://www.openthesaurus.de/synonyme/trinken				
Trinken	ziehen		OT	https://www.openthesaurus.de/synonyme/ziehen				
Langsam_kleine_Mengen_trinken	einen Schluck nehmen		gemini-2.0-flash-thinking-exp-1219					
Langsam_kleine_Mengen_trinken	in kleinen Schlucken trinken 		OT	https://www.openthesaurus.de/synonyme/in%20kleinen%20Schlucken%20trinken				
Langsam_kleine_Mengen_trinken	nippen	nippen an	OT	https://www.openthesaurus.de/synonyme/nippen+%28an%29				
Langsam_kleine_Mengen_trinken	Schlückchen nehmen 	ein Schlückchen nehmen 	OT	https://www.openthesaurus.de/synonyme/%28ein%29%20Schl%C3%BCckchen%20nehmen				
Langsam_kleine_Mengen_trinken	Schlückchen trinken		chatgpt-4o-latest-20241120					
Langsam_kleine_Mengen_trinken	schlückchenweise trinken		OT	https://www.openthesaurus.de/synonyme/schl%C3%BCckchenweise%20trinken				
Austrinken	auslutschen		OT	https://www.openthesaurus.de/synonyme/auslutschen				
Austrinken	aussaugen		OT	https://www.openthesaurus.de/synonyme/aussaugen				
Austrinken	austrinken		OT	https://www.openthesaurus.de/synonyme/austrinken				
Austrinken	entleeren		gemini-2.0-flash-thinking-exp-1219					
Austrinken	exen		chatgpt-4o-latest-20241120					
Austrinken	leer trinken	leertrinken	OT; GermaNet	https://www.openthesaurus.de/synonyme/leer%20trinken; https://www.openthesaurus.de/synonyme/leertrinken 				
Austrinken	leeren		chatgpt-4o-latest-20241120; LWP					
