"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"PA00150"	"Abend-milch"	"Substantiv"	"-"	"Milch, die am Abend gemolken wird"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PA00155"	"Abend-schoppen"	"Substantiv"	"-"	"wie schd »Abendschoppen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk"
"PA00305"	"ab-heben"	"Verb"	"I2f"	"einen trinken"	"Trinken.Alkohol_trinken"
"PA00579"	"ab-saufen"	"Verb"	"1a"	"oben heruntersaufen"	"Trinken"
"PA00610"	"ab-schießen"	"Verb"	"1c'a"	"einen (Wein) trinken"	"Trinken.Alkohol_trinken"
"PA00825"	"ab-trinken"	"Verb"	1	"von oben wegtrinken"	"Trinken"
"PA00825"	"ab-trinken"	"Verb"	2	"ein Glas Bier oder Wein leeren"	"Trinken.Alkohol_trinken;Trinken.Austrinken"
"PA01307"	"Alkohol"	"Substantiv"	"-"	"wie schd »Alkohol"	"Getränk"
"PA01737"	"an-dudeln"	"Verb"	"-"	"sich betrinken"	"Trinken.Alkohol_trinken"
"PA01739"	"an-duseln"	"Verb"	"-"	"sich einen Dusel antrinken"	"Trinken.Alkohol_trinken"
"PA01829"	"an-feuchten"	"Verb"	2	"einen trinken (sch) RA"	"Trinken.Alkohol_trinken"
"PA02138"	"an-rauchen"	"Verb"	2	"sich einen kleinen Rausch antrinken"	"Trinken.Alkohol_trinken"
"PA02174"	"an-säufeln"	"Verb"	"-"	"sich einen kleinen Rausch antrinken"	"Trinken.Alkohol_trinken"
"PA02175"	"an-saufen"	"Verb"	1	"mit dem Saufen (Trinken) beginnen"	"Trinken"
"PA02175"	"an-saufen"	"Verb"	3	"sich volltrinken"	"Trinken.Alkohol_trinken"
"PA02176"	"an-säuseln"	"Verb"	1	"/sich leicht betrinken/"	"Trinken.Alkohol_trinken"
"PA02250"	"an-schwipsen"	"Verb"	"-"	"sich einen Rausch antrinken"	"Trinken.Alkohol_trinken"
"PA02391"	"an-trudeln"	"Verb"	2	"sich betrinken"	"Trinken.Alkohol_trinken"
"PA02392"	"An-trunk"	"Substantiv"		"erster Trunk"	"Getränk"
"PA02488"	"Apfel-, Äpfel-bumpes"	"Substantiv"	"-"	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA02492"	"Apfel-fiez"	"Substantiv"	"-"	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA02502"	"Apfel-gückes"	"Substantiv"	"-"	"Apfelwein minderer Sorte"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA02521"	"Apfel-mops"	"Substantiv"	"-"	"nachgemachter Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA02522"	"Apfel-most"	"Substantiv"	"-"	"wie schd »Apfelmost"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"PA02536"	"Apfel-, Äpfel-saft"	"Substantiv"	1	"wie schd »ApfelÄpfelsaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"PA02561"	"Apfel-, Äpfel-wein"	"Substantiv"	"-"	"wie schd »ApfelÄpfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA02579"	"Apparaten-milch"	"Substantiv"	"-"	"Milch, die durch die Zentrifuge entrahmt ist"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"PA02627"	"Arbeiter-sekt"	"Substantiv"	"-"	"Mineralwasser"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"
"PA02886"	"Ast-heimer"	"Substantiv"	"-"	"(sch) Birnwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA03037"	"Auf-enthalt"	"Substantiv"	3	"(sch) Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"PA03060"	"Auffüll-wein"	"Substantiv"	"-"	"Wein zum Auffüllen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA03164"	"auf-laden"	"Verb"	"1b"	"sich betrinken"	"Trinken.Alkohol_trinken"
"PA03607"	"aus-bürsten"	"Verb"	2	"austrinken, leer trinken"	"Trinken.Austrinken"
"PA03624"	"aus-dudeln"	"Verb"	"-"	"saugend austrinken"	"Trinken.Austrinken"
"PA03730"	"aus-gluckern"	"Verb"	"-"	"austrinken"	"Trinken.Austrinken"
"PA03809"	"aus-läppern"	"Verb"	"-"	"in kleinen Schlucken austrinken"	"Trinken.Austrinken;Trinken.Langsam_kleine_Mengen_trinken"
"PA03882"	"aus-pitschen"	"Verb"	"-"	"austrinken"	"Trinken.Alkohol_trinken;Trinken.Austrinken"
"PA03957"	"aus-saufen"	"Verb"	1	"leer saufen"	"Trinken.Austrinken"
"PA04011"	"aus-schöppeln"	"Verb"	"-"	"zu Ende schöppeln, trinken"	"Trinken.Alkohol_trinken;Trinken.Austrinken"
"PA04077"	"aus-stauben"	"Verb"	3	"austrinken"	"Trinken.Austrinken"
"PA04088"	"Aus-stich"	"Substantiv"	2	"Beerenauslese, edelster Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA04089"	"Ausstich-wein"	"Substantiv"	"-"	"edelster Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"PA04127"	"aus-trinken"	"Verb"	"-"	"durch Trinken leer machen"	"Trinken.Austrinken"
"PB00145"	"Päckel-brühe"	"Substantiv"	"-"	"schlechter Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB00373"	"Bajaß-seiche"	"Substantiv"	"-"	"/schlechter Kaffee/"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"PB00514"	"bambuschieren"	"Verb"	"-"	"zechen"	"Trinken.Alkohol_trinken"
"PB00523"	"Bampel-brühe"	"Substantiv"	"-"	"minderwertiger Wein, dünner Kaffee"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein;Getränk.Heißgetränk.Alkoholfreies_Heißgetränk"
"PB00549"	"Bamsche"	"Substantiv"	"-"	"(W) sich betrinken"	"Trinken.Alkohol_trinken"
"PB00550"	"bamscheln"	"Verb"	"-"	"trinken"	"Trinken"
