srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PA02561	&#x00c4;pfel-wein	LA00352	&#x00c4;bbel-win		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PA03164	auf-laden	LU00049	uf-laden		Trinken.Alkohol_trinken
PA03957	aus-saufen	LU00253	us-suffen		Trinken.Austrinken
PA04088	Aus-stich	LU00255	U'stalt	f.	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB02130	be-sabeln	LB00613	be-sabbelen		Trinken.Alkohol_trinken
PB02160	be-schlagen	LB00632	be-schl&#x00f3;n		Trinken.Alkohol_trinken
PB02736	Pfeffer-minz	LB00399	Peffer-mihl		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee
PB03008	Pflaster	LB00967	Plaster	m. f.	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB04011	blasen	LB00963	blasen	intr. v.	Trinken.Alkohol_trinken
PB04398	blitzen	LB01061	bletzen	intr. v.,blitzen	Trinken
PB04922	Polack	LB01194	Polak	m.	Getränk
PB05580	Brand	LB01343	Brand	m.	Durst
PB05629	Brannt(e)-wein	LB01350	Brannte-win	m.	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PB06562	Br&#x00fc;he	LB01455	Brih	f.	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB07052	Pudel	LB01657	Puddel	m.	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
PB07266	pumpen	LB01698	pumpen	tr. v.	Trinken.Alkohol_trinken
PB07510	b&#x00fc;rsten	LB00859	birschten	tr. v.	Trinken.Alkohol_trinken
PD02202	Dick-milch	LD00353	Tessel	m.	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PD03596	Trank	LD00695	Drank	m.,Trank	Getränk
PD03599	tr&#x00e4;nken	LD00700	tr&#x00e4;nken	tr. v.	Trinken.Alkohol_trinken
PD04435	trinken	LD00870	trinken	tr. v.	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken; Trinken.Häufig_lange_trinken
PD04691	Druck	LD00903	Drock	m.	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
PD04713	Dr&#x00fc;cker	LD00854	Dricker	m.	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
PD04968	dudeln	LD01049	dudeln	intr. v.	Trinken.Alkohol_trinken
PD05712	Durst	LD01151	Durscht	m.	Durst
PD05783	tuten	LD01184	tuten	intr. v.	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
