"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtgram"	"tgtlevel"	"tgtdef"	"Konzept"
"S11418"	"strack"	"S02220"	"strack"	"adj. u. adv."	"4."	"sinnlos betrunken"	"kein_Trinken"
"R00719"	"Rausch1"	"R00673"	"Rusch"	"m."		"Rausch"	"kein_Trinken"
"S12525"	"S&#x00fc;ffer"	"S01522"	"Siffer"	"m."		"Säufer, Trunkenbold "	"kein_Trinken"
"K00044"	"Kaffee"	"K00025"	"Kaffeebich"			"Kaffeebäuche, Spottname der Saargemünder wegen ihrer Vorliebe für Kaffee"	"kein_Trinken"
"K00064"	"Kaffee-haus"	"K00024 "	"Kaffee"	"m."	"2."	"Kaffeehaus"	"kein_Trinken"
"L02514"	"Lump"	"L00553"	"Lump"	"m."		"Lump, Verschwender, Trunkenbold "	"kein_Trinken"
"S00925"	"Sauf-lappen"	"S02447"	"Suff-lappe"	"m."		"Trinker, Säufer "	"kein_Trinken"
"S09424"	"Spritzer"	"S01849"	"Spritzer"	"m."	"2."	"leichter Rausch "	"kein_Trinken"
"W01706"	"Wein-essig"	"W00410 "	"Winessich "	"m."		"Weinessig"	"kein_Trinken"
"W03195"	"Wirts-haus"	"W00466 "	"Wirtshus "			"Wirtshaus"	"kein_Trinken"
"S04251"	"Schnaps-butelle"	"S00908 "	"Schapsbuddel "			"Schnapsflasche "	"kein_Trinken"
"S10811"	"Stieber"	"S02015"	"Steiwer"	"m."		"kleiner Rausch "	"kein_Trinken"
"H05882"	"Hocker"	"H00844"	"Hucker"	"m."	"2."	"gewohnheitsmäßiger Wirtshaussitzer "	"kein_Trinken"
"W03189"	"Wirtschaft"	"W00471"	"Wirtschaft"	"f."		"Wirtschaft, Wirtshaus "	"kein_Trinken"
"N00728"	"Nebel"	"N00166"	"Newel"	"m."	"2."	"Rauch "	"kein_Trinken"
"B01551"	"be-duselt"	"B00394"	"be-duselt"	"adj."		"angetrunken "	"kein_Trinken"
"H04415"	"Hieb"	"H00573"	"Hib"	"m."		"Räuschchen "	"kein_Trinken"
"B07569"	"Buschon"	"B01764"	"Buschong"	"m."		"Korkstöpsel, Propfen "	"kein_Trinken"
"F04237"	"Vollheit"	"F01125"	"Vollchit"	"f."		"Betrunkenheit "	"kein_Trinken"
"E00838"	"ein-schenken"	"I00092"	"in-schenken"	"tr. v."		"einschenken "	"kein_Trinken"
"S00721"	"Satz"	"S00146"	"Satz I"	"m."	"2."	"Bodensatz, Niederschlag einer jeden Flüssigkeit "	"kein_Trinken"
"S10680"	"sternhagel-voll"	"S02065"	"sterrevoll"			"ganz betrunken "	"kein_Trinken"
"S04256"	"Schnapser"	"S00918"	"Schnapser"	"m."		"Schnapstrinker. Die Bewohner von Bettweiler (Kr. Saargemünd) heißen Schnapser. "	"kein_Trinken"
