"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtgram"	"tgtlevel"	"tgtdef"	"Konzept"
"S12524"	"s&#x00fc;ffeln"	"S01524"	"sifflen"	"tr. v."		"anhaltelnd u. viel trinken (meist ironisch) "	"Trinken.Schnell_große_Mengen_trinken; Trinken.Häufig_lange_trinken"
"A02561"	"&#x00c4;pfel-wein"	"A00352"	"&#x00c4;bbel-win"			"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"D03596"	"Trank"	"D00695"	"Drank"	"m.,Trank"	"1."	"Apfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"B05629"	"Brannt(e)-wein"	"B01350"	"Brannte-win"	"m."		"Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"S01660"	"Schampanjer (Champagner)"	"S00279"	"Schampanjer"	"m."		"Champagnerwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt"
"G02634"	"Ge-tr&#x00e4;nk"	"G00244"	"Ge-drenks"	"n."	"2."	"das Trinken"	"Trinken"
"D05712"	"Durst"	"D01151"	"Durscht"	"m."		"Durst "	"Durst"
"E00282"	"Eichel-kaffee"	"E00056"	"Eichelkaffee"			"Eichelkaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee"
"F05806"	"Fusel"	"F01369"	"Fusel"	"m."		"geringer, schlechter Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"M01010"	"Matte"	"M00226"	"Matten"	"f."	"1."	"geronnene Milch, aus der Käse gemacht wird; Käsmatte "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"G02634"	"Ge-tr&#x00e4;nk"	"G00244"	"Ge-drenks"	"n."	"1."	"Getränke"	"Trinken"
"L00750"	"L&#x00e4;uer"	"L00401"	"Lier"	"m."		"Holzapfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"W00931"	"Wasser"	"W00150"	"Wasser"	"n."	"4."	"in aller Frühe getrunkener Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"K00043"	"Kaffee"	"K00024"	"Kaffee"	"m."	"1."	"Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"G04443"	"Grundbirn(en)-branntwein"	"G01193 "	"Grumberebrantwein "	"adv."		"Kartoffelsprit "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"A03957"	"aus-saufen"	"U00253"	"us-suffen"			"leer saufen "	"Trinken.Austrinken"
"M01838"	"Milch"	"M00416"	"Milch"	"f."		"Milch "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"W02528"	"Wieder-t&#x00e4;ufer"	"W00353 "	"Widderdaifer "	"m."		"Name für Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"L00555"	"lappsen"	"L00146"	"l&#x00e4;ppsen"	"tr. v."		"nippen; essen od. trinken wie einer, dem es nicht recht schmeckt "	"Trinken.Langsam_kleine_Mengen_trinken"
