xml:id	Lemma	Wortart	Level	Definition	Konzept
ES00281	ab sufen		1.	durch übermässiges Trinken seine Gesundheit untergraben 	kein_Trinken
EA00219	Adler	m. 		Adler. Häufig Wirtshausschild 	kein_Trinken
EA00250	Aff	m. 	4.	Rausch	kein_Trinken
ES01280	an setzen		4.	anstellen, Schnaps, Essig u. dergl 	kein_Trinken
ES02013	us sch&#x00eb;nken			Getränke ausschenken 	kein_Trinken
EP00919	bamberschieren			unnötig viel Geld verzehren, bes. im Wirtshaus 	kein_Trinken
ET00272	bedudelt			betrunken	kein_Trinken
ET01400	beduselt	Adj.		betrunken 	kein_Trinken
EP03894	Brand	m. 	7.	Rausch	kein_Trinken
EP02169	Buschong	m. 		Korkstöpsel, Pfropfen 	kein_Trinken
EP02376	Butik	f.	3.	kleine, unsaubere Wirtschaft 	kein_Trinken
ET00481	Dackel	m. 		Verwirrung, Betäubung, Taumel, Rausch 	kein_Trinken
ET00753	D&#x00e4;mpes,Dampes 	m. 		Rausch	kein_Trinken
ET00756	Dampf	m. 	2.	Rausch	kein_Trinken
ET02153	tr&#x00e4;nken		1.	das Vieh tränken, scherzh. auch vom Menschen: zu trinken geben 	kein_Trinken
ET01939	Druck	m. 	2.	soviel auf einmal gepresst oder gekeltert wird 	kein_Trinken
ET01396	Dusel	m. 	2.	Rausch 	kein_Trinken
EK00942	Inkehr	f.		Einkehr 	kein_Trinken
EK00947	i(n) kehren			einkehren	kein_Trinken
ES02012	in sch&#x00eb;nken			einschenken, von Getränken 	kein_Trinken
EF00447	Fahn, Fahnen 	Pl.	8.	Rausch	kein_Trinken
ES00287	versufen		2.	durch Trinken verprassen 	kein_Trinken
ES03509	verschn&#x00e4;pslen			in Schnaps vertrinken 	kein_Trinken
EZ00047	&#xed70;verz&#x00eb;chen			verzechen	kein_Trinken
EL01034	F&#x00fc;chtlappen	m. 		Trinker	kein_Trinken
EF00620	Viertel	n.	2.	Viertele eine Flasche, die 0,25 l fassen kann, sodann der Inhalt einer solchen Flasche 	kein_Trinken
EF01297	Flasch	f.		Flasche	kein_Trinken
