"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"LS01524"	"sifflen"	"tr. v."		"anhaltelnd u. viel trinken (meist ironisch) "	"Trinken.Schnell_große_Mengen_trinken; Trinken.Häufig_lange_trinken"
"LA00352"	"&#x00c4;bbel-win"			"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"LD00695"	"Drank"	"m.,Trank"	"1."	"Apfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"LB01350"	"Brannte-win"	"m."		"Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LS00279"	"Schampanjer"	"m."		"Champagnerwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt"
"LG00244"	"Ge-drenks"	"n."	"2."	"das Trinken"	"Getränk"
"LD01151"	"Durscht"	"m."		"Durst "	"Durst"
"LE00056"	"Eichelkaffee"			"Eichelkaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffeeersatz"
"LF01369"	"Fusel"	"m."		"geringer, schlechter Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LM00226"	"Matten"	"f."	"1."	"geronnene Milch, aus der Käse gemacht wird; Käsmatte "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"LG00244"	"Ge-drenks"	"n."	"1."	"Getränke"	"Getränk"
"LL00401"	"Lier"	"m."		"Holzapfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"LW00150"	"Wasser"	"n."	"4."	"in aller Frühe getrunkener Branntwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LK00024"	"Kaffee"	"m."	"1."	"Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"LG01193 "	"Grumberebrantwein "	"adv."		"Kartoffelsprit "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LU00253"	"us-suffen"			"leer saufen "	"Trinken.Austrinken"
"LM00416"	"Milch"	"f."		"Milch "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"LW00353 "	"Widderdaifer "	"m."		"Name für Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"LL00146"	"l&#x00e4;ppsen"	"tr. v."		"nippen; essen od. trinken wie einer, dem es nicht recht schmeckt "	"Trinken.Langsam_kleine_Mengen_trinken"
"LR00660 "	"Runding"	"adv."		"Runde"	"Getränk"
"LS00052"	"Saft"	"f."		"Saft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"LD00368 "	"Dick-milch "	"f."		"sauer Milch "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"LS02490 "	"Surmilich "	"m."		"Sauermilch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"LS02448"	"suffen"	"tr. u. intr."		"saufen"	"Trinken.Alkohol_trinken"
"LS02450"	"Sufferei"	"f."		"Säuferei, anhaltendes Trinken, Trinkgelage "	"Trinken.Alkohol_trinken;Trinken.Häufig_lange_trinken"
"LG00782"	"Giges I"	"m."		"schlechter Branntwein, Fusel "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LS00708"	"Schlewe-schnabbs"			"Schlehenschnapps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LS00907"	"Schnaps"	"m."		"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LS01858"	"Spruddel"	"m."		"Sprudel"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser"
"LD00870"	"trinken"	"tr. v."		"trinken "	"Trinken"
"LD01185 "	"tuten II"	"intr. v."		"tüchtig trinken "	"Trinken.Schnell_große_Mengen_trinken "
"LL00043"	"laden"	"tr. v."	"2."	"viel trinken"	"Trinken.Schnell_große_Mengen_trinken "
"LF01160"	"Vor-laf"	"m."		"Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"LW00150"	"Wasser"	"n."	"2."	"wässeriger Kaffee, dünne Suppe "	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"LW00407 "	"Win "	"m."		"Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"LL00565"	"lompen"	"intr. v.,lumpen"		"zechen, schlemmen "	"Trinken.Alkohol_trinken"
