"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"CA00253"	"Änes"	"n."	"2."	"Anisbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CA00351"	"Appelvitz"	"m."		"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CB00004"	"Babbel-wasser"	"n."		"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CB00183"	"Bäre-dreck"			"Süßholzsaft"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft"
"CB00331"	"Paure-wein"	"m."		"ungekelteter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CB00479"	"Pek I"			"saurer Wein, aus Trestern hergestellt, indem man Wasser zusetzt u. das Gemisch einige Tage in einem Fasse stehen läßt"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CB00626"	"be-schipsen"		"2."	"sich betrinken"	"Trinken.Alkohol_trinken"
"CB00676"	"be-trinken"	"refl. v."		"sich betrinken"	"Trinken.Alkohol_trinken"
"CB00755"	"Bier II"			"Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"CB01103"	"Blotz-milch"	"f."		"Buttermilch, die durch Butter blotze entsteht "	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"CB01322"	"Brach"			"dicke Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"CB01350"	"Brannte-win"	"m."		"Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CB01497"	"Brockel"	"m. f."	"1."	"geronnene Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"CB01560"	"bruddelen"	"intr. v."	"2."	"mit Geräusch Wasser schlürfen (vom Vieh)"	"Trinken.Geräuschvoll_trinken"
"CD00368"	"Dick-milch"			"sauer Milch"	"Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk"
"CD00392"	"dieschten"	"intr. v."		"dursten"	"Durst"
"CD00590"	"tompen"		"2."	"schlummern, nippen"	"Trinken.Langsam_kleine_Mengen_trinken"
"CD00695"	"Drank"	"m."	"1."	"Apfelwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CD00701"	"dranken"			"trinken"	"Trinken"
"CD00816"	"drenken"			"trinken"	"Trinken"
"CD00818"	"Trep(s)"		"3."	"Gläschen Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CD00870"	"trinken"	"tr. v."		"trinken"	"Trinken"
"CD00927"	"Dronk"	"m."	"1."	"Trunk"	"Getränk"
"CD00927"	"Dronk"	"m."	"2."	"Trank, heilkräftiges Getränk"	"Getränk"
"CD00971"	"Druff"	"m."	"1."	"trüber Wein als Faßrest"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CD01008"	"Drusenbrantwin"	"m."		"fast allg. Branntwein aus Weinhefe gewonnen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CD01116"	"Tur II"		"2."	"Runde"	"Getränk"
"CD01139"	"Turne"	"f."	"1."	"Runde, für jeden am Tisch ein Glas"	"Getränk"
"CD01151"	"Durscht"	"m."		"Durst"	"Durst"
"CD01155"	"durschtisch"	"adj."		"durstig"	"Durst"
"CD01185"	"tuten II"			"tüchtig trinken"	"Trinken.Schnell_große_Mengen_trinken "
"CD01188"	"duttlen"	"intr. v."		"trinken, saugen"	"Trinken"
"CF00496"	"ver-lechen"	"intr. v."	"2."	"austrocknen, verschmachten vor Durst"	"Durst"
"CF00916"	"Vir-schotz"	"m."		"der erste Branntwein, der beim Brennen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"CF00954"	"Vitz"	"m."		"Obstwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CF01130"	"Föll-wein"	"m."		"Füllwein, Wein zum Nach- und Auffüllen im Fasse"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"CF01160"	"Vor-laf"	"m."		"Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
