xml:id	Lemma	Wortart	Level	Definition	Konzept
CU00206	us-gehn	intr. v.	1	aus dem Hause gehen	kein_Trinken
CB00621	be-scheissen			s. beschissen	kein_Trinken
CK01013	Kor-mutter			Kornblume	kein_Trinken
CO00165	op-dun	tr. v.	1	öffnen, aufmachen	kein_Trinken
CF00232	ver-			untrennbare, unbetonte Partikel vor Verben u. Verbalableitungen	kein_Trinken
CW00392	Wil				kein_Trinken
CB00052	baden	intr. v.		baden	kein_Trinken
CB00631	Beschler	m.		ein kleiner Tausendkünstler	kein_Trinken
CM00048	Maidel				kein_Trinken
CD01137	Durm	m.		Turm	kein_Trinken
CS00284	Schand	f.		Schande	kein_Trinken
CB00719	Bibele	n.		Bübchen, Kindchen	kein_Trinken
CK00103	Kamin	m.		Kamin	kein_Trinken
CO00035	Offesir	m.		Offizier	kein_Trinken
CG00318	ge-hifft(e)	adj.		Ptc. von	kein_Trinken
CH00282	Hätsch	f.		Hanf- u. Flachsbreche	kein_Trinken
CF00231	fer			für	kein_Trinken
CK01015	Kornisch	f.		Gesims	kein_Trinken
CB01697	Pump	f.		Pumpe	kein_Trinken
CS02417	Sturme-risser			einer, der eine Zeitlang stramm arbeitet, aber nicht lange aushält	kein_Trinken
CI00118	Irtom				kein_Trinken
CM00324	Melz				kein_Trinken
CB00394	be-duselt	adj.		angetrunken	kein_Trinken
CI00181	iwer-häschen	tr. v.		überfordern	kein_Trinken
CI00175	iwer-gon	intr. v.	1	hinübergehen	kein_Trinken
CS01348	Schwenkel	m.	1	Pendel an	kein_Trinken
CK01185	Krempeler	m.		Trödler, Mäkler	kein_Trinken
CM00503	miss-			Vorsilbe miß in	kein_Trinken
CS01723	Spicher	m.		Speicher, oberstes Stockwerk, Boden des Hauses	kein_Trinken
CH00611	Hingel				kein_Trinken
CB00738	bickich	adj.	1	brünstig, vom Kaninchen und der Ziege	kein_Trinken
CD00704	Trap	m.		Fußstapfe, Fußspur	kein_Trinken
CB01201	Bollech	m.		Bolch, ein Fisch	kein_Trinken
CR00621	ruglen	tr. u. intr.		rollen, kugeln; rollend fortbewegen	kein_Trinken
CB00634	be-schneeren			beschnüren	kein_Trinken
CN00016	Nädersch	f.		Näherin	kein_Trinken
CS01979	Stecken	m.		Stecken, Stock, Spazierstock	kein_Trinken
CS02251	strawlen	intr. v.	1	zappeln, strampeln	kein_Trinken
CK00487	Kingele	n.		Kaninchen	kein_Trinken
CB00109	Bamp	f.		Aufschneiderei, Witz	kein_Trinken
CK00837	Knochen	m.		Knochen	kein_Trinken
CJ00127	Jung-licht	n.		Neumond. Bauernregel	kein_Trinken
CB00519	Pemm	f.		Pfeife zum Rauchen	kein_Trinken
CN00331	Numm			s. Namen	kein_Trinken
CF01215	frästerlich	adj.		fürchterlich, gräßlich	kein_Trinken
CR00176	raudich	adj.	1	räudig, krätzig, grindig	kein_Trinken
CS02110	still	adj.		still	kein_Trinken
CS00484	schiewlen	tr. v.		schieben, meist nur in	kein_Trinken
CG01021	Gras	n.		Gras	kein_Trinken
CD00005	dabbern	intr. v.		eilig trippeln, von kleinen Kindern gesagt	kein_Trinken
CK01223	Kriech	m.		Krieg	kein_Trinken
CB00473	bei-wennich	adj.		hilfreich, zuvorkommend, immer dabei	kein_Trinken
CS00695	schlên			schlagen	kein_Trinken
CS00729	Schliffel	m.		grober, ungeschliffener Mensch	kein_Trinken
CD00863	Trillert	m.		Wasserwirbel	kein_Trinken
CO00090	o jo	interj.		ach was	kein_Trinken
CF00506	ver-leschen	intr. v.		verlöschen, verriechen, verderben bes. von Getränken	kein_Trinken
CB00438	beden		1	bieten, bei Steigerungen	kein_Trinken
CM00226	Matten	f.	1	geronnene Milch, aus der Käse gemacht wird; Käsmatte	kein_Trinken
CE00211	Enschenär	m.		Ingenieur	kein_Trinken
CS01134	schottlen		1	schütteln, wackeln	kein_Trinken
CK00464	kimmen	intr. v.		keimen, Keime treiben	kein_Trinken
CN00260	Nix-nutz	m.		fast allg. Tunichtgut	kein_Trinken
CD00028	Dacker	m.		Stoß mit der Hand; übertr. Vergeltung, Zurechtweisung	kein_Trinken
CF00941	Fisek	m.		Gewehr, Flinte	kein_Trinken
CS00379	Scheff				kein_Trinken
CB00908	bitzen	tr. v.		zielen, um den Faden ins Nadelöhr zu bringen	kein_Trinken
CD01119	Durch-gänger	m.		Tragbalken des Dachgerüstes	kein_Trinken
CS00668	Schlef(t)	f.		Schlupfwinkel	kein_Trinken
CL00519	los-scheren	intr. v.		sich eiligst davon machen, sterben	kein_Trinken
CR00339	Rengel-dauw				kein_Trinken
CW00627	Wuwetz	m.		Wesen, womit man die Kinder schreckt; Wolf	kein_Trinken
CG00060	Gameller			Burschen, Jungen	kein_Trinken
CM00117	Mant				kein_Trinken
CD00870	trinken	tr. v.		trinken	kein_Trinken
CF00902	virech	adj.		vorig	kein_Trinken
CB00744	Bidong	m.		Kanne, Milchbehälter, Blechflasche	kein_Trinken
CB00826	pinschen				kein_Trinken
CO00055	of-stocken	tr. v.		aufstecken d. h. aufgeben, zurücktreten, von einem Vertrag wieder abgehen	kein_Trinken
CR00361	resch	adj.		dürr, spröde, harsch; trocken, knapperig vom Brote	kein_Trinken
CS01312	Schwart	f.	1	Schwarte	kein_Trinken
CK00347	Kelich	m.		Kelch	kein_Trinken
CB01187	Pojier	n.		Laxier-Blutreinigungsmittel	kein_Trinken
CR00054	rahmen	intr. v.		in der Zs	kein_Trinken
CS02002	steien	tr. v.		etwas kaufen bei öffentlichen Versteigerungen	kein_Trinken
CH00388	heiden	refl. v.		sich häuten	kein_Trinken
CL00419	Lim	m.		Leim	kein_Trinken
CS00139	Sass	m.		Sitz, Sitzplatz	kein_Trinken
CR00051	rähzich	adj.		von schlecht gebackenem Brote od. Kuchen) mit teigigen Streifen versehen	kein_Trinken
CD01108	Duppmieser				kein_Trinken
CS00787	Schlupp	f.		1	kein_Trinken
CD00897	Dro	f.	1	soviel man auf einmal tragen kann	kein_Trinken
CG01221	Grup	f.		Diphtheritis	kein_Trinken
CH00576	hidden			s. hitten	kein_Trinken
CS01440	seler	m.		selbiger, selbige, selbiges; jener. jene, jenes	kein_Trinken
CS00744	Schliss	m. n.	1	Faden an den Bohnen, der beim Schleißen entfernt wird	kein_Trinken
CA00453	aus-gressen	tr. v.	1	auspressen	kein_Trinken
