"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"LK00637"	"kläsper"	"Adjektiv"		"schmächtig, unansehnlich, zart gebaut; geschmeidig"	"kein_Trinken"
"LB00012"	"bäbich"	"Adjektiv"		"kleberig, schmierig"	"kein_Trinken"
"LG00014"	"gägelich"	"Adjektiv"		"geckig, kindisch, zum Lachen geneigt"	"kein_Trinken"
"LI00116"	"irich"	"Adjektiv"		"eigensinnig, dickköpfig, nicht aufgelegt zu etwas"	"kein_Trinken"
"LA00196"	"alterdimlich, altertemlech"	"Adjektiv"		"altertümlich"	"kein_Trinken"
"LR00654"	"rumpeldich"	"Adjektiv"	"1."	"runzelig, faltig, zerknittert"	"kein_Trinken"
"LF00714"	"Ver-tattert, ver-daddert"	"Adjektiv"		"schwatzhaft"	"kein_Trinken"
"LK00588"	"kitterlich"	"Adjektiv"	"1."	"schwächlich, kränklich, schwer aufzuziehen"	"kein_Trinken"
"LK00379"	"kennich"	"Adjektiv"	"1."	"kundig, bewandert"	"kein_Trinken"
"LD01078"	"dumpsich"	"Adjektiv"		"dumpf, dumpfig"	"kein_Trinken"
"LK01109"	"kränkeldich"	"Adjektiv"		"kränklich"	"kein_Trinken"
"LF00841"	"viljone-forwech"	"Adjektiv"		"violettfarbig"	"kein_Trinken"
"LK00191"	"kär"	"Adjektiv"		"wählerisch, empfindlich gegen schmutzige Arbeit u. unsaubere Speisen"	"kein_Trinken"
"LS00142"	"Sattel"	"Substantiv"	"1."	"Sattel"	"kein_Trinken"
"LK00619"	"Klä(n)-mihl"	"Substantiv"		"Kleinmühle, Ortsbezeichnung in der Gemeinde Rieding"	"kein_Trinken"
"LF01207"	"Fransel"	"Substantiv"	"1."	"Franse"	"kein_Trinken"
"LB01316"	"Bouf"	"Substantiv"		"Bube"	"kein_Trinken"
"LD00891"	"Triwelieres"	"Substantiv"		"das Drängeln, die Quälerei"	"kein_Trinken"
"LB00463"	"Peischten"	"Substantiv"		"Pfingsten"	"kein_Trinken"
"LR00546"	"Ronsch"	"Substantiv"		"Schaukel, Schaukelstange, Schaukelbrett"	"kein_Trinken"
"LF01000"	"Flatschen"	"Substantiv"		"flacher Haufen nassen Drecks, Kuhfladen"	"kein_Trinken"
"LD01101"	"Tupi I"	"Substantiv"		"Kreisel"	"kein_Trinken"
"LF00033"	"Fall II"	"Substantiv"	"1."	"Falle"	"kein_Trinken"
"LK00640"	"Klatsch-ros"	"Substantiv"		"Klatschmohn, Klatschrose"	"kein_Trinken"
"LW00504"	"Witing"	"Substantiv"		"Weite, Umfang, Entfernung"	"kein_Trinken"
"LA00079"	"Ädde"	"Substantiv"		"Vater (fast nur von Juden u. für Juden gebräuchlich)"	"kein_Trinken"
"LD00829"	"Treppling"	"Substantiv"		"Treppenstufe"	"kein_Trinken"
"LS00861"	"Schmodler"	"Substantiv"		"einer, der schmodelt; unreinlicher Mensch"	"kein_Trinken"
"LE00198"	"Enkel"	"Substantiv"		"Fußknöchel, Enkel"	"kein_Trinken"
"LM00254"	"Mawe"	"Substantiv"		"Magen"	"kein_Trinken"
"LN00340"	"Nunn"	"Substantiv"		"Nonne, Klosterfrau. Rda"	"kein_Trinken"
"LR00683"	"Russ"	"Substantiv"	"1."	"Russe"	"kein_Trinken"
"LS02261"	"Streck-isen"	"Substantiv"		"Bügeleisen"	"kein_Trinken"
"LH00472"	"Henner"	"Substantiv"		"männl. Vorname Heinrich"	"kein_Trinken"
"LK01239"	"Krippel"	"Substantiv"	"1."	"Krüppel"	"kein_Trinken"
"LZ00177"	"Ziwel-kalenner"	"Substantiv"		"Zwiebelkalender. Zum Vorherbestimmen des Wetters für die 12 Monate des künftigen Jahres werden während der Weihnachtsnacht 12 Stücke einer Zwiebel mit Salz belegt; je nach der Feuchtigkeit od. Trockenheit derselben wird der betreffende Monat naß od. trocken sein."	"kein_Trinken"
"LM00432"	"Milings-spiel"	"Substantiv"		"Ziehen der Losnummer, Aushebung der Rekruten "	"kein_Trinken"
"LS00079"	"Salopp"	"Substantiv"		"schmutzige Weibsperson"	"kein_Trinken"
"LH00862"	"Huffen"	"Substantiv"	"1."	"Haufen"	"kein_Trinken"
