"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"EZ00034"	"zubelen"			"zupfen, an den Haaren reissen"	"kein_Trinken"
"EA01408"	"Äsche"	"f. "		"Asche"	"kein_Trinken"
"EW01200"	"Weisen, Weizen"	"m. "		"Urinblase des Schweines; Kinder füllen dieselbe oft mit Luft, welche sie beim Ausströmen durch Zusammenpressen zum Knallen bringen"	"kein_Trinken"
"EF01011"	"Fëttich, Fëgten "			1	"kein_Trinken"
"EK02340"	"Krett"			"Knochengerüst eines Geflügels, Korb"	"kein_Trinken"
"ES03404"	"Schnick, Schnickes"	"m. ( "		"schlechter) Branntwein"	"kein_Trinken"
"ES01977"	"Schindel"	"f. u. n. Schindel."	"1."	"dünne, aber breite Hölzer aus Tannenholz unter den Ziegeln"	"kein_Trinken"
"ES05352"	"stipitzen"			"Glimpfw. für stehlen"	"kein_Trinken"
"EL01400"	"Laster"	"n. "		1	"kein_Trinken"
"ER01412"	"rutlabutik"			"verstärkend hinter alles"	"kein_Trinken"
"EH01656"	"hüst"			"links! Zuruf, nur beim Fahren mit Vieh gebraucht"	"kein_Trinken"
"ET02351"	"Tscho"	"m. "		"Kopf"	"kein_Trinken"
"EF00794"	"First"	"f. "		1	"kein_Trinken"
"ET00935"	"Dienst"	"m."	"1."	"Dienst, Gefallen"	"kein_Trinken"
"ET01767"	"Drach, Drachen, Dracher"	"m."	"1."	"feuriges Ungeheuer. Das Volk glaubt noch heute an"	"kein_Trinken"
"EK00230"	"keief"	"Adj."		"an einem Unfug, einer Gaunerei"	"kein_Trinken"
"EF00822"	"Fortun(e)"			"Geschl. schwankend, weil meist ohne Art. gebr"	"kein_Trinken"
"EZ00664"	"zwacken"		"1."	"wegnehmen bes. im Spasse, ähnlich wie"	"kein_Trinken"
"ET01393"	"dus"	"Adj."	"1."	"still, ruhig, friedlich, sittsam usw"	"kein_Trinken"
"EA00486"	"all"			"all, jeder, ganz"	"kein_Trinken"
"ES02732"	"Schluck(e), Schlück"	"f."	"1."	"Öffnung, Lücke eines Zaunes allg"	"kein_Trinken"
"ES00849"	"Simoni"	"m. "		"Mond"	"kein_Trinken"
"EL01351"	"Lues, Los, Lus, Luenz"	"f. "		"Scharre, vom Bäcker zum Sammeln der"	"kein_Trinken"
"EL01356"	"Lastik"	"n. m. "		1	"kein_Trinken"
"EM00231"	"müed"	"Adj. "		"müde"	"kein_Trinken"
"EK02255"	"kropsen"			"unpers. ärgern"	"kein_Trinken"
"EF00152"	"Fagotten"	"f. Pl. "		"läppisches Zeug, Grimassen, wunderliche Gebärden und Bewegungen beim Sprechen"	"kein_Trinken"
"ER00717"	"Rain"	"m. "		"Rain, Bodenerhöhung, mit Gras bewachsener Abhang"	"kein_Trinken"
"ET01461"	"tuschieren"			"berühren"	"kein_Trinken"
"ET02433"	"Tschopp"	"m. "		"Tölpel, dummer Mensch"	"kein_Trinken"
"EK01306"	"Kathederle"	"n. "		"Gefängnis, Zuchthaus"	"kein_Trinken"
"EA01459"	"iteren, intrücken"			"wiederkäuen. — mhd"	"kein_Trinken"
"EG00786"	"ganz"	"Adj. "		"ganz"	"kein_Trinken"
"ES03306"	"schnuben"		"1."	"schnauben"	"kein_Trinken"
"EK01483"	"Klee"	"m. "		"Klee"	"kein_Trinken"
"EZ00518"	"zirlen"			"tändeln"	"kein_Trinken"
"EZ00628"	"Zutt"	"f. "		"Schnauze eines Topfes"	"kein_Trinken"
"EK01311"	"katholisch"	"Adj. "		"katholisch"	"kein_Trinken"
"EK00280"	"Kalen"	"m. "		"Klöpfel der Glocke"	"kein_Trinken"
"EW00419"	"wäjen"		"1."	"wehen"	"kein_Trinken"
"EK01811"	"Knoden"	"m. "		1	"kein_Trinken"
"ES05247"	"Stand"	"m."	"1."	"Standpunkt"	"kein_Trinken"
"EF00250"	"Fockol"	"m. "		"abknöpfbarer, nicht fest"	"kein_Trinken"
"EK01598"	"klei(n), kli(n)"	"Adj. "		"Adv. klein"	"kein_Trinken"
"EK00720"	"Kapp(e)"	"f. "		1	"kein_Trinken"
"EM00916"	"Mar"	"m. "		"Kaffeesatz"	"kein_Trinken"
"EZ00002"	"Zaü"	"m. "		"zusammenhängendes Stück Feldarbeit, bes. beim Pflügen"	"kein_Trinken"
"EA00514"	"Eller"	"f. "		"Erle. Zss"	"kein_Trinken"
"EA00733"	"Ampfer, Ampert"	"m. "		"Ampfer"	"kein_Trinken"
"ES03732"	"Schrck(e)"	"; Pl."		"f. Heuschrecke"	"kein_Trinken"
"ES03044"	"schmachten"			"wie hochd"	"kein_Trinken"
"ER00800"	"Rang II"	"m."	"1."	"Anlauf"	"kein_Trinken"
"ES05690"	"Straf"	"f. "		"Strafe"	"kein_Trinken"
"ES00006"	"Saü, Soü, Söü, Süi"	"f."	"1."	"Schwein, Sau"	"kein_Trinken"
"EG01936"	"grätzen"			"mit gespreizten Beinen ausschreiten"	"kein_Trinken"
"EP03259"	"plump"	"in"		"plump"	"kein_Trinken"
"ES00773"	"Salz"	"n. "		"Salz. Umschreibung"	"kein_Trinken"
"EN00280"	"Nelli"	"m. "		1	"kein_Trinken"
"EK01466"	"Kuz, Kutz, Kauz"			1	"kein_Trinken"
"EP02559"	"Butz II"	"m."	"1."	"Larve, verlarvtes Gesicht, Popanz"	"kein_Trinken"
"EK02588"	"Krozer"	"m. "		"eingeritztes Zeichen"	"kein_Trinken"
"EL00106"	"Liber"	"m. "		"Frank, Frankstück"	"kein_Trinken"
"ES04637"	"stübelen"			"unpers. fein regnen"	"kein_Trinken"
"EM00267"	"Magick"	"f. "		"schielende Person, spottend od. scheltend"	"kein_Trinken"
"EA01015"	"opponieren"			"refl. sich auflehnen, widersetzen"	"kein_Trinken"
"EK01830"	"knächzig"	"Adj. "		"kreischend"	"kein_Trinken"
"EM01636"	"Moitz I"			"Anprall einer Schnellkugel gegen einen Gegenstand, beim Spiel"	"kein_Trinken"
"EK02177"	"Krampf"	"m. "		"Krampf; abnorme Empfindung, unerklärbarer Schmerz, bes. bei den Frauen"	"kein_Trinken"
"ET02058"	"Drimmeldi"			"Spielruf beim Fangspiel"	"kein_Trinken"
"EP03292"	"blond"	"Adj. "		"blond. Scherzh. Rda"	"kein_Trinken"
"ES00476"	"Sack"	"m."	"1."	"Sack für Getreide, Kartoffeln usw"	"kein_Trinken"
"EM00830"	"mündig"	"Adj. "		"mündig, volljährig. s. auch"	"kein_Trinken"
"EK01404"	"këtsch, këtschete "	"Adj. "		"weich, zu weich gekocht (z. B. das Fleisch der Spanferkel oder der jungen Kälber)"	"kein_Trinken"
"ER00969"	"Rëps I "	"m."	"1."	"Raps, die Kulturpflanze"	"kein_Trinken"
"EA01277"	"Assurans"	"f. "		"Feuerversicherung (die älteren Leute sagen meist"	"kein_Trinken"
"EF00015"	"Veiol"	" f.; Pl."		"Veilchen. Pl"	"kein_Trinken"
"ES01689"	"Scheiker"	"m."	"1."	"Lüge"	"kein_Trinken"
"EH00536"	"hohl"	"Adj. "		"hohl, leer"	"kein_Trinken"
"EA00042"	"i"			"der Buchstabe I"	"kein_Trinken"
"EP00648"	"bolen"		"1."	"werfen"	"kein_Trinken"
