"xml:id"	"Lemma"	"Lemma_bereinigt"	"Wortart"	"Level"	"Definition"	"Konzept"	"Begriff"
"PA01307"	"Alkohol"	"Alkohol"	"Substantiv"	"-"	"Alkohol"	"Getränk"	"Getränk"
"PA02392"	"An-trunk"	"Antrunk"	"Substantiv"		"erster Trunk"	"Getränk"	"Trunk "
"PB04922"	"Polack"	"Polack"	"Substantiv"	5	"Rest eines Getränkes im Glas"	"Getränk"	"Getränk"
"PB06831"	"Bruttel"	"Bruttel"	"Substantiv"	"1c"	"trübe Brühe"	"Getränk"	"Getränk"
"PD03596"	"Trank"	"Trank"	"Substantiv"	1	"Getränk"	"Getränk"	"Getränk"
"PD04431"	"Trink"	"Trink"	"Substantiv"		"Trunk"	"Getränk"	"Trunk "
"PD04436"	"Trinkens, Trinken"	"Trinkens, Trinken"	"Substantiv"	"2a"	"Getränk für Menschen"	"Getränk"	"Getränk"
"PD04804"	"Trunk"	"Trunk"	"Substantiv"	1	"was man auf einmal trinkt"	"Getränk"	"Trunk "
"PD04804"	"Trunk"	"Trunk"	"Substantiv"	2	"Getränk"	"Getränk"	"Trunk "
"PG02505"	"Ge-söff, -söffs, Ge-süff, -süffs"	"Gesöff, Gesöffs, Gesüff, Gesüffs"	"Substantiv"	1	"schlechtes, minderwertiges Getränk"	"Getränk"	"Getränk"
"PG02505"	"Ge-söff, -söffs, Ge-süff, -süffs"	"Gesöff, Gesöffs, Gesüff, Gesüffs"	"Substantiv"	2	"Getränk"	"Getränk"	"Getränk"
"PG02634"	"Ge-tränk"	"Getränk"	"Substantiv"	1	"Getränk für den Menschen"	"Getränk"	"Getränk"
"PG03154"	"Glas"	"Glas"	"Substantiv"	"3b"	"Inhalt des Trinkglases"	"Getränk"	"Getränk"
"PR02776"	"Runde"	"Runde"	"Substantiv"	1	"von einem Teilnehmer einer Gesellschaft gestiftetes Getränk"	"Getränk"	"Getränk"
"PR02804"	"Rundung"	"Rundung"	"Substantiv"	"x2"	"von einem Teilnehmer einer Gesellschaft gestiftetes Getränk"	"Getränk"	"Getränk"
"PS00902"	"Saufens"	"Saufens"	"Substantiv"	1	"Getränk, Trinkvorrat"	"Getränk"	"Getränk"
"PS00946"	"Sauf-zeug"	"Saufzeug"	"Substantiv"	"-"	"Getränke"	"Getränk"	"Getränk"
"PS02610"	"Schlabber-brühe"	"Schlabberbrühe"	"Substantiv"	"-"	"schlechtes, fades Getränk"	"Getränk"	"Getränk"
"PS02742"	"Schlaf-trunk"	"Schlaftrunk"	"Substantiv"	"-"	"Trunk vor dem Schlafengehen"	"Getränk"	"Trunk "
"PS03608"	"Schlurpser"	"Schlurpser"	"Substantiv"	1	"Schluck, Trunk"	"Getränk"	"Trunk "
"PS09547"	"Spül-wasser"	"Spülwasser"	"Substantiv"	2	"dünnes, fades Getränk"	"Getränk"	"Getränk"
