"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"PA00275"	"ab-gießen"	"Verb"	"-"	"vom Satz durch Gießen entfernen"	"kein_Trinken"
"PA00764"	"ab-steigen"	"Verb"	"1.2"	"einkehren"	"kein_Trinken"
"PA01084"	"Adler"	"Substantiv"	2	"Gasthaus zum Adler"	"kein_Trinken"
"PA01105"	"Affe"	"Substantiv"	4	"Rausch"	"kein_Trinken"
"PA01551"	"Ambuschur"	"Substantiv"	2	"wer tüchtig im Trinken ist"	"kein_Trinken"
"PA01683"	"an-brüten"	"Verb"	"x2"	"angeheitert"	"kein_Trinken"
"PA01953"	"an-heitern"	"Verb"	"-"	"wie schd »anheitern"	"kein_Trinken"
"PA02139"	"Anrauch-kopf"	"Substantiv"	2	"/betrunken sein, bzw. aussehen/"	"kein_Trinken"
"PA02161"	"an-rudeln"	"Verb"	"-"	"(RA) /betrunken sein/"	"kein_Trinken"
"PA02263"	"an-setzen"	"Verb"	6	"(Bowle) wie schd »ansetzen"	"kein_Trinken"
"PA02302"	"an-stechen"	"Verb"	1	"den Zapfhahn in ein Bier- oder Weinfaß treiben"	"kein_Trinken"
"PA02304"	"an-stecken"	"Verb"	1	"anzapfen"	"kein_Trinken"
"PA02306"	"Ansteck-kran"	"Substantiv"	"-"	"großer Hahn am Faß"	"kein_Trinken"
"PA02319"	"An-stich"	"Substantiv"	"-"	"das Anstechen eines Fasses"	"kein_Trinken"
"PA02333"	"an-streichen"	"Verb"	7	"betrunken machen"	"kein_Trinken"
"PA02450"	"an-zapfen"	"Verb"	1	"den Zapfen...ins Faß schlagen und das erste Mal Bier (Wein) laufen lassen"	"kein_Trinken"
"PA02559"	"Äpfel-traben"	"Substantiv"	"-"	"Rückstand beim Apfelkeltern"	"kein_Trinken"
"PA02560"	"Apfel-trester"	"Substantiv"	"-"	"Rückstand beim Apfelkeltern"	"kein_Trinken"
"PA02680"	"Arm, Armen"	"Substantiv"	"2a"	"eiserne Stange, an der das Wirtshausschild angebracht ist"	"kein_Trinken"
"PA02908"	"Attacke"	"Substantiv"	3	"(sch) Gelage"	"kein_Trinken"
"PA03044"	"auf-fahren"	"Verb"	"2a"	"auftischen"	"kein_Trinken"
"PA03408"	"Auf-träger"	"Substantiv"	"-"	"Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen"	"kein_Trinken"
"PA03421"	"auf-tun"	"Verb"	2	"mit dem Ausschank beginnen"	"kein_Trinken"
"PA03431"	"Auf-wärter"	"Substantiv"	"-"	"Aushilfskellner"	"kein_Trinken"
"PA03965"	"Aus-schank"	"Substantiv"	"-"	"wie schd »Ausschank"	"kein_Trinken"
"PA03974"	"aus-schenken"	"Verb"	"-"	"Getränke ausschenken"	"kein_Trinken"
"PA04096"	"aus-stoßen"	"Verb"	3	"anzapfen"	"kein_Trinken"
"PA04100"	"aus-streichen"	"Verb"	2	"ausgehen, das Wirtshaus besuchen"	"kein_Trinken"
"PA04122"	"Austrag-mädchen"	"Substantiv"	"-"	"das Mädchen, das das eingeschenkte Bier austrägt"	"kein_Trinken"
"PA04188"	"aus-zapfen, -zäpfen"	"Verb"	"-"	"Getränk durch den Zapfen aus dem Faß auslassen"	"kein_Trinken"
"PB00444"	"Ballen, Ball"	"Substantiv"	5	"Rausch"	"kein_Trinken"
"PB00465"	"Ballon"	"Substantiv"	4	"Rausch"	"kein_Trinken"
"PB00513"	"Bambusch"	"Substantiv"	1	"Rausch"	"kein_Trinken"
"PB00520"	"Bampel"	"Substantiv"	"2c"	"Gastwirt"	"kein_Trinken"
"PB00543"	"Bampel-wirt"	"Substantiv"	"-"	"ein Wirt, der sich nicht um die Gäste kümmert"	"kein_Trinken"
"PB00544"	"Bampel-, Bämpeles-wirtschaft"	"Substantiv"	"-"	"nachlässig geführte Wirtschaft"	"kein_Trinken"
"PB00552"	"Bamscher"	"Substantiv"	"-"	"Trunkenbold"	"kein_Trinken"
"PB01054"	"Bastrenk"	"Substantiv"	"-"	"Tanzlokal, Kneipe, Schenke"	"kein_Trinken"
"PB01111"	"Patsch-hand"	"Substantiv"	3	"Trinkgeld"	"kein_Trinken"
"PB01158"	"Batzen-häuslein"	"Substantiv"	"-"	"Wirtschaft an der Landstraße, wo der Wein 1 Batzen kostet"	"kein_Trinken"
"PB01348"	"Baum"	"Substantiv"	5	"Gasthausname"	"kein_Trinken"
