srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PA00305	ab-heben	EH00069	ab heben		Trinken.Alkohol_trinken
PA00305	ab-heben	EH00069	ab heben		Trinken.Alkohol_trinken
PA00579	ab-saufen	ES00281	ab sufen		Trinken
PA00610	ab-schie&#x00df;en	ES02315	ab schiessen		Trinken.Alkohol_trinken
PA01829	an-feuchten	EF00095	anf&#x00fc;chten		Trinken.Alkohol_trinken
PA02138	an-rauchen	ER00115	a(n) rauchen		Trinken.Alkohol_trinken
PA02561	&#x00c4;pfel-wein	EW00675	&#x00c4;pfelwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PA03957	aus-saufen	ES00286	us sufen		Trinken.Austrinken
PA04077	aus-stauben	ES04598	us st&#x00e4;&#x00fc;ben		Trinken.Austrinken
PA04088	Aus-stich	ES04673	Usstich		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB00514	bambuschieren	EP00919	bamberschieren, bamboschieren		Trinken.Alkohol_trinken
PB00617	Bankerott(s)-br&#x00fc;he	EP03711	Bankerottbr&#x00fc;ej		Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
PB00757	Pappel-wasser	EW01154	Bappelwasser		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB01491	bechern	EP00137	b&#x00eb;cheren		Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken
PB01548	be-dudeln	ET00272	bedudelt		Trinken.Alkohol_trinken
PB02130	be-sabeln	ES00050	besabelt		Trinken.Alkohol_trinken
PB02917	pfetzen	EP02832	pf&#x00eb;tzen		Trinken.Alkohol_trinken
PB03008	Pflaster	EP02945	Pflaster		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB03368	Bier	EP01634	Bier		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
PB03741	Birnen-wein	EW00678	Birenwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB03946	Pl&#x00e4;mpel	EP03252	Pl&#x00e4;mpel		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB04011	blasen	EP03365	blasen		Trinken.Alkohol_trinken
PB04398	blitzen	EP03534	blitzen		Trinken
PB04481	Blume	EP03179	Bluem(e), Blum		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB04922	Polack	EP00657	Polack		Getränk
PB05580	Brand	EP03894	Brand		Durst
PB05629	Brannt(e)-wein	EW00679	Branntenwi(n)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
PB05678	Brast	EP04055	Brast		Durst
PB06123	Briester	EP04065	Briesch, Briest		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PB06125	Briester-milch	EM00567	Brieschmilch		Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
PB06562	Br&#x00fc;he	EP03708	Br&#x00fc;ej(e)		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
PB07085	Puff	EP00322	buff		Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
