srcid	srclemma	tgtid	tgtlemma	tgtgram	concept_PfWb
PA00764	ab-steigen	ES04788	ab stigen		kein_Trinken
PA01084	Adler	EA00219	Adler		kein_Trinken
PA01105	Affe	EA00250	&#x00c4;ffele, Aff		kein_Trinken
PA02263	an-setzen	ES01280	an setzen		kein_Trinken
PA02302	an-stechen	ES04652	an st&#x00eb;chen		kein_Trinken
PA02304	an-stecken	ES04827	a(n) stecken		kein_Trinken
PA02333	an-streichen	ES05663	an strichen		kein_Trinken
PA02450	an-zapfen	EZ00452	an zapfen		kein_Trinken
PA02680	Arm	EA01182	Arm(en)		kein_Trinken
PA02908	Attacke	EA01441	Attake		kein_Trinken
PA03044	auf-fahren	EF00586	uffahren		kein_Trinken
PA03421	auf-tun	ET00056	uf tuen		kein_Trinken
PA03974	aus-schenken	ES02013	us sch&#x00eb;nken		kein_Trinken
PA04100	aus-streichen	ES05667	us strichen		kein_Trinken
PB00444	Ball	EP00589	Ball(e), Ballen		kein_Trinken
PB00520	Bampel	EP00922	Bampel, Bample		kein_Trinken
PB01348	Baum	EP00821	Baum		kein_Trinken
PB01551	be-duselt	ET01400	beduselt		kein_Trinken
PB02919	Pfetzer	EP02837	Pf&#x00eb;tzer		kein_Trinken
PB03059	Pflug	EP02875	Pflueg, Plug		kein_Trinken
PB05580	Brand	EP03894	Brand		kein_Trinken
PB05678	Brast	EP04055	Brast		kein_Trinken
PB05930	Breme	EP03816	Br&#x00eb;m(e)		kein_Trinken
PB05972	brennen	EP03834	br&#x00eb;nnen, brennen		kein_Trinken
PB06562	Br&#x00fc;he	EP03708	Br&#x00fc;ej(e)		kein_Trinken
PB07244	Bummer	EP00907	Bummer		kein_Trinken
PB07392	B&#x00fc;rde	EP01730	B&#x00fc;rde, Burde, Burdi		kein_Trinken
PB07506	B&#x00fc;rste	EP01846	B&#x00fc;rst(e), Burst		kein_Trinken
PB07543	Busch	EP02145	Buschen		kein_Trinken
PB07569	Buschon	EP02169	Buschong		kein_Trinken
PB07638	Butik	EP02376	Butik		kein_Trinken
PD00214	Dackel	ET00481	Dackel		kein_Trinken
PD00582	Dampes	ET00753	D&#x00e4;mpes, Dampes		kein_Trinken
PD00583	Dampf	ET00756	Dampf		kein_Trinken
PD00906	Darauf-geld	EG00536	Drufg&#x00eb;ld		kein_Trinken
PD00963	darauf-setzen	ES01283	druf setzen		kein_Trinken
PD01371	Daumen	ET00733	Dumen		kein_Trinken
PD01673	teigig	ET00530	teikig		kein_Trinken
PD02335	dienen	ET00797	dienen		kein_Trinken
PD02541	Tisch	ET01433	Tisch		kein_Trinken
PD03110	torkelig	ET01259	turklig		kein_Trinken
PD03115	Dorn	ET01295	Darn, Dorn		kein_Trinken
PD03426	Tracht	ET01774	Tracht		kein_Trinken
PD04804	Trunk	ET02165	Trunk		kein_Trinken
PD04986	Duft	ET00355	Duft		kein_Trinken
PD05046	Tummel	ET00741	Tummel		kein_Trinken
PD05184	Dunst	ET00939	Dunst		kein_Trinken
PD05219	T&#x00fc;pfen	ET01082	T&#x00fc;pfi		kein_Trinken
PD05256	Tur	ET01196	Tur		kein_Trinken
PD05747	Dusel	ET01396	Dusel		kein_Trinken
PE00653	Ein-kehr	EK00942	Inkehr		kein_Trinken
PE00654	ein-kehren	EK00947	i(n) kehren		kein_Trinken
