"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtgram"	"tgtlevel"	"tgtdef"	"Konzept"
"A00579"	"ab-saufen"	"S00281"	"ab sufen"		"1."	"durch übermässiges Trinken seine Gesundheit untergraben "	"kein_Trinken"
"A01084"	"Adler"	"A00219"	"Adler"	"m. "		"Adler. Häufig Wirtshausschild "	"kein_Trinken"
"A01105"	"Affe"	"A00250"	"Aff"	"m. "	"4."	"Rausch"	"kein_Trinken"
"A02263"	"an-setzen"	"S01280"	"an setzen"		"4."	"anstellen, Schnaps, Essig u. dergl "	"kein_Trinken"
"A03974"	"aus-schenken"	"S02013"	"us sch&#x00eb;nken"			"Getränke ausschenken "	"kein_Trinken"
"B00514"	"bambuschieren"	"P00919"	"bamberschieren"			"unnötig viel Geld verzehren, bes. im Wirtshaus "	"kein_Trinken"
"B01548"	"be-dudeln"	"T00272"	"bedudelt"			"betrunken"	"kein_Trinken"
"B01551"	"be-duselt"	"T01400"	"beduselt"	"Adj."		"betrunken "	"kein_Trinken"
"B05580"	"Brand"	"P03894"	"Brand"	"m. "	"7."	"Rausch"	"kein_Trinken"
"B07569"	"Buschon"	"P02169"	"Buschong"	"m. "		"Korkstöpsel, Pfropfen "	"kein_Trinken"
"B07638"	"Butik"	"P02376"	"Butik"	"f."	"3."	"kleine, unsaubere Wirtschaft "	"kein_Trinken"
"D00214"	"Dackel"	"T00481"	"Dackel"	"m. "		"Verwirrung, Betäubung, Taumel, Rausch "	"kein_Trinken"
"D00582"	"Dampes"	"T00753"	"D&#x00e4;mpes,Dampes "	"m. "		"Rausch"	"kein_Trinken"
"D00583"	"Dampf"	"T00756"	"Dampf"	"m. "	"2."	"Rausch"	"kein_Trinken"
"D03599"	"tr&#x00e4;nken"	"T02153"	"tr&#x00e4;nken"		"1."	"das Vieh tränken, scherzh. auch vom Menschen: zu trinken geben "	"kein_Trinken"
"D04691"	"Druck"	"T01939"	"Druck"	"m. "	"2."	"soviel auf einmal gepresst oder gekeltert wird "	"kein_Trinken"
"D05747"	"Dusel"	"T01396"	"Dusel"	"m. "	"2."	"Rausch "	"kein_Trinken"
"E00653"	"Ein-kehr"	"K00942"	"Inkehr"	"f."		"Einkehr "	"kein_Trinken"
"E00654"	"ein-kehren"	"K00947"	"i(n) kehren"			"einkehren"	"kein_Trinken"
"E00838"	"ein-schenken"	"S02012"	"in sch&#x00eb;nken"			"einschenken, von Getränken "	"kein_Trinken"
"F00099"	"Fahne"	"F00447"	"Fahn, Fahnen "	"Pl."	"8."	"Rausch"	"kein_Trinken"
"F02146"	"ver-saufen"	"S00287"	"versufen"		"2."	"durch Trinken verprassen "	"kein_Trinken"
"F02246"	"ver-schn&#x00e4;pseln"	"S03509"	"verschn&#x00e4;pslen"			"in Schnaps vertrinken "	"kein_Trinken"
"F02664"	"ver-zechen"	"Z00047"	"&#xed70;verz&#x00eb;chen"			"verzechen"	"kein_Trinken"
"F02810"	"Feucht-lappen"	"L01034"	"F&#x00fc;chtlappen"	"m. "		"Trinker"	"kein_Trinken"
"F03115"	"Viertel"	"F00620"	"Viertel"	"n."	"2."	"Viertele eine Flasche, die 0,25 l fassen kann, sodann der Inhalt einer solchen Flasche "	"kein_Trinken"
"F03608"	"Fl&#x00e4;sche"	"F01297"	"Flasch"	"f."		"Flasche"	"kein_Trinken"
"F04237"	"Vollheit"	"F00342"	"Vollheit"	"f."		"Trunkenheit, Zustand des Betrunkenseins"	"kein_Trinken"
"F04268"	"Voll-sauf"	"S00300"	"Vollsufer"	"m. "		"Säufer allg."	"kein_Trinken"
"F04281"	"Voll-zapfen"	"Z00445"	"Vollzapfen"	"m. "		"Trunkenbold "	"kein_Trinken"
"G03154"	"Glas"	"G01382"	"Glas"	"n."	"2."	"Trinkglas"	"kein_Trinken"
"G03154"	"Glas"	"G01382"	"Glas"	"n."	"3."	"Flasche"	"kein_Trinken"
"H00014"	"Haar-beutel"	"P02415"	"Harb&#x00fc;tel"	"m. "	"2."	"Rausch"	"kein_Trinken"
"H05512"	"Hippes"	"H01237"	"H&#x00fc;ps"	"m. "		"Rausch"	"kein_Trinken"
"K00043"	"Kaffee"	"K00182"	"Kaffee, Kaffi"	"n."	"2."	"Kaffeehaus"	"kein_Trinken"
"K00048"	"Kaffee-bohne"	"P01053"	"Kaffebohn(e)"	"f."		"Kaffeebohne "	"kein_Trinken"
"K00090"	"Kaffee-satz"	"S01273"	"Kaffeesatz"	"m. "		"Bodensatz in der Kaffeekanne oder –tasse "	"kein_Trinken"
"K01047"	"Kater"	"K01313"	"K&#x00e4;ter"	"m. "		"Weinrausch "	"kein_Trinken"
"K02301"	"Kiste"	"K01280"	"Kist(e)"	"f."	"2."	"Rausch"	"kein_Trinken"
"L00077"	"lack"	"L00683"	"lack"	"Adj."	"2."	"wässerig, von Getränken, Früchten "	"kein_Trinken"
"L01949"	"Linde"	"L00951"	"Lind(en)"	"f."	"2."	"Wirtshausschild "	"kein_Trinken"
