"srcid"	"srclemma"	"tgtid"	"tgtlemma"	"tgtlevel"	"tgtdef"	"Konzept"
"A02561"	"&#x00c4;pfel-wein"	"W00675"	"&#x00c4;pfelwi(n)"		"Apfelwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"A03957"	"aus-saufen"	"S00286"	"us sufen"		"leer saufen, leer trinken "	"Trinken.Austrinken"
"B00617"	"Bankerott(s)-br&#x00fc;he"	"P03711"	"Bankerottbr&#x00fc;ej"		"schlechter Wein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"B00757"	"Pappel-wasser"	"W01154"	"Bappelwasser"	"1."	"geistige Getränke "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"B00757"	"Pappel-wasser"	"W01154"	"Bappelwasser"	"2."	"Tee aus Blättern der Rosenpappel "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
"B01491"	"bechern"	"P00137"	"b&#x00eb;cheren"		"zechen, pokulieren, tüchtig trinken "	"Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken"
"B02917"	"pfetzen"	"P02832"	"pf&#x00eb;tzen"	"6."	"trinken "	"Trinken"
"B03368"	"Bier"	"P01634"	"Bier"		"Bier"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier"
"B03741"	"Birnen-wein"	"W00678"	"Birenwi(n)"		"Birnwein "	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"
"B03946"	"Pl&#x00e4;mpel"	"P03252"	"Pl&#x00e4;mpel"	"2."	"träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee "	"Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"
"B04011"	"blasen"	"P03365"	"blasen"	"2."	"trinken, gern und viel "	"Trinken.Schnell_große_Mengen_trinken"
