"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"LS02220"	"strack"	"adj. u. adv."	"4."	"sinnlos betrunken"	"kein_Trinken"
"LR00673"	"Rusch"	"m."		"Rausch"	"kein_Trinken"
"LS01522"	"Siffer"	"m."		"Säufer, Trunkenbold "	"kein_Trinken"
"LK00025"	"Kaffeebich"			"Kaffeebäuche, Spottname der Saargemünder wegen ihrer Vorliebe für Kaffee"	"kein_Trinken"
"LK00024 "	"Kaffee"	"m."	"2."	"Kaffeehaus"	"kein_Trinken"
"LL00553"	"Lump"	"m."		"Lump, Verschwender, Trunkenbold "	"kein_Trinken"
"LS02447"	"Suff-lappe"	"m."		"Trinker, Säufer "	"kein_Trinken"
"LS01849"	"Spritzer"	"m."	"2."	"leichter Rausch "	"kein_Trinken"
"LW00410 "	"Winessich "	"m."		"Weinessig"	"kein_Trinken"
"LW00466 "	"Wirtshus "			"Wirtshaus"	"kein_Trinken"
"LS00908 "	"Schapsbuddel "			"Schnapsflasche "	"kein_Trinken"
"LS02015"	"Steiwer"	"m."		"kleiner Rausch "	"kein_Trinken"
"LH00844"	"Hucker"	"m."	"2."	"gewohnheitsmäßiger Wirtshaussitzer "	"kein_Trinken"
"LW00471"	"Wirtschaft"	"f."		"Wirtschaft, Wirtshaus "	"kein_Trinken"
"LB00394"	"be-duselt"	"adj."		"angetrunken "	"kein_Trinken"
"LH00573"	"Hib"	"m."		"Räuschchen "	"kein_Trinken"
"LB01764"	"Buschong"	"m."		"Korkstöpsel, Propfen "	"kein_Trinken"
"LF01125"	"Vollchit"	"f."		"Betrunkenheit "	"kein_Trinken"
"LI00092"	"in-schenken"	"tr. v."		"einschenken "	"kein_Trinken"
"LS00146"	"Satz I"	"m."	"2."	"Bodensatz, Niederschlag einer jeden Flüssigkeit "	"kein_Trinken"
"LS02065"	"sterrevoll"			"ganz betrunken "	"kein_Trinken"
"LS00918"	"Schnapser"	"m."		"Schnapstrinker. Die Bewohner von Bettweiler (Kr. Saargemünd) heißen Schnapser. "	"kein_Trinken"
"LD00111"	"Danne-strauss"			"Tannenzweig als Aushängeschild eines Wirtshauses "	"kein_Trinken"
"LS02449"	"Suffer"			"Säufer, Trunkenbold "	"kein_Trinken"
"LK01030 "	"Koschthaus "	"f."		"Haus, in dem man beköstigt wird "	"kein_Trinken"
"LK01012"	"koren"	"tr. v."		"kosten; versuchen, wie etwas schmeckt "	"kein_Trinken"
"LK00024"	"Kaffee"	"m."	"2."	"Kaffeehaus"	"kein_Trinken"
"LF01050"	"Flesch"	"f."	"1."	"Flasche, Feldflasche "	"kein_Trinken"
"LD01174"	"Dusel"	"m."	"2."	"Rausch "	"kein_Trinken"
"LS00468"	"schicker"	"adj."		"betrunken"	"kein_Trinken"
"LD00093"	"Damp"	"m."	"3."	"Rausch, Betäubung durch geistige Getränke "	"kein_Trinken"
"LK00034 "	"Kaffeesatz "	"m."		"Kaffeesatz"	"kein_Trinken"
"LS02432"	"Suckel"	"f."		"irgend ein Gegenstand, an dem gesogen wird "	"kein_Trinken"
"LF01121"	"voll"	"adj."	"2."	"betrunken "	"kein_Trinken"
"LS00775"	"Schluck I"	"m."	"1."	"Schluck, Zug "	"kein_Trinken"
"LZ00034"	"aZpen"	"m."	"1."	"Zapfen am Faß, an der Flasche, am Gebälk, Eiszapfen"	"kein_Trinken"
"LZ00038"	"zappen"		"1."	"Wein, Bier vom Zapfen schenken"	"kein_Trinken"
"LD00678"	"Traht"	"f."	"5."	"Rausch "	"kein_Trinken"
"LD00928"	"dronken"	"adj."	"1."	"betrunken "	"kein_Trinken"
"LS00917 "	"Schapsnas "			"Schnapstrinker "	"kein_Trinken"
"LR00242"	"regalieren"		"2."	"sich durch Speise u. Trank laben "	"kein_Trinken"
"LK00144"	"kanone-voll"	"adj."		"völlig betrunken "	"kein_Trinken"
"LF00823"	"Viertel"	"n."	"1."	"der 4. Teil eines Maßes "	"kein_Trinken"
"LA00303"	"an-setzen"	"tr. v."	"3."	"anstellen; Brombeeren, Mirabellen, Chinawurzel usw. in Alkohol einweichen, um ein besonders hygienisches Likör herzustellen "	"kein_Trinken"
"LR00400"	"Ribott"	"f."		"Rausch, Saufgelage "	"kein_Trinken"
"LW00464"	"Wirt"	"m."		"Wirt, Gastwirt "	"kein_Trinken"
