xml:id	Lemma	Wortart	Level	Definition	Konzept
EA00652	Amors	f.	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EA00969	Instrement	n.	1.	Musikinstrument	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EF00193	Kanarienvogel		3.	Wasserjungfer	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
EF00196	Krammetsvogel	m.	1.	Krammetsvogel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
EF00666	fürig  I	Adj.	2.	scharf, brennend auf der Zunge od. im Gaumen, namentlich von Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EF00759	Form		3.	gedrechselte runde Holzstücke der Bortenwirker; dieselben werden mit Wolle oder Seide überzogen	Getränk
EF00832	Fass		1.	Fass, hölzernes Gefäss, das meist zur Aufnahme von Flüssigkeiten, bes. von Wein, bestimmt ist	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
EF00951	Fisch		2.	feste Bestandteile, die in einem vorgesetzten Getränk umherschwimmen, z. B. Pech im Bier und dgl	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
EF01024	Vitriol	m.	2.	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EF01248	(h)erum flankieren		2.	herumstreichen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00048	zesammen  gehn		3.	zusammenschrumpfen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00134	us gëe(n)		3.	bei der Ernte, Wein- und Obstlese: ergiebig sein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
EG00198	geiferen		1.	Speichel oder Speise und Trank aus dem Munde fliessen lassen und dadurch die Kleider beschmutzen	Getränk
EG00225	Rattengift	n.	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
