xml:id	Lemma	Wortart	Level	Definition	Konzept
EA00213	Ader		3.	Charakterzug	kein_Trinken
EA00250	Aff		4.	Rausch	kein_Trinken
EA01244	Ürten	f.	1.	Zeche, gemeinsamer Schmaus in einem Gasthaus	kein_Trinken
EF00161	Fëger	m.	5.	ein Rausch	kein_Trinken
EF00447	Fahn		8.	Rausch allg	kein_Trinken
EG00010	an gehn		7.	zugehören	kein_Trinken
EG00572	gëlten		1.	kosten, wert sein	kein_Trinken
EG00861	Sufgurgel	f.	1.	Säufer	kein_Trinken
EG00945	Gas	m.	3.	Rausch	kein_Trinken
EG01144	Gutter(e)		1.	Flasche, meist mit grossem Bauch, engem Halse und Giessschnabel, oft mit Stroh umflochten, Korbflasche; aus Glas oder Steingut; dient zum Aufbewahren von Kirsch- oder Pflaumenwasser, Schnaps, Wein, Essig, Petroleum; seltener auch eine kleine Flasche. Rda	kein_Trinken
EG01147	gutteren		2.	gluckern, wie Wasser, das aus einer Flasche geschüttet wird	kein_Trinken
EG01382	Glas		2.	Trinkglas	kein_Trinken
EG01382	Glas		3.	Flasche	kein_Trinken
EH00064	Haber(en)		3.	ist angetrunken	kein_Trinken
EH00171	Huch		2.	Rausch	kein_Trinken
EH00214	Hudel		3.	liederliche, bes. in der Kleidung nachlässige Person; Lump, Säufer, wilder, ungestümer Mensch, schlechter Arbeiter, der alles nur obenhin macht	kein_Trinken
EH00265	Spatzenhafen	m.	2.	Name einer alten Strassburger Wirtschaft vor dem Judenthor	kein_Trinken
EH00642	Windhals	m.	2.	langhalsige Flasche mit einem Rauminhalt von etwa	kein_Trinken
EH00857	Hahn(e)		3.	Wirtshaus zum Hahn: stets	kein_Trinken
EH00857	Hahn(e)		5.	Rausch	kein_Trinken
EH01203	hüpperen		4.	trinken: eine Flasche	kein_Trinken
EH01228	hops		3.	ist angetrunken	kein_Trinken
EH01413	Schrëpfhörnle		2.	kleines Bierglas	kein_Trinken
EH01490	Hirz		4.	Rausch	kein_Trinken
EH01490	Hirz		5.	Wirtshausschild	kein_Trinken
EH01606	verhusen		1.	durch schlechte Wirtschaft durchbringen, verschwenden	kein_Trinken
EH01674	Hutt(e)		2.	Rausch	kein_Trinken
EK00019	Keib		4.	Rausch	kein_Trinken
EK00182	Kaffee		2.	n. Kaffeehaus allg	kein_Trinken
EK00185	Kaffinell	f.	2.	Kaffeeschwester	kein_Trinken
EK00193	Käfer		2.	leichter Rausch. Rda	kein_Trinken
EK00427	Kam(e)rad		5.	Rausch	kein_Trinken
EK00534	Kampanje	f.	1.	Feldzug	kein_Trinken
EK00577	Kanon(e)		3.	Rausch	kein_Trinken
EK00947	i(n) kehren		1.	einkehren	kein_Trinken
EK01253	Kasten		11.	Rausch	kein_Trinken
EK01280	Kist(e)		2.	Rausch	kein_Trinken
EK01340	Kittel		2.	Rausch	kein_Trinken
EK01385	Kuttel		4.	dicke Person, Fresser, Säufer	kein_Trinken
EK01653	klepfen		4.	wegschnappen, verzehren (Obst; eine Flasche Wein	kein_Trinken
EK01662	klopfen		1.	schlagen, hämmern; mit dem Glase auf den Tisch klopfen, wenn man im Wirtshaus noch etwas wünscht; trinken	kein_Trinken
EK01714	klutteren		1.	plätschern, in Flüssigkeiten Blasen und gurgelnde Töne hervorbringen, z. B. beim Sieden, beim Sprudeln einer Quelle, beim Einschenken aus einer Flasche, beim Waschen, bes. beim Spielen im Wasser	kein_Trinken
EK01770	Knebel		2.	(in älterer Zeit) zum Einschneiden der Schulden bei Bäcker, Wirt, Hufschmied	kein_Trinken
EK02087	Krueg		2.	Trunkenbold, Säufer	kein_Trinken
EK02568	Kräz(en)		5.	Rausch	kein_Trinken
EK02580	Kritzer	m.	4.	kleiner Rausch	kein_Trinken
EL00173	verlëchen		2.	austrocknen, verschmachten vor Durst	kein_Trinken
EL00342	Lader	m.	2.	Dampf, Rausch	kein_Trinken
EL00344	Lading	f.	3.	Rausch	kein_Trinken
EL00532	Durchluft	n.	1.	Wirtshaus	kein_Trinken
EL00559	Winlogel	n.	2.	Trunkenbold, Schimpfn. für einen Bewohner der oberels. Weingegend	kein_Trinken
EL00951	Lind(en)	f.	2.	Wirtshausschild: die	kein_Trinken
EL01180	Lappenlur(e)	f.	3.	Kaffeeschwester	kein_Trinken
EM00069	ufmachen		1.	öffnen, Thüren und Fenster; eröffnen, ein Geschäft, eine Wirtschaft u. dergl. Vgl. auch	kein_Trinken
EM00069	ufmachen		3.	aufschreiben, notieren, namentl. Spielstriche beim Kartenspiel im Wirtshaus	kein_Trinken
EM00635	Mëmmi		2.	m. Trinker	kein_Trinken
EM00899	mapull	Adj.	2.	betrunken	kein_Trinken
EM01245	Fëldmësser	m.	2.	Betrunkener	kein_Trinken
EN00031	Nëbel		3.	Rausch	kein_Trinken
EP00149	Buch II		2.	Bauch einer Flasche	kein_Trinken
EP00202	Büchs(e)	f.	3.	Flasche	kein_Trinken
EP00379	Bügel		2.	Rausch	kein_Trinken
EP00561	Buckel		6.	Krümmung eines Flusses, vgl. die Wirtschaft am	kein_Trinken
EP00922	Bample		†7.	Flasche	kein_Trinken
EP00984	Isenbahn		2.	Eisenbahnzug	kein_Trinken
EP01174	Bunden		3.	Korkstopfen auf der Flasche; Zss	kein_Trinken
EP01191	Bëngel		3.	Rausch	kein_Trinken
EP01948	bausen		2.	zechen	kein_Trinken
EP02080	Position	f.	2.	ein gewöhnliches Trinkglas voll Schnaps (Wirtshausspr	kein_Trinken
EP02361	Butëll(e)		1.	Flasche	kein_Trinken
EP02376	Butik		3.	kleine, unsaubere Wirtschaft	kein_Trinken
EP02415	Harbütel	m.	2.	übtr. Rausch	kein_Trinken
EP02699	Bettpfann(e)	f.	1.	Bettflasche	kein_Trinken
EP02814	pfutlen		1.	quallern, mit Geräusch hervordringen (wie Wasser aus einer Flasche	kein_Trinken
EP03894	Brand		7.	Rausch. Rda	kein_Trinken
EP03930	Brenz		2.	Rausch	kein_Trinken
EQ00056	Quast	f.	2.	Rausch	kein_Trinken
ER00383	regalieren		1.	trans. bewirten, die Zeche bezahlen	kein_Trinken
ER00670	Rämpes		2.	leichter Rausch	kein_Trinken
ES00043	Sabel		3.	Rausch	kein_Trinken
ES00046	Schleifsabel	m.	2.	übtr. Rausch	kein_Trinken
ES00047	Schleppsabel	m.	2.	übtr. Rausch	kein_Trinken
ES00139	versuechen		3.	kosten	kein_Trinken
ES00283	besoffen		1.	betrunken	kein_Trinken
ES00288	versoffen	Adj.	3.	den Trinker kennzeichnend	kein_Trinken
ES00291	Sufens		1.	Zecherei	kein_Trinken
ES00301	Suferei	f.	2.	Trinkgelage	kein_Trinken
ES00485	Dudelsack	m.	5.	Betrunkener	kein_Trinken
ES00529	Schnappsack	m.	3.	Innere Tasche in Rock oder Weste, wohin man Gegenstände steckt, die man nicht gern verlieren will, u. a. auch die Schnapsflasche	kein_Trinken
ES00572	Katzenseckel	m.	2.	Trunkenbold	kein_Trinken
ES00668	sëlig,		1.	glücklich, bes. im Rausch allg	kein_Trinken
ES00987	ummesunst	Adv.	2.	ohne Kosten, geschenkweise	kein_Trinken
ES01268	Ansatz	m.	1.	Kostenanschlag	kein_Trinken
ES01797	scholleren		4.	beim Billard- und Kegelspiel einen gewissen Betrag vom Einsatz vorwegnehmen (vom Wirt	kein_Trinken
ES01823	Schild		1.	Schild am Wirtshaus. Rda	kein_Trinken
ES02186	Schërben,		3.	Milchtopf von 1 Lit. Inhalt	kein_Trinken
