xml:id	Lemma	Wortart	Level	Definition	Konzept
CA00042	ab-rahmen		1.	Rahm von der Milch wegnehmen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CA00055	ab-schidden	tr. v.		(eigentl. abschütten) den bessern Teil von der Milch (den Rahm	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CA00253	Änes	n.	2.	Anisbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CA00262	Angläs		1.	f. weiße Wein-Flasche, drei Viertel Liter enthaltend	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CA00303	an-setzen	tr. v.	3.	anstellen; Brombeeren, Mirabellen, Chinawurzel usw. in Alkohol einweichen, um ein besonders hygienisches Likör herzustellen	Getränk
CA00351	Appelvitz	m.		Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB00004	Babbel-wasser	n.		Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CB00017	Bach	f.	2.	Wasserlache	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB00070	Paipampel	m.		Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB00127	Bank	f.	3.	Wasserbank	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB00146	Pans-bruder	m.		einer, der nur für seinen Bauch sorgt, der immer essen u. trinken möchte	Trinken
CB00183	Bäre-dreck			Süßholzsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
CB00286	baschtisch	interj.		fast allg. plumps! (beim Fallen ins Wasser oder in den Schlamm	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB00331	Paure-wein	m.		ungekelteter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB00394	be-duselt	adj.		angetrunken	Getränk
CB00460	Peipleng	m.		Schmetlerling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB00479	Pek I			saurer Wein, aus Trestern hergestellt, indem man Wasser zusetzt u. das Gemisch einige Tage in einem Fasse stehen läßt	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CB00615	be-sawelt	adj.		betrunken	Getränk
CB00626	be-schipsen		2.	sich betrinken	Trinken.Alkohol_trinken
CB00676	be-trinken	refl. v.		sich betrinken	Trinken.Alkohol_trinken
CB00724	Biboppert	m.		Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CB00755	Bier II			u. m. Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
CB00829	Kaffis-binz			Kaffeekanne	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
