"xml:id"	"Lemma"	"Wortart"	"Level"	"Definition"	"Konzept"
"CI00185"	"iwer-hewen"	"intr. v."		"zu schwer heben, so daß man sich einen Schaden zuzieht"	"kein_Trinken"
"CR00248"	"Reh"	"n."		"Reh, aber nur in den Zss"	"kein_Trinken"
"CS00142"	"Sattel"	"m."	"1."	"Sattel"	"kein_Trinken"
"CF00537"	"ver-näjen"	"tr. v."		"vernähen, zu Ende nähen"	"kein_Trinken"
"CK00603"	"Klack"				"kein_Trinken"
"CK00637"	"kläsper"	"adj."		"schmächtig, unansehnlich, zart gebaut; geschmeidig"	"kein_Trinken"
"CK01156"	"Kreschel"	"f."			"kein_Trinken"
"CE00269"	"res"	"Pl."		"(Genitiv zu"	"kein_Trinken"
"CS00860"	"schmodeln"	"intr. v."	"1."	"ungeschickt, schlecht kochen"	"kein_Trinken"
"CK00619"	"Klä(n)-mihl"			"Kleinmühle, Ortsbezeichnung in der Gemeinde Rieding"	"kein_Trinken"
"CB00012"	"bäbich"	"adj."		"kleberig, schmierig"	"kein_Trinken"
"CF01207"	"Fransel"	"f."	"1."	"Franse"	"kein_Trinken"
"CB01316"	"Bouf"			"Bube"	"kein_Trinken"
"CD00891"	"Triwelieres"	"n."		"das Drängeln, die Quälerei"	"kein_Trinken"
"CB00633"	"be-schnaksen"	"tr. v."		"vorwitzig besehen, untersuchen, die Nase hineinstecken"	"kein_Trinken"
"CN00142"	"nennen"	"tr. v."	"1."	"nennen"	"kein_Trinken"
"CB00463"	"Peischten"			"Pfingsten"	"kein_Trinken"
"CR00546"	"Ronsch"	"f."		"Schaukel, Schaukelstange, Schaukelbrett"	"kein_Trinken"
"CF01000"	"Flatschen"	"tr. v."		"flacher Haufen nassen Drecks, Kuhfladen"	"kein_Trinken"
"CD01101"	"Tupi"	"m."		"Kreisel"	"kein_Trinken"
"CD01147"	"turren"	"tr. v."		"zerren, stoßen"	"kein_Trinken"
"CF00033"	"Fall"	"m."	"1."	"Falle"	"kein_Trinken"
"CM00349"	"meschen"				"kein_Trinken"
"CK00640"	"Klatsch-ros"	"f."		"Klatschmohn, Klatschrose"	"kein_Trinken"
"CW00504"	"Witing"	"f."		"Weite, Umfang, Entfernung"	"kein_Trinken"
"CA00079"	"Ädde"	"m."		"Vater (fast nur von Juden u. für Juden gebräuchlich, gleich"	"kein_Trinken"
"CB01083"	"plompen"	"intr. v."	"1."	"schwer hinfallen, plumpen"	"kein_Trinken"
"CD00829"	"Treppling"	"m."		"Treppenstufe"	"kein_Trinken"
"CS02003"	"Steier"				"kein_Trinken"
"CS00861"	"Schmodler"	"m."		"einer, der"	"kein_Trinken"
"CE00198"	"Enkel"	"m."		"Fußknöchel, Enkel"	"kein_Trinken"
"CM00254"	"Mawe"			"Magen"	"kein_Trinken"
"CN00340"	"Nunn"	"f."		"Nonne, Klosterfrau. Rda"	"kein_Trinken"
"CR00683"	"Russ"	"m."	"1."	"Russe"	"kein_Trinken"
"CS02261"	"Streck-isen"			"fast allg"	"kein_Trinken"
"CD01077"	"dummlen"	"refl. v."		"sich eilen"	"kein_Trinken"
"CH00472"	"Henner"			"männl. Vorname Heinrich"	"kein_Trinken"
"CK01239"	"Krippel"	"m."	"1."	"Krüppel"	"kein_Trinken"
"CZ00177"	"Ziwel-kalenner"			"Zwiebelkalender. Zum Vorherbestimmen "	"kein_Trinken"
"CS00616"	"Schlamassel"	"m."		"n. in der Vbdg"	"kein_Trinken"
"CM00432"	"Milings-spiel"	"n."		"dasselbe wie"	"kein_Trinken"
"CS00079"	"Salopp"	"f."		"schmutzige Weibsperson"	"kein_Trinken"
"CH00862"	"Huffen"	"m."		1	"kein_Trinken"
