xml:id	Lemma	Wortart	Level	Definition	Konzept
EL01683	Letz		1	W. Kr	kein_Trinken
EM01393	Maschores	m.		Diener, Knecht, Bediente; meist verächtl	kein_Trinken
EA00491	alatanta			unterdessen, einstweilen; indessen, doch	kein_Trinken
EF00908	Fuess	m.		1	kein_Trinken
EM01490	Matt(e)	f.		Matte, Wiese	kein_Trinken
ES01277	setzen	Part.	1	setzen	kein_Trinken
EP03174	blöcklen			Pappsoldaten durch Nägel auf ein Holzklötzchen befestigen. Rda	kein_Trinken
EN00405	nupper			gering, schlecht	kein_Trinken
EW00284	wäffelen			gedeihen	kein_Trinken
EW01287	wäschen		1	tr. u. refl. waschen	kein_Trinken
EA00950	Ungkät			ich warne dich ernstlich davor, noch einmal durch meinen Garten zu gehen	kein_Trinken
EA00958	Insle			U. f. Insel	kein_Trinken
EW01278	wusselen			sich schnell bewegen, namentlich von kleinen Tierchen, Insekten, dann auch von kleinen Kindern, die eben das Gehen gelernt haben; oft unpersönl	kein_Trinken
ER00450	Reijen	m.	1	Reihe	kein_Trinken
ET02265	driesch	Adj.		unbebaut, brach	kein_Trinken
ER00440	Rih(en)		1	Rist des Fusses	kein_Trinken
ET01311	Turn	m.	1	Turm, Demin. Türmchen an oder auf einem Hause zur Verzierung	kein_Trinken
EP00780	balsemieren			einbalsamieren. —	kein_Trinken
ES02800	Schling(e)			kleine Schlinge zum Anhaken oder Einknöpfen, vertritt vielfach die Stelle des Knopflochs	kein_Trinken
EP04271	Bschore			Ausgleich, Vergleich	kein_Trinken
ES00611	Süküb	f.		Untertasse. — frz	kein_Trinken
EH00555	hulleren			rollen, Kugeln spielend fortrollen	kein_Trinken
EP03485	Bluet	n.		Blut	kein_Trinken
EN00534	Nuss	f.		1	kein_Trinken
EP03938	Prinz	m.	1	Prinz. Scherzh	kein_Trinken
EM00433	malad	Adj.		unwohl, kränklich, unpässlich: nur präd. Adj	kein_Trinken
EP02219	Bataklick	m.	1	schlechte Gesellschaft	kein_Trinken
ES00218	Sid(e)	f.	1	Seide, Seidenstoff	kein_Trinken
ES04513	Sprit	m.	1	Sprit, Weingeist	kein_Trinken
ET00339	tief	Adj.		u. Adv. tief. Rda	kein_Trinken
EK00533	Kumfrënz	f.		Conferenz (selten)	kein_Trinken
ES05458	Sturm	m.	1	Sturm	kein_Trinken
ET00348	döfflen			schlagen, prügeln	kein_Trinken
EZ00414	Zinzerle	n.		in der Kinderspr	kein_Trinken
EG01890	grattlen		1	auf Händen und Füssen gehn, kriechen	kein_Trinken
ER00528	Rëktor	m.		katholischer Kantonalpfarrer	kein_Trinken
EG01558	Grider			Wiesenknopf	kein_Trinken
ET02282	trust	Adj.		schön	kein_Trinken
EM01415	Muschel	f.		Geschwulst an den Beinen der Pferde über dem Hufe	kein_Trinken
EM01636	Moitz			Anprall einer Schnellkugel gegen einen Gegenstand, beim Spiel	kein_Trinken
EN00239	näckeren			unordentlich oder mit einem stumpfen Messer an einem Gegenstand herum schneiden	kein_Trinken
EP02041	Biesel	n.	1	ein Zwölfsolsstück, später nur 10 Sols geltend; auch bei Goethe während seines Aufenthalts in Straßburg	kein_Trinken
ET01051	Tupe	n.	1	zurückgekämmtes, in die Höhe gestelltes Stirnhaar	kein_Trinken
EW00246	Wid(e)	f.		Weide	kein_Trinken
EP00639	Bilechel	n.		weibliches Küchlein	kein_Trinken
EH01858	Hotz				kein_Trinken
EZ00758	zwitzeren		1	flimmern, schimmern, funkeln	kein_Trinken
EG01777	grepieren			zu Grunde gehn, sterben (von Tieren, aber auch Menschen)	kein_Trinken
EP02732	Pforen	m.		Stier, Farren	kein_Trinken
EM01399	Maüsche	m.		Kopf	kein_Trinken
EN00523	Niss			selten Sing. f	kein_Trinken
EA01242	Urtel	n.		Urteil. Beim Vorbeigehen an schwatzenden Waschweibern ruft man ihnen zu	kein_Trinken
EM01295	Misel	n.		Strohbündel, Holzbündel	kein_Trinken
EP01826	Përpendickel	m.		Pendel der Uhr	kein_Trinken
EA01052	Apropo			Rda. bei dieser Gelegenheit, frz	kein_Trinken
ER00384	Regel	f.	1	Lineal O. bis	kein_Trinken
EL00016	Lab	n.		1	kein_Trinken
ES00596	Sockel	m.		niedrige Holzverschalung	kein_Trinken
EK02349	Krott	f.		1	kein_Trinken
EP00619	Pales		1	männl. Vorname Paulus (selten)	kein_Trinken
EP01300	Bappe	m.	1	Vater, von Vornehmeren, von Kindern, von den Bauern als Kosewort gebraucht. Vgl. das humoristische Ged. von Hartmann	kein_Trinken
ES04581	stabel	Adj.		fest, beständig	kein_Trinken
ES00226	Sider	m.		Apfelwein. — frz	kein_Trinken
