xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
EA00652	Amors	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The most appropriate concept for ""Amors"" (schlechter Schnaps) is:

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
ET01334	durstig	Adjektiv	durstig	Durst	Durst	"The most appropriate concept for ""durstig"" is:

Durst"
ET01335	dürsterig, dürsterlich	Adjektiv	durstigmachend, durstbringend	Durst	Durst	"The dictionary entry discusses causing or bringing thirst, which directly relates to the concept of ""Durst.""

**Answer:** Durst"
LD01155	durschtisch	Adjektiv	durstig	Durst	Durst	"The dictionary entry for ""durschtisch"" meaning ""thirsty"" directly relates to the concept of thirst. 

Durst"
PD05717	dursterig, dürsterig	Adjektiv	durstig	Durst	Durst	Durst
PD05718	durstig, dürstig	Adjektiv	durstig, dürstig	Durst	Durst	"The dictionary entry ""durstig, dürstig"" refers to being thirsty, which directly corresponds to the concept of 'Durst.'

Durst"
PL01019	lech	Adjektiv	durstig	Durst	Durst	"The headword ""lech"" translates to ""thirsty,"" which corresponds directly to the concept ""Durst.""

Durst"
PU00917	unter-irdisch	Substantiv	der aus Kartoffeln hergestellte Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EF00900	Fusel	Substantiv	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The concept that fits ""Fusel"" as an inferior brandy is Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose.

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
EF01024	Vitriol	Substantiv	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00225	Rattengift	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The dictionary entry for ""Rattengift"" is defined as ""Schnaps,"" which refers to a type of spirit. 

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
EG00272	Giger	Substantiv	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The dictionary entry refers to a poor-quality spirit, fitting under alcoholic cold beverages as a type of spirit.

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"
EG00282	Giges, Gigs	Substantiv	schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00283	Burlegiges	Substantiv	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	
EG01048	Geist	Substantiv	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	kein_Trinken	
EG01127	Herrgöttel	Substantiv	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	
