xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Top_1	Top_3	Top_5	Konzeptübereinstimmung
PA00275	ab-gießen	abgießen	Verb	-	vom Satz durch Gießen entfernen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA00764	ab-steigen	absteigen	Verb	1.2	einkehren	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA01084	Adler	Adler	Substantiv	2	Gasthaus zum Adler	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA01105	Affe	Affe	Substantiv	4	Rausch	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA01551	Ambuschur	Ambuschur	Substantiv	2	wer tüchtig im Trinken ist	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA01683	an-brüten	anbrüten	Verb	x2	angeheitert	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA01953	an-heitern	anheitern	Verb	-	anheitern	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02139	Anrauch-kopf	Anrauchkopf	Substantiv	2	betrunken sein, bzw. aussehen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02161	an-rudeln	anrudeln	Verb	-	betrunken sein	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02263	an-setzen	ansetzen	Verb	6	(Bowle) ansetzen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02302	an-stechen	anstechen	Verb	1	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02304	an-stecken	anstecken	Verb	1	anzapfen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02306	Ansteck-kran	Ansteckkran	Substantiv	-	großer Hahn am Faß	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02319	An-stich	Anstich	Substantiv	-	das Anstechen eines Fasses	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02333	an-streichen	anstreichen	Verb	7	betrunken machen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02450	an-zapfen	anzapfen	Verb	1	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02559	Äpfel-traben	Äpfeltraben	Substantiv	-	Rückstand beim Apfelkeltern	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02560	Apfel-trester	Apfeltrester	Substantiv	-	Rückstand beim Apfelkeltern	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
PA02680	Arm, Armen	Arm, Armen	Substantiv	2a	eiserne Stange, an der das Wirtshausschild angebracht ist	kein_Trinken	kein_Trinken	kein_Trinken	kein_Trinken	perfekt
