xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Top_1	Top_3	Top_5	Konzeptübereinstimmung
PA00610	ab-schießen	abschießen	Verb	1c'a	einen (Wein) trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	voll
PA02174	an-säufeln	ansäufeln	Verb	-	sich einen kleinen Rausch antrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken	perfekt
PA02250	an-schwipsen	anschwipsen	Verb	-	sich einen Rausch antrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken; Trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	voll
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Getränk	Getränk	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee; Getränk.Kaltgetränk	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee; Getränk.Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk	perfekt
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	perfekt
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink; Getränk.Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	perfekt
PA03809	aus-läppern	ausläppern	Verb	-	in kleinen Schlucken austrinken	Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken; Trinken.Alkohol_trinken	perfekt
PA04011	aus-schöppeln	ausschöppeln	Verb	-	zu Ende schöppeln, trinken	Trinken.Austrinken; Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken; Trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken; Trinken; Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken	perfekt
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk; Getränk; Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk	perfekt
PB00551	bamschen	bamschen	Verb	-	viel trinken, saufen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken; Trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken; Trinken; Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	voll
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk; Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk; Getränk	perfekt
