xml:id	Lemma	Wortart	Level	Definition	Konzept	Konzept_gemappt	Distanz_minimal	Distanz_Durchschnitt	Kante_min
PA00150	Abend-milch	Substantiv	-	Milch, die am Abend gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PA00155	Abend-schoppen	Substantiv	-	Abendschoppen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	kein_Trinken	9	9.0	
PA00305	ab-heben	Verb	I2f	einen trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PA00579	ab-saufen	Verb	1a	oben heruntersaufen	Trinken	kein_Trinken	9	9.0	
PA00610	ab-schießen	Verb	1c'a	einen (Wein) trinken	Trinken.Alkohol_trinken	Trinken; Trinken.Alkohol_trinken	0	0.5	Alkohol trinken → Alkohol trinken
PA00825	ab-trinken	Verb	1	von oben wegtrinken	Trinken	kein_Trinken	9	9.0	
PA00825	ab-trinken	Verb	2	ein Glas Bier oder Wein leeren	Trinken.Alkohol_trinken;Trinken.Austrinken	kein_Trinken	9	9.0	
PA01307	Alkohol	Substantiv	-	Alkohol	Getränk	kein_Trinken	9	9.0	
PA01737	an-dudeln	Verb	-	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PA01739	an-duseln	Verb	-	sich einen Dusel antrinken	Trinken.Alkohol_trinken	kein_Trinken	9	9.0	
PA01829	an-feuchten	Verb	2	einen trinken	Trinken.Alkohol_trinken	Trinken	1	1.0	Alkohol trinken → trinken
PA02138	an-rauchen	Verb	2	sich einen kleinen Rausch antrinken	Trinken.Alkohol_trinken	kein_Trinken	9	9.0	
PA02174	an-säufeln	Verb	-	sich einen kleinen Rausch antrinken	Trinken.Alkohol_trinken	kein_Trinken	9	9.0	
PA02175	an-saufen	Verb	1	mit dem Saufen (Trinken) beginnen	Trinken	kein_Trinken	9	9.0	
PA02175	an-saufen	Verb	3	sich volltrinken	Trinken.Alkohol_trinken	kein_Trinken	9	9.0	
PA02176	an-säuseln	Verb	1	sich leicht betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PA02250	an-schwipsen	Verb	-	sich einen Rausch antrinken	Trinken.Alkohol_trinken	kein_Trinken	9	9.0	
PA02391	an-trudeln	Verb	2	sich betrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	0	0.0	Alkohol trinken → Alkohol trinken
PA02392	An-trunk	Substantiv		erster Trunk	Getränk	Getränk	0	0.0	Getränk → Getränk
PA02488	Apfel-, Äpfel-bumpes	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA02492	Apfel-fiez	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA02502	Apfel-gückes	Substantiv	-	Apfelwein minderer Sorte	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA02521	Apfel-mops	Substantiv	-	nachgemachter Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA02522	Apfel-most	Substantiv	-	Apfelmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	kein_Trinken	9	9.0	
PA02536	Apfel-, Äpfel-saft	Substantiv	1	Apfelsaft, Äpfelsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	0	0.0	Saft → Saft
PA02561	Apfel-, Äpfel-wein	Substantiv	-	Apfelwein, Äpfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA02579	Apparaten-milch	Substantiv	-	Milch, die durch die Zentrifuge entrahmt ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0	0.0	Kaltes Milchgetränk → Kaltes Milchgetränk
PA02627	Arbeiter-sekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	0	0.0	Wasser → Wasser
PA02886	Ast-heimer	Substantiv	-	Birnwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	9	9.0	
PA03037	Auf-enthalt	Substantiv	3	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0	0.0	Spirituose → Spirituose
