xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00150	Abend-milch	Abendmilch	Substantiv	-	Milch, die am Abend gemolken wird	Trinken	1	0.9525	1.0000
PA00610	ab-schießen	abschießen	Verb	1c'a	einen (Wein) trinken	Trinken	1	0.9678	1.0000
PA02250	an-schwipsen	anschwipsen	Verb	-	sich einen Rausch antrinken	Trinken	1	0.9661	1.0000
PA03607	aus-bürsten	ausbürsten	Verb	2	austrinken, leer trinken	Trinken	1	0.9672	1.0000
PB00551	bamschen	bamschen	Verb	-	viel trinken, saufen	Trinken	1	0.9675	1.0000
PB00669	panschen	panschen	Verb	3	zechen, saufen	Trinken	1	0.9620	1.0000
PB01220	Baudel-brühe	Baudelbrühe	Substantiv	-	Malzkaffee	Trinken	1	0.9730	1.0000
PB02122	be-rußen	berußen	Verb	2	sich betrinken	Trinken	1	0.9816	1.0000
PB02917	pfetzen	pfetzen	Verb	6	trinken	Trinken	1	0.9992	1.0000
PB02932	pfiffen	pfiffen	Verb	-	ein kleines Glas Wein trinken	Trinken	1	0.9651	1.0000
PB03947	Plämpel-brühe	Plämpelbrühe	Substantiv	-	schlechter Wein, minderwertiger Haustrunk	Trinken	1	0.9531	1.0000
PB06831	Bruttel	Bruttel	Substantiv	1c	trübe Brühe	Trinken	1	0.2297	0.0000
PD02573	Tisch-wein	Tischwein	Substantiv	-	Wein, der zum Essen getrunken wird, Wein von geringerer Qualität	Trinken	1	0.9642	1.0000
PD02843	tönen	tönen	Verb	2	tüchtig, viel trinken	Trinken	1	0.9643	1.0000
PD02947	Doppel-kümmel	Doppelkümmel	Substantiv	-	doppelt abgezogener Kümmelbranntwein	Trinken	1	0.9567	1.0000
PD03964	Dreck-milch	Dreckmilch	Substantiv	-	die erste, dicke Milch der Kuh nach dem Kalben	Trinken	1	0.9498	1.0000
PD04435	trinken	trinken	Verb	1a	Flüssigkeit zu sich nehmen	Trinken	1	0.8971	1.0000
PD04436	Trinkens, Trinken	Trinkens, Trinken	Substantiv	2a	Getränk für Menschen	Trinken	1	0.9818	1.0000
PD04804	Trunk	Trunk	Substantiv	1	was man auf einmal trinkt	Trinken	1	0.1105	0.0000
PD05026	Dullianer	Dullianer	Substantiv	-	Tresterwein	Trinken	1	0.9816	1.0000
PD05712	Durst	Durst	Substantiv	-	Durst	Trinken	1	0.9896	1.0000
PD05783	tuten	tuten	Verb	2	tüchtig trinken	Trinken	1	0.9820	1.0000
PE01003	ein-wärmen	einwärmen	Verb	3	sich betrinken	Trinken	1	0.9816	1.0000
PE01305	Elfer, Elfter	Elfer, Elfter	Substantiv	2	ein Wein von besonderer Güte	Trinken	1	0.9676	1.0000
PE02053	Erst-milch	Erstmilch	Substantiv	-	die erste Milch nach dem Kalben	Trinken	1	0.9595	1.0000
PE02328	Eureka	Eureka	Substantiv	-	Schnaps	Trinken	1	0.9905	1.0000
PF01615	ver-kasematukeln	verkasematukeln	Verb	-	einen Schoppen, einen Schnaps trinken	Trinken	1	0.9551	1.0000
PF01844	ver-löten	verlöten	Verb	-	einen (Schoppen) trinken	Trinken	1	0.9627	1.0000
PF02350	ver-sohlen	versohlen	Verb	2b	sich betrinken	Trinken	1	0.9816	1.0000
PF04256	Voll-milch	Vollmilch	Substantiv	-	Vollmilch	Trinken	1	0.9913	1.0000
PG00486	Gartenhäusel-trauben	Gartenhäuseltrauben	Substantiv	-	wilder Wein	Trinken	1	0.9818	1.0000
PG02609	Gesundheits-tee	Gesundheitstee	Substantiv	-	Tee von Heilkräutern	Trinken	1	0.9679	1.0000
PG02634	Ge-tränk	Getränk	Substantiv	1	Getränk für den Menschen	Trinken	1	0.9739	1.0000
PG04532	Grundbirnen-schnaps, Grundbirn-schnaps	Grundbirnenschnaps, Grundbirnschnaps	Substantiv	-	Kartoffelschnaps	Trinken	1	0.9814	1.0000
PG04677	Gruscheln-wein, Gruschel-wein	Gruschelnwein, Gruschelwein	Substantiv	-	Stachelbeerwein	Trinken	1	0.9623	1.0000
PG04745	Gückes	Gückes	Substantiv	2	Branntwein, Kartoffelschnaps	Trinken	1	0.9594	1.0000
PG04745	Gückes	Gückes	Substantiv	1	schlechter Wein	Trinken	1	0.9912	1.0000
PH00595	halb-schöpperln	halbschöpperln	Verb	-	einen Halbschoppen nach dem anderen trinken	Trinken	1	0.9554	1.0000
PH01153	Hannes-setz-dich	Hannessetzdich	Substantiv	-	schlechter Wein	Trinken	1	0.9912	1.0000
PH01887	Haus-trunk, -trank	Haustrunk, Haustrank	Substantiv	-	geringer Wein für den täglichen Hausgebrauch	Trinken	1	0.9595	1.0000
PH05378	hinunter-bürsten	hinunterbürsten	Verb	-	trinken	Trinken	1	0.9992	1.0000
PH05414	hinunter-leeren	hinunterleeren	Verb	-	trinken	Trinken	1	0.9992	1.0000
PH05451	hinunter-schütten	hinunterschütten	Verb	2	schnell trinken	Trinken	1	0.9920	1.0000
PH05861	Hochzeits-wein, Hochzeit-wein	Hochzeitswein, Hochzeitwein	Substantiv	-	Wein für das Hochzeitsfest	Trinken	1	0.9680	1.0000
PH05992	Hohen-astheimer	Hohenastheimer	Substantiv	2	gepanschter Wein	Trinken	1	0.9741	1.0000
PH06435	Honig-wein	Honigwein	Substantiv	-	Perlwein aus Wasser, Honig und Hefe	Trinken	1	0.9508	1.0000
PH07666	Hutzel-brühe	Hutzelbrühe	Substantiv	2b	schlechter Kaffee	Trinken	1	0.9907	1.0000
PJ00355	Johannistrauben-wasser	Johannistraubenwasser	Substantiv	-	Wasser mit Johannisbeerensaft	Trinken	1	0.9582	1.0000
PJ00569	Jungfern-wein, Jungfer-wein	Jungfernwein, Jungferwein	Substantiv	-	der aus den ersten Trauben eines neuangelegten Wingerts gewonnene Wein	Trinken	1	0.9437	1.0000
PK01996	Kippen	Kippen	Substantiv	3	Rest im Bierglas	Trinken	1	0.1236	0.0000
PK01997	kippen	kippen	Verb	1.2b	ein Glas Schnaps trinken	Trinken	1	0.9672	1.0000
PK04205	Korn-schnaps	Kornschnaps	Substantiv	-	Branntwein aus Roggen	Trinken	1	0.9630	1.0000
PK04694	Kräuter-tee	Kräutertee	Substantiv	-	Kräutertee	Trinken	1	0.9906	1.0000
PL00159	Lagageri	Lagageri	Substantiv	-	schlechter, saurer Wein	Trinken	1	0.9680	1.0000
PL00533	läppern	läppern	Verb	1c	einen trinken, gern trinken	Trinken	1	0.9677	1.0000
PL02297	Lot-bier	Lotbier	Substantiv	-	Freibier	Trinken	1	0.9906	1.0000
PL02385	luckern	luckern	Verb	-	einen trinken	Trinken	1	0.9917	1.0000
PL02629	lupfen, lüpfen	lupfen, lüpfen	Verb	2a	einen trinken	Trinken	1	0.9917	1.0000
PL02668	lutschen	lutschen	Verb	2	in kleinen Schlucken trinken, nippen	Trinken	1	0.9557	1.0000
PM00006	Mach-bach	Machbach	Substantiv	-	schlechter Wein	Trinken	1	0.9912	1.0000
PM02444	mit-zechen	mitzechen	Verb	-	mitzechen	Trinken	1	0.0088	0.0000
PN00346	Nach-wein	Nachwein	Substantiv	-	Tresterwein, Haustrunk	Trinken	1	0.9590	1.0000
PN01475	Nuß-schnaps	Nußschnaps	Substantiv	-	aus grünen Walnüssen bereiteter Schnaps	Trinken	1	0.9539	1.0000
PO00234	Obst-saft	Obstsaft	Substantiv	-	Obstsaft	Trinken	1	0.9804	1.0000
PS00099	Säcker, Säckert	Säcker, Säckert	Substantiv	2	geringwertiger Wein	Trinken	1	0.9738	1.0000
PS00823	Sauer-ampfel, -ampfer, -ämpferich	Sauerampfel, Sauerampfer, ämpferich	Substantiv	2	saurer, minderwertiger, schlechter Wein	Trinken	1	0.9532	1.0000
PS00895	säufeln	säufeln	Verb	-	trinken	Trinken	1	0.9992	1.0000
PS02455	Schilkser	Schilkser	Substantiv	-	geringer Wein	Trinken	1	0.9914	1.0000
PS03107	Schleich-wein	Schleichwein	Substantiv		mit Hefe durchsetzter Wein	Trinken	1	0.9631	1.0000
PS03228	schlenkern	schlenkern	Verb	3a	trinken, einen trinken	Trinken	1	0.9737	1.0000
PS04351	Schnaubian	Schnaubian	Substantiv	-	Schnaps	Trinken	1	0.9905	1.0000
PS05045	schöpfen	schöpfen	Verb	3	ausgiebig trinken	Trinken	1	0.9735	1.0000
PS05365	Schröpf-kopf	Schröpfkopf	Substantiv	3	kleines Fäßchen mit Wein oder Bier	Trinken	1	0.9072	1.0000
PS05980	schwächen	schwächen	Verb	2	Alkohol trinken, einen trinken, zechen	Trinken	1	0.9528	1.0000
PS08583	Speicher-kaffee	Speicherkaffee	Substantiv	-	Kaffee-Ersatz aus geröstetem Getreide	Trinken	1	0.9532	1.0000
PS09663	Stachelbeer-wein	Stachelbeerwein	Substantiv	-	Obstwein aus Stachelbeeren	Trinken	1	0.9563	1.0000
PS10768	Stich-wein	Stichwein	Substantiv	1	der Wein eines vorzüglichen Jahrganges	Trinken	1	0.9563	1.0000
PS11375	Stoß-milch	Stoßmilch	Substantiv	-	Buttermilch	Trinken	1	0.9913	1.0000
PS12215	stülpen	stülpen	Verb	2	Alkohol trinken	Trinken	1	0.9918	1.0000
PS12520	Suff	Suff	Substantiv	1a	das (übermäßige) Trinken von Alkohol, Trunksucht	Trinken	1	0.0389	0.0000
PW01454	Weiber-klopfer	Weiberklopfer	Substantiv	-	neuer Wein, Federweißer, Haustrunk	Trinken	1	0.9515	1.0000
PW01677	Wein	Wein	Substantiv	1a	alkoholisches Getränk aus dem Saft von Trauben	Trinken	1	0.9538	1.0000
PW01870	Weiß-bier	Weißbier	Substantiv	-	helles Bier, Weizenbier	Trinken	1	0.9624	1.0000
PZ01151	Zucker-wasser	Zuckerwasser	Substantiv	1a	mit Zucker und Wasser angerührtes Getränk	Trinken	1	0.9561	1.0000
LS02444	Suff	Suff	Substantiv		steifer Trank für Rindvieh u. Schweine; Küchenwasser zum Tränken des Viehs	Trinken	1	0.2034	0.0000
LK00024	Kaffee	Kaffee	Substantiv	1.	Kaffee	Trinken	1	0.9977	1.0000
LB01103	Blotz-milch	Blotzmilch	Substantiv		Buttermilch, die durch Butter blotze entsteht	Trinken	1	0.9517	1.0000
LB01497	Brockel	Brockel	Substantiv	1.	geronnene Milch	Trinken	1	0.9736	1.0000
LF01160	Vor-laf	Vorlaf	Substantiv		Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen	Trinken	1	0.5993	1.0000
LK01499	Kwetsch I	Kwetsch	Substantiv	2.	Zwetschenschnaps	Trinken	1	0.9677	1.0000
LK01505	Kwetschwasser	Kwetschwasser	Substantiv		Zwetschenbranntwein	Trinken	1	0.9629	1.0000
LS01000	Schnik	Schnik	Substantiv		Fusel, schlechter Branntwein	Trinken	1	0.9597	1.0000
LG00244	Ge-drenks	Gedrenks	Substantiv	2.	das Trinken	Trinken	1	0.9844	1.0000
LS00789	schluppen	schluppen	Verb		einen Schluck tun, zechen	Trinken	1	0.9495	1.0000
LG00899	Glugluk	Glugluk	Substantiv		Gluckgluck (Geräusch beim Trinken od. Ausgießen einer Flüssigkeit)	Trinken	1	0.0969	0.0000
LD00590	tompen	tompen	Verb	2.	schlummern, nippen	Trinken	1	0.8376	1.0000
LL00467	literen	literen	Verb	2.	tüchtig trinken	Trinken	1	0.9820	1.0000
EP03750	Brocken	Brocken	Substantiv	4.	Hunger, Durst	Trinken	1	0.9729	1.0000
ET01334	durstig	durstig	Adjektiv		durstig	Trinken	1	0.9806	1.0000
EK00183	Schokelakaffee	Schokelakaffee	Substantiv		Milchschokolade mit Brot	Trinken	1	0.0164	0.0000
EP01634	Bier	Bier	Substantiv		Bier	Trinken	1	0.9974	1.0000
EP00881	Bemmeri	Bemmeri	Substantiv	2.	schlechter Wein	Trinken	1	0.9912	1.0000
EP03708	Brüej(e)	Brüeje, Brüej	Substantiv	2.	schlechte Suppe, schlechter Wein	Trinken	1	0.9624	1.0000
EK01581	klëmmen 	klëmmen	Verb	3.	trinken	Trinken	1	0.9992	1.0000
EL01367	leschen	leschen	Verb	1.	löschen (Feuer, Durst, Staub)	Trinken	1	0.9524	1.0000
ET02159	trinken	trinken	Verb		trinken	Trinken	1	0.9992	1.0000
EZ00046	zëchen 	zëchen	Verb	2.	trinken	Trinken	1	0.9992	1.0000
ES01069	supperen	supperen	Substantiv	1.	beim Trinken ein schlürfendes Geräusch verursachen	Trinken	1	0.5141	1.0000
ES03030	schlutzen, schlotzen	schlutzen, schlotzen	Verb	2.	schlürfen, mit Wohlbehagen trinken	Trinken	1	0.9534	1.0000
EP01277	panschen, banschen	panschen, banschen	Verb	4.	viel, tüchtig essen oder trinken	Trinken	1	0.9589	1.0000
PA01953	an-heitern	anheitern	Verb	-	anheitern	Trinken	0	-0.0146	0.0000
PA02263	an-setzen	ansetzen	Verb	6	(Bowle) ansetzen	Trinken	0	0.0109	0.0000
PA02302	an-stechen	anstechen	Verb	1	den Zapfhahn in ein Bier- oder Weinfaß treiben	Trinken	0	0.0156	0.0000
PB02933	Pfiffer	Pfiffer	Substantiv	2	Trinker	Trinken	0	0.0050	0.0000
PB03388	Bier-garten	Biergarten	Substantiv	-	Garten einer Bierwirtschaft	Trinken	0	0.0308	0.0000
PB03393	Bier-hefe	Bierhefe	Substantiv	-	Bierhefe	Trinken	0	0.1450	0.0000
PB03404	Bier-kranen	Bierkranen	Substantiv	-	Hahn am Bierfaß	Trinken	0	0.0256	0.0000
PB03414	Bier-schenke	Bierschenke	Substantiv	-	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	Trinken	0	0.0032	0.0000
PB03428	Bier-wirt	Bierwirt	Substantiv	-	Inhaber einer Bierwirtschaft	Trinken	0	0.0296	0.0000
PB05634	Branntwein-flasche	Branntweinflasche	Substantiv	-	Branntweinflasche	Trinken	0	0.0067	0.0000
PB05645	Branntwein-süffer	Branntweinsüffer	Substantiv	-	notorischer Schnapstrinker	Trinken	0	0.0293	0.0000
PB07244	Bummer	Bummer	Substantiv	4a	Schnapsfläschchen mit dickem Bauch	Trinken	0	0.0458	0.0000
PB07291	Bums	Bums	Substantiv	1	Kneipe	Trinken	0	0.0126	0.0000
PB07543	Busch, Pusch, Buschen, Puschen	Busch, Pusch, Buschen, Puschen	Substantiv	4	Alkoholrausch	Trinken	0	0.0067	0.0000
PD00906	Darauf-geld	Daraufgeld	Substantiv	3	Trinkgeld	Trinken	0	0.0527	0.0000
PD02541	Tisch	Tisch	Substantiv	2	Tisch im Gasthaus, Stamtisch, auch runder Tisch	Trinken	0	-0.0088	0.0000
PD03094	Dorf-wirtshaus	Dorfwirtshaus	Substantiv	-	Dorfwirtshaus	Trinken	0	-0.0004	0.0000
PD03378	tot-trinken	tottrinken	Verb	-	totsaufen	Trinken	0	0.1439	0.0000
PD03900	Dreck-butik	Dreckbutik	Substantiv	-	unsaubere Gastwirtschaft	Trinken	0	0.0042	0.0000
PD04129	drei-drähtig	dreidrähtig	Adjektiv	2	von sehr starkem Bohnenkaffee	Trinken	0	0.9535	1.0000
PD04744	Trudel	Trudel	Substantiv	3.1a	Bodensatz einer Flüssigkeit, bes. des Kaffees, des Weins	Trinken	0	0.0484	0.0000
PD04804	Trunk	Trunk	Substantiv	3	Trunksucht	Trinken	0	0.0626	0.0000
PD04808	Trunk-walter	Trunkwalter	Substantiv	x	Trunkenbold	Trinken	0	0.0033	0.0000
PD05184	Dunst	Dunst	Substantiv	1.1b'b	Atem, der nach Alkohol riecht	Trinken	0	0.0296	0.0000
PE00602	ein-gießen	eingießen	Verb	-	das Glas füllen	Trinken	0	0.0617	0.0000
PE00653	Ein-kehr	Einkehr	Substantiv	-	Rast im Gasthaus	Trinken	0	0.0290	0.0000
PF02806	Fetzer	Fetzer	Substantiv	-	Trinker	Trinken	0	0.0050	0.0000
