xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
EA00144	Ablässel	Ablässel	Substantiv		Medaille mit Heiligenbild	Trinken	0	0.1157	0
EA00219	Adler	Adler	Substantiv		Adler. Häufig Wirtshausschild	Trinken	0	-0.0655	0
EA00250	Aff	Aff	Substantiv	4.	Rausch	Trinken	0	-0.0286	0
EA00334	Agele, Agel	Agele, Agel	Substantiv		Granne, Spelze der Getreideähre, besonders Gerste; die holzigen Teile des Hanfs, die sich beim Brechen ablösen, Splitter, die bes. zum Feueranzünden dienen	Trinken	0	0.0364	0
EA00451	Aktion	Aktion	Substantiv		Actie	Trinken	0	0.0412	0
EA00496	Allegaschi	Allegaschi	Substantiv		töpelhafter Mensch, der sich ungeschickt trägt oder hält	Trinken	0	-0.0597	0
EA00514	Eller	Eller	Substantiv		Erle	Trinken	0	0.0157	0
EA00652	Amors	Amors	Substantiv	3.	schlechter Schnaps	Trinken	1	0.9030	1
EA00733	Ampfer, Ampert	Ampfer, Ampert	Substantiv		Ampfer	Trinken	0	0.0316	0
EA00877	Andülli, Andülie, Andüdel	Andülli, Andülie, Andüdel	Substantiv		geräucherte Fleischwurst	Trinken	0	0.2309	0
EA01015	opponieren	opponieren	Verb		refl. sich auflehnen, widersetzen	Trinken	0	-0.0516	0
EA01058	Arrëst 	Arrëst	Substantiv		Arrest in der Schule	Trinken	0	-0.0461	0
EA01244	Ürten	Ürten	Substantiv	1.	Zeche, gemeinsamer Schmaus in einem Gasthaus	Trinken	0	-0.0312	0
EA01277	Assurans	Assurans	Substantiv		Feuerversicherung (die älteren Leute sagen meist in d Brandkass tuen); Versicherungsgesellschaft	Trinken	0	-0.0365	0
EA01408	Äsche	Äsche	Substantiv		Asche	Trinken	0	0.0278	0
EA01459	iteren, intrücken	iteren, intrücken	Verb		wiederkäuen	Trinken	0	0.1694	0
EF00015	Veiol	Veiol	Substantiv		Veilchen	Trinken	0	0.1169	0
EF00152	Fagotten	Fagotten	Substantiv		läppisches Zeug, Grimassen, wunderliche Gebärden und Bewegungen beim Sprechen	Trinken	0	-0.0676	0
EF00161	Fëger	Fëger	Substantiv	5.	ein Rausch	Trinken	0	-0.0228	0
EF00250	Fockol	Fockol	Substantiv		abknöpfbarer, nicht fest an das Hemd aufgenähter Kragen	Trinken	0	-0.0429	0
EF00342	Vollheit	Vollheit	Substantiv		Trunkenheit, Zustand des Betrunkenseins	Trinken	0	0.0136	0
EF00447	Fahn, Fahnen	Fahn, Fahnen	Substantiv	8.	Rausch	Trinken	0	-0.0286	0
EF00620	Viertel	Viertel	Substantiv	2.	Viertele eine Flasche, die 0,25 l fassen kann, sodann der Inhalt einer solchen Flasche	Trinken	0	0.3688	0
EF00794	First	First	Substantiv	1.	Giebelbalken, Dachträger, Dachfirste	Trinken	0	0.0100	0
EF00832	Fass	Fass	Substantiv	1.	Fass, hölzernes Gefäss, das meist zur Aufnahme von Flüssigkeiten, bes. von Wein, bestimmt ist	Trinken	0	0.3116	0
EF00900	Fusel	Fusel	Substantiv		geringer, schlechter Branntwein	Trinken	1	0.9191	1
EF00951	Fisch	Fisch	Substantiv	2.	feste Bestandteile, die in einem vorgesetzten Getränk umherschwimmen, z. B. Pech im Bier und dgl	Trinken	0	0.1701	0
EF01011	Fëttich, Fëgten 	Fëttich, Fëgten	Substantiv	1.	Flügel  eines Vogels, einer Gans, einer Windmühle, eines Spinnrads; Rockflügel, Rockschoss, verächtl. herabhängende Fetzen	Trinken	0	-0.0427	0
EF01024	Vitriol	Vitriol	Substantiv	2.	schlechter Branntwein	Trinken	1	0.9387	1
EF01183	fliehen	fliehen	Verb		fliehen	Trinken	0	0.1249	0
EF01232	Flum, Pflum	Flum, Pflum	Substantiv		Flaum, Flaumfedern, junge weiche Härchen	Trinken	0	-0.1193	0
EF01297	Flasch	Flasch	Substantiv		Flasche	Trinken	0	0.0956	0
