xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00150	Abend-milch	Abendmilch	Substantiv	-	Milch, die am Abend gemolken wird	Trinken	1	0.5780	1.0000
PA00155	Abend-schoppen	Abendschoppen	Substantiv	-	Abendschoppen	Trinken	1	-0.0234	0.0000
PA00305	ab-heben	abheben	Verb	I2f	einen trinken	Trinken	1	0.9211	1.0000
PA00579	ab-saufen	absaufen	Verb	1a	oben heruntersaufen	Trinken	1	0.0533	0.0000
PA00610	ab-schießen	abschießen	Verb	1c'a	einen (Wein) trinken	Trinken	1	0.7340	1.0000
PA00825	ab-trinken	abtrinken	Verb	1	von oben wegtrinken	Trinken	1	0.6188	1.0000
PA00825	ab-trinken	abtrinken	Verb	2	ein Glas Bier oder Wein leeren	Trinken	1	0.5088	1.0000
PA01737	an-dudeln	andudeln	Verb	-	sich betrinken	Trinken	1	0.7733	1.0000
PA01739	an-duseln	anduseln	Verb	-	sich einen Dusel antrinken	Trinken	1	0.6582	1.0000
PA01829	an-feuchten	anfeuchten	Verb	2	einen trinken	Trinken	1	0.9211	1.0000
PA02138	an-rauchen	anrauchen	Verb	2	sich einen kleinen Rausch antrinken	Trinken	1	0.6459	1.0000
PA02174	an-säufeln	ansäufeln	Verb	-	sich einen kleinen Rausch antrinken	Trinken	1	0.6459	1.0000
PA02175	an-saufen	ansaufen	Verb	1	mit dem Saufen (Trinken) beginnen	Trinken	1	0.5783	1.0000
PA02175	an-saufen	ansaufen	Verb	3	sich volltrinken	Trinken	1	0.6299	1.0000
PA02176	an-säuseln	ansäuseln	Verb	1	sich leicht betrinken	Trinken	1	0.7087	1.0000
PA02250	an-schwipsen	anschwipsen	Verb	-	sich einen Rausch antrinken	Trinken	1	0.6752	1.0000
PA02391	an-trudeln	antrudeln	Verb	2	sich betrinken	Trinken	1	0.7733	1.0000
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Trinken	1	-0.0439	0.0000
