xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
EA00652	Amors	Amors	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Branntwein; Kurzer	Fusel; Branntewein; Branntwein; Feuerwasser; Schnaps; Kurzer
EF00900	Fusel	Fusel	Substantiv		geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Kurzer; Schnaps; Branntwein	Fusel; Branntewein; Kurzer; Branntwein; Feuerwasser; Schnaps; Weinbrand
EF01024	Vitriol	Vitriol	Substantiv	2.	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel; Schnaps	Fusel; Branntewein; Branntwein; Schnaps	Fusel; Branntewein; Branntwein; Feuerwasser; Schnaps; Weinbrand
EG00225	Rattengift	Rattengift	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Fusel; Obstschnaps; Kurzer; Anisschnaps
EG00272	Giger	Giger	Substantiv	4.	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Branntwein; Schnaps	Fusel; Branntewein; Branntwein; Feuerwasser; Kurzer; Schnaps; Weinbrand
EG00282	Giges, Gigs	Giges, Gigs	Substantiv		schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Branntewein; Branntwein; Fusel; Schnaps; Wein	Fusel	Fusel; Branntewein; Weinbrand	Fusel; Branntewein; Weinbrand; Branntwein; Feuerwasser; Kurzer
EG00283	Burlegiges	Burlegiges	Substantiv	1.	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Gänsewein	Wein; Rebensaft; Gänsewein; Tafelwein; Most
EG01048	Geist	Geist	Substantiv	2.	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Hochprozentiges; Spirituose	Spirituose	Spirituose; Hochprozentiges; Rum; billiger Alkohol	Spirituose; Hochprozentiges; Rum; Gin; Whiskey; billiger Alkohol; Tropfen
EG01127	Herrgöttel	Herrgöttel	Substantiv	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Bier; Wein	Bier; Wein	Bier; Bier-Limonade-Mix; Kellerbier; Wein; Rebensaft	Bier; Bier-Limonade-Mix; Kellerbier; Leichtbier; Bockbier; Wein; Rebensaft; Tafelwein
EK00182	Kaffee, Kaffi	Kaffee, Kaffi	Substantiv	1.	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Kaffee	Kaffee; Café; Caro-Kaffee	Kaffee; Café; Caro-Kaffee; Espresso; Gesöff
EK00183	Schokelakaffee	Schokelakaffee	Substantiv		Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	Milchschokolade; Schokoladenmilch	Milchmischgetränk	Milchmischgetränk; Milchmixgetränk; H-Milch	Milchmischgetränk; Milchmixgetränk; H-Milch; haltbare Milch; Buttermilch
EK01109	Kirs(e), Kirsch	Kirse, Kirs, Kirsch	Substantiv	2.	Kirschbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Kirsch; Kirschgeist; Kirschwasser	Kirschgeist; Kirsch	Kirschgeist; Kirsch; Kirschwasser	Kirschgeist; Kirsch; Kirschwasser; Obstschnaps; Likör; Trinkschokolade; Marillenschnaps; Aprikosenschnaps; Aprikosenbrand
EK01744	Kläw(n)er, Kläfler	Kläwner, Kläwer, Kläfler	Substantiv	2.	Wein daraus	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Landwein; Tafelwein	Wein; Landwein; Tafelwein; Riesling; Gänsewein
EK02026	Kräbel	Kräbel	Substantiv		Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Kurzer
EK02032	Krëbser 	Krëbser	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
EL00463	Vorlauf	Vorlauf	Substantiv	2.	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Branntewein	Branntewein; Branntwein; Schnaps	Branntewein; Branntwein; Schnaps; Kurzer; Fusel; Feuerwasser
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	4.	schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Branntewein; Branntwein; Fusel; Schnaps	Brühe; Lorke; Lurke; Geplämpe; Geschlapp; Plörre	Brühe; Plörre; Geschlapp; Lorke; Gesöff; Plämpe; Lurke; Geplämpe	Brühe; Plörre; Geschlapp; Lorke; Gesöff; Plämpe; Lurke; Geplämpe; Plempe
