xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	kein_Trinken	"The dictionary entry ""ab-gießen"" involves pouring off dregs, which is an activity related to handling beverages but not directly about drinking, thirst, or specific drinks. Therefore, it falls into the category of other.

**Answer:** other"
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	kein_Trinken	"The headword ""absteigen"" with the definition ""einkehren"" refers to stopping at an inn or tavern, which is an activity related to drinking but not the act of drinking itself. Therefore, it fits into the broader category of other related activities.

**Answer: other**"
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	kein_Trinken	"The dictionary entry refers to a guesthouse, which is a place related to serving drinks but isn't a drink itself or an act of drinking. 

**Answer: other**"
PA01105	Affe	Substantiv	Rausch	kein_Trinken	kein_Trinken	"The dictionary entry for ""Affe"" with the definition ""Rausch"" refers to a state of intoxication, which falls under the ""other"" category.

**Answer:** other"
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	kein_Trinken	"The headword ""Ambuschur"" describes a person skilled in drinking, fitting into the ""other"" category as it refers to a person rather than an action, state, or beverage.

**Answer:** other"
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	kein_Trinken	"The headword ""an-brüten"" is defined as ""angeheitert,"" which refers to being slightly intoxicated. This describes a state resulting from drinking, so it falls under the ""other"" category.

Answer: other"
PA01953	an-heitern	Verb	anheitern	kein_Trinken	kein_Trinken	other
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	kein_Trinken	"The term ""Anrauch-kopf,"" meaning ""to be drunk or look drunk,"" describes a state resulting from drinking, not the act itself, a specific beverage, or thirst. Therefore, it belongs to the ""other"" category.

**Answer:** other"
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	kein_Trinken	"The dictionary entry ""an-rudeln"" with the definition ""betrunken sein"" refers to the state of being drunk. Since this is a condition resulting from alcohol consumption and not the act of drinking itself, nor related to thirst or specific beverages, it belongs in the ""other"" category.

**Answer:** other"
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	kein_Trinken	"The headword ""an-setzen"" with the example ""(Bowle) ansetzen"" refers to setting or serving punch. This activity falls under general gastronomy activities, specifically serving, which is categorized as ""other.""

**Answer: other**"
PA02302	an-stechen	Verb	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	kein_Trinken	"The word ""an-stechen"" involves tapping a barrel to serve beer or wine, which relates to serving activities rather than drinking, thirst, or specific beverages. Therefore, it belongs to the ""other"" category.

**Answer: other**"
PA02304	an-stecken	Verb	anzapfen	kein_Trinken	kein_Trinken	"The headword ""an-stecken"" is defined as ""anzapfen,"" which refers to an activity of serving a beverage. According to the categories provided, this falls under 'other' because it's related to serving rather than drinking, thirst, or specific beverages.

**Answer:** other"
PA02306	Ansteck-kran	Substantiv	großer Hahn am Faß	kein_Trinken	kein_Trinken	"The headword ""Ansteck-kran"" refers to an attachable spout or tap on a barrel, which is a tool used for serving beverages. This fits into the 'other' category as it's related to the tools and equipment associated with serving drinks rather than the act of drinking, thirst, or specific beverages.

**Answer:** other"
PA02319	An-stich	Substantiv	das Anstechen eines Fasses	kein_Trinken	kein_Trinken	"The term ""An-stich"" refers to tapping a barrel, which is an activity related to serving beverages rather than drinking itself or a specific beverage type. This falls under the ""other"" category.

**Answer: other**"
PA02333	an-streichen	Verb	betrunken machen	kein_Trinken	kein_Trinken	"The dictionary entry ""an-streichen"" with the definition ""betrunken machen"" refers to making someone drunk, which is a state resulting from excessive drinking. This fits into the ""other"" category as it describes an effect rather than the act of drinking or a specific beverage.

**Answer:** other"
PA02450	an-zapfen	Verb	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	kein_Trinken	other
PA02559	Äpfel-traben	Substantiv	Rückstand beim Apfelkeltern	kein_Trinken	kein_Trinken	other
