xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	[ungültig]	"other

The headword ""ab-gießen"" refers to an action involving pouring or removing liquid from a surface through pouring. This activity does not directly relate to drinking (trinken), the state of thirst (Durst), or specific types of beverages (Getränk). Instead, it falls into the broader category of activities related to handling and serving drinks, which is categorized under ""other""."
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	[ungültig]	"other

The headword ""absteigen"" (to get off [a vehicle]) and its definition ""einkehren"" (to stop at an inn or tavern) don't directly relate to the action of drinking, the state of being thirsty, or specific types of beverages. Instead, they pertain more broadly to activities related to stopping somewhere for refreshment, which encompasses but is not limited to drinking. Therefore, it falls under the ""other"" category as it relates to general gastronomy activities and places."
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	[ungültig]	"other

The headword ""Adler"" with the definition ""Gasthaus zum Adler"" refers to an establishment, in this case a restaurant or pub named Adler. This falls under the ""other"" category since it is neither directly about drinking actions (trinken), thirst states (Durst), nor specific beverages (Getränk)."
PA01105	Affe	Substantiv	Rausch	kein_Trinken	[ungültig]	"other

The headword ""Affe"" (which means ""ape"" or ""monkey"") paired with the definition ""Rausch"" (meaning ""intoxication"" or ""drunk"") does not directly fit into drinking action (trinken), thirst state (Durst), or specific beverages (Getränk). It more accurately aligns with a state related to intoxication, which falls under the ""other"" category given in the instructions."
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	trinken	trinken
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	[ungültig]	"other

The term ""angeheitert"" refers to a state of slight intoxication, which falls under the category of states related to drinking but not directly to the action of drinking (trinken), thirst (Durst), or specific beverages (Getränk). Thus, it is best categorized as ""other""."
PA01953	an-heitern	Verb	anheitern	kein_Trinken	[ungültig]	"other

The headword ""an-heitern"" (to get slightly drunk or tipsy) does not fit into the categories of drinking action, state of thirst, or specific beverages. It describes a state related to alcohol consumption, which falls under the broader category of effects and states resulting from drinking, thus fitting best into the ""other"" category."
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	[ungültig]	"other

The headword ""Anrauchkopf"" and its definition relate to the state of being drunk or appearing drunk, which falls under the category of states related to drinking rather than the act of drinking itself, thirst, or specific beverages. Therefore, it is categorized as ""other""."
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	kein_Trinken	"other

The headword ""an-rudeln"" with the definition ""betrunken sein"" (to be drunk) falls under the category that describes states resulting from drinking. This state is listed in the examples for the ""other"" category because it does not directly relate to the act of drinking, being thirsty, or specific types of beverages. Therefore, based on the given definitions and categories, this entry should be categorized as **other**."
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	[ungültig]	"other

The headword ""an-setzen"" with the definition ""(Bowle) ansetzen"" refers to the preparation or mixing of a beverage, specifically a bowl (likely mulled wine or punch). This activity falls under the category of preparing beverages, which is listed in the ""other"" category along with other activities such as preparation and serving. Therefore, it does not fit into the categories of drinking an action, being thirsty, or specific types of beverages."
