xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
EA00652	Amors	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry for ""Amors,"" defined as ""schlechter Schnaps"" (bad schnapps), refers to a specific type of alcoholic beverage. Therefore, it fits into the category of beverages.

**Answer: Getränk**"
ET01334	durstig	Adjektiv	durstig	Durst	Durst	Durst
ET01335	dürsterig, dürsterlich	Adjektiv	durstigmachend, durstbringend	Durst	Durst	"The dictionary entry describes terms related to causing thirst, fitting under the Durst category.

**Answer:** Durst"
LD01155	durschtisch	Adjektiv	durstig	Durst	Durst	"The headword ""durschtisch"" and its definition ""durstig"" both relate to the state of being thirsty. 

Answer: Durst"
PD05717	dursterig, dürsterig	Adjektiv	durstig	Durst	Durst	Durst
PD05718	durstig, dürstig	Adjektiv	durstig, dürstig	Durst	Durst	"The dictionary entry describes an adjective meaning ""thirsty,"" which refers to the state of being thirsty. This fits the definition of the Durst category.

**Answer: Durst**"
PL01019	lech	Adjektiv	durstig	Durst	Durst	"The dictionary entry ""lech"" with the definition ""durstig"" refers to the state of being thirsty. Therefore, it falls under the category **Durst**.

**Answer:** Durst"
PU00917	unter-irdisch	Substantiv	der aus Kartoffeln hergestellte Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The headword ""unter-irdisch"" refers to potato schnaps, which is a specific type of beverage. 

**Answer:** Getränk"
EF00900	Fusel	Substantiv	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	Getränk
EF01024	Vitriol	Substantiv	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry ""Vitriol"" with the definition ""schlechter Branntwein"" refers to a specific type of beverage (albeit low-quality). Therefore, it falls under the **Getränk** category.

**Answer:** Getränk"
EG00225	Rattengift	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	Getränk
EG00272	Giger	Substantiv	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The term ""Giger"" refers to a specific type of beverage, namely poor quality brandy. Therefore, it falls under the category of beverages.

**Getränk**"
EG00282	Giges, Gigs	Substantiv	schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	Getränk
EG00283	Burlegiges	Substantiv	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	"The dictionary entry ""Burlegiges"" refers to a specific type of beverage, albeit with negative connotations. It fits into the category of beverages.

**Answer:** Getränk"
EG01048	Geist	Substantiv	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The headword ""Geist"" refers to alcohol or wine spirit, which are types of beverages. Therefore, it fits into the **Getränk** category as it specifies a type of drink.

**Answer:** Getränk"
EG01127	Herrgöttel	Substantiv	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	"The dictionary entry refers to specific quantities and measures of beverages rather than the beverages themselves or actions related to drinking. Therefore, it falls into the ""other"" category as it relates to quantities and measurements.

**Answer:** other"
EH00174	huchen	Substantiv	trinken, bes. übermässig	Trinken.Schnell_große_Mengen_trinken	trinken	trinken
EK00182	Kaffee, Kaffi	Substantiv	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk	"**Step-by-Step Explanation:**

1. **Identify the Headword and Definition:** The headword is ""Kaffee,"" which translates to coffee in English. The definition provided simply repeats the headword.

2. **Understand Each Category:**
   - **Trinken**: Involves actions related to drinking.
   - **Durst**: Refers to being thirsty or the state of thirst.
   - **Getränk**: Includes specific beverages or types of drinks.
   - **Other**: Covers everything else like places, tools, people, etc.

3. **Categorize ""Kaffee"":**
   - ""Kaffee"" is a specific type of beverage, so it fits into the ""Getränk"" category.

**Answer:** Getränk"
EK00183	Schokelakaffee	Substantiv	Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	kein_Trinken	"The headword ""Schokelakaffee"" is defined as ""Milchschokolade mit Brot,"" which translates to ""milk chocolate with bread."" This indicates that it's a type of confectionery or snack rather than a beverage. Therefore, it doesn't fit into the categories of trinken (drinking action), Durst (thirst), or Getränk (specific drink). Instead, it falls under the ""other"" category as it is a food item related to beverages.

**Answer:** other"
EK01109	Kirs(e), Kirsch	Substantiv	Kirschbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The headword ""Kirs(e), Kirsch"" with the definition ""Kirschbranntwein"" refers to a cherry brandy or liqueur. This falls under the category of specific types of beverages.

**Answer: Getränk**"
EK01744	Kläw(n)er, Kläfler	Substantiv	Wein daraus	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	"The headword ""Kläw(n)er, Kläfler"" relates to tools or processes in wine production rather than a beverage itself or actions related to drinking. Thus, it falls under the category of other.

**Answer:** other"
EK02026	Kräbel	Substantiv	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry ""Kräbel"" with the definition ""Branntwein"" refers to a type of brandy. Since it is a specific beverage, it falls under the category of Getränk.

**Answer: Getränk**"
EK02032	Krëbser	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The headword ""Krëbser"" is defined as ""Schnaps,"" which is a type of alcoholic drink. Therefore, it fits into the **Getränk** category because it refers to a specific beverage.

**Answer:** Getränk"
EL00463	Vorlauf	Substantiv	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	kein_Trinken	"The dictionary entry defines ""Vorlauf"" as a type of distilled spirit not meant for drinking but used in producing lower quality schnapps or ointments. It doesn't involve drinking (trinken), thirst (Durst), or being a specific beverage (Getränk). Thus, it falls under ""other.""

**Answer:** other"
EL01179	Lur(e), Lür	Substantiv	schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk	Getränk
EL01179	Lur(e), Lür	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The term ""Lur(e), Lür"" refers to a type of alcoholic beverage, specifically lower quality schnapps. Therefore, it falls under the category of **specific types or groups of beverages**, making it:

**Getränk**"
EL01179	Lur(e), Lür	Substantiv	leichter Wein, hergestellt durch Vermischen mit Wasser	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	Getränk
EL01179	Lur(e), Lür	Substantiv	ein Getränk, im Herbst aus wilden Früchten und etwas Wein hergestellt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	"The dictionary entry describes ""Lur(e), Lür"" as a specific type of beverage made from wild fruits and wine. This fits directly into category 3.

**Answer:** Getränk"
EL01180	Lappenlur(e), Lappenlür	Substantiv	schwacher, saurer, matter, verwässerter Wein oder Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	Getränk
