xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	kein_Trinken	"The headword ""Moze"" with the definition ""Herbstzeitlose"" refers to an abstract concept related to autumn without a specific time. It doesn't fit into drinking actions, thirst states, or specific beverages. Thus, it falls under the ""other"" category.

**Answer: other**"
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken	"The headword is ""Weiber-kleider,"" which translates to women's clothing. This is a type of garment, not related to drinking, thirst, or beverages.

**Step-by-Step Explanation:**

1. **trinken**: This category is about actions involving drinking liquids. Since the entry is about clothing, it doesn't fit here.
2. **Durst**: This refers to being thirsty or the state of thirst. The entry isn't related to this either.
3. **Getränk**: This category involves specific beverages or types of drinks. Women's clothing doesn't fall under beverages.
4. **other**: Any entries not fitting into trinken, Durst, or Getränk belong here. Since women's clothing is a general item unrelated to drinking or thirst, it falls into the other category.

**Answer:** other"
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	kein_Trinken	"The dictionary entry ""Reib-eisen,"" meaning a quarrelsome woman, does not fit into any of the first three categories as it describes a personal characteristic. It is categorized under:

**other**"
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	kein_Trinken	"The dictionary entry describes a state of being pregnant in cows, which doesn't relate to drinking, thirst, or beverages. Thus, it falls under the ""other"" category.

**Answer:** other"
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	kein_Trinken	"The headword ""einschroten"" refers to an activity in masonry, specifically shaping and fitting bricks or stones. This does not relate to drinking, thirst, or beverages but falls under other activities.

**Answer: other**"
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	kein_Trinken	"The dictionary entry ""wohl-tun,"" meaning something done appropriately or properly, does not fit into the categories of drinking actions, thirst states, or beverages. Therefore, it falls under the general catch-all category.

**Answer: other**"
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	kein_Trinken	"The term ""Finger-spitze"" refers to a part of the human body and does not relate to drinking, thirst, or beverages. Therefore, it falls into the category of ""other.""

**Answer: other**"
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	kein_Trinken	"The dictionary entry ""Regen-butzen"" refers to a rain shower and does not fit into the categories of drinking actions, thirst states, or specific beverages. Therefore, it falls under the ""other"" category.

Answer: other"
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken	"The dictionary entry describes a back corset with carrying straps used for support, which is a tool and not related to drinking, thirst, or beverages. Therefore, it falls under the 'other' category.

**Answer: other**"
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	kein_Trinken	"The term ""Lederhalfter"" refers to a leather holder or strap. It doesn't relate to drinking actions, thirst, or specific beverages but is instead a tool. Therefore, it falls under the ""other"" category.

**Answer:** other"
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	kein_Trinken	"The dictionary entry's headword is ""Konzeptor,"" defined as ""Lehrer"" (teacher). This relates to an occupation rather than any aspect of drinking, thirst, or beverages. Therefore, it falls under the category of ""other.""

**Answer:** other"
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken	"The dictionary entry ""hinein-klettern"" refers to the action of climbing into something. It does not relate to drinking, thirst, or beverages, so it falls under the ""other"" category.

**Answer:** other"
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	kein_Trinken	other
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	kein_Trinken	"The headword refers to a bird (sparrow), which doesn't fit any of the first three categories and thus belongs to ""other.""

**Answer:** other"
PF00829	feil-halten	Verb	disputieren	kein_Trinken	kein_Trinken	"The dictionary entry ""feil-halten"" defined as ""disputieren"" refers to arguing or debating, which doesn't relate to drinking, thirst, or beverages. Therefore, it falls under the category of ""other.""

**Answer:**
other"
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken	"The term ""Fronleichnams-tag"" refers to a Catholic holiday and does not relate to drinking, thirst, or beverages. Thus, it falls under the ""other"" category.

**Answer:** other"
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	kein_Trinken	"The headword ""Ei-gackel,"" defined as ""Sumpfdotterblume"" (Marsh Marigold), is a type of flower and does not relate to drinking, thirst, or beverages. Therefore, it falls under the category of **other**.

Answer: other"
