xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	kein_Trinken	other
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	kein_Trinken	other
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	kein_Trinken	other
PA01105	Affe	Substantiv	Rausch	kein_Trinken	kein_Trinken	other
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	kein_Trinken	other
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	kein_Trinken	other
PA01953	an-heitern	Verb	anheitern	kein_Trinken	kein_Trinken	other
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	kein_Trinken	other
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	kein_Trinken	other
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	kein_Trinken	other
PA02302	an-stechen	Verb	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	kein_Trinken	other
PA02304	an-stecken	Verb	anzapfen	kein_Trinken	kein_Trinken	other
PA02306	Ansteck-kran	Substantiv	großer Hahn am Faß	kein_Trinken	kein_Trinken	other
PA02319	An-stich	Substantiv	das Anstechen eines Fasses	kein_Trinken	kein_Trinken	other
PA02333	an-streichen	Verb	betrunken machen	kein_Trinken	kein_Trinken	other
PA02450	an-zapfen	Verb	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	kein_Trinken	other
PA02559	Äpfel-traben	Substantiv	Rückstand beim Apfelkeltern	kein_Trinken	kein_Trinken	other
PA02560	Apfel-trester	Substantiv	Rückstand beim Apfelkeltern	kein_Trinken	kein_Trinken	other
PA02680	Arm, Armen	Substantiv	eiserne Stange, an der das Wirtshausschild angebracht ist	kein_Trinken	kein_Trinken	other
PA02908	Attacke	Substantiv	Gelage	kein_Trinken	kein_Trinken	other
PA03044	auf-fahren	Verb	auftischen	kein_Trinken	kein_Trinken	other
PA03408	Auf-träger	Substantiv	Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen	kein_Trinken	kein_Trinken	other
PA03421	auf-tun	Verb	mit dem Ausschank beginnen	kein_Trinken	kein_Trinken	other
PA03431	Auf-wärter	Substantiv	Aushilfskellner	kein_Trinken	kein_Trinken	other
PA03965	Aus-schank	Substantiv	Ausschank	kein_Trinken	kein_Trinken	other
PA03974	aus-schenken	Verb	Getränke ausschenken	kein_Trinken	kein_Trinken	other
PA04096	aus-stoßen	Verb	anzapfen	kein_Trinken	kein_Trinken	other
PA04100	aus-streichen	Verb	ausgehen, das Wirtshaus besuchen	kein_Trinken	kein_Trinken	other
PA04122	Austrag-mädchen	Substantiv	das Mädchen, das das eingeschenkte Bier austrägt	kein_Trinken	kein_Trinken	other
PA04188	aus-zapfen, -zäpfen	Verb	Getränk durch den Zapfen aus dem Faß auslassen	kein_Trinken	kein_Trinken	other
PB00444	Ballen, Ball	Substantiv	Rausch	kein_Trinken	kein_Trinken	other
PB00465	Ballon	Substantiv	Rausch	kein_Trinken	kein_Trinken	other
PB00513	Bambusch	Substantiv	Rausch	kein_Trinken	kein_Trinken	other
PB00520	Bampel	Substantiv	Gastwirt	kein_Trinken	kein_Trinken	other
PB00543	Bampel-wirt	Substantiv	ein Wirt, der sich nicht um die Gäste kümmert	kein_Trinken	kein_Trinken	other
PB00544	Bampel-, Bämpeles-wirtschaft	Substantiv	nachlässig geführte Wirtschaft	kein_Trinken	kein_Trinken	other
PB00552	Bamscher	Substantiv	Trunkenbold	kein_Trinken	kein_Trinken	other
PB01111	Patsch-hand	Substantiv	Trinkgeld	kein_Trinken	kein_Trinken	other
PB01158	Batzen-häuslein	Substantiv	Wirtschaft an der Landstraße, wo der Wein 1 Batzen kostet	kein_Trinken	kein_Trinken	other
PB01348	Baum	Substantiv	Gasthausname	kein_Trinken	kein_Trinken	other
PB01417	Bause, Pause, Bausen, Pausen	Substantiv	Alkoholrausch	kein_Trinken	kein_Trinken	other
PB01540	Bedien-mädchen	Substantiv	Kellnerin	kein_Trinken	kein_Trinken	other
PB01542	Be-dienung	Substantiv	Bedienungspersonal im Gastgewerbe	kein_Trinken	kein_Trinken	other
PB01546	be-drust	Adjektiv	betrunken	kein_Trinken	kein_Trinken	other
PB01551	be-duselt	Adjektiv	ein wenig betrunken	kein_Trinken	kein_Trinken	other
PB01657	be-hurmelt	Adjektiv	leicht betrungken	kein_Trinken	kein_Trinken	other
PB01796	Beize	Substantiv	kleines, unordentliches Gasthaus	kein_Trinken	kein_Trinken	other
PB01819	be-koren	Verb	kosten	kein_Trinken	kein_Trinken	other
PB01911	Bemscher	Substantiv	Trinker	kein_Trinken	kein_Trinken	other
PB02153	be-schickert	Adjektiv	angeheitert	kein_Trinken	kein_Trinken	other
PB02166	be-schmort	Adjektiv	betrunken	kein_Trinken	kein_Trinken	other
PB02171	be-schnuckt	Adjektiv	angeheitert	kein_Trinken	kein_Trinken	other
PB02173	be-schokert	Adjektiv	betrunken	kein_Trinken	kein_Trinken	other
PB02190	be-schwipst	Adjektiv	angeheitert	kein_Trinken	kein_Trinken	other
