xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Top_1	Top_3	Top_5	Konzeptübereinstimmung
PA00610	ab-schießen	abschießen	Verb	1c'a	einen (Wein) trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	voll
PA02174	an-säufeln	ansäufeln	Verb	-	sich einen kleinen Rausch antrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	voll
PA02250	an-schwipsen	anschwipsen	Verb	-	sich einen Rausch antrinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	voll
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Getränk	Getränk	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	perfekt
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk	perfekt
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein.Sekt; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PA03809	aus-läppern	ausläppern	Verb	-	in kleinen Schlucken austrinken	Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Austrinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken.Austrinken; Trinken.Alkohol_trinken	Trinken.Langsam_kleine_Mengen_trinken; Trinken.Geräuschvoll_trinken; Trinken.Schnell_große_Mengen_trinken; Trinken; Trinken.Austrinken; Trinken.Alkohol_trinken	perfekt
PA04011	aus-schöppeln	ausschöppeln	Verb	-	zu Ende schöppeln, trinken	Trinken.Austrinken; Trinken.Alkohol_trinken	Trinken.Alkohol_trinken; Trinken.Austrinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken	Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken; Trinken.Schnell_große_Mengen_trinken; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Trinken.Geräuschvoll_trinken	voll
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	perfekt
PB00551	bamschen	bamschen	Verb	-	viel trinken, saufen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken; Trinken	Trinken.Schnell_große_Mengen_trinken; Trinken.Alkohol_trinken; Trinken; Trinken.Austrinken; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Trinken.Langsam_kleine_Mengen_trinken	voll
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee; Getränk; Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	perfekt
