xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Def_lang_gemappt	Def_lang_ungemappt	Konzept_Def_lang	Konzept_gemappt
EA00652	Amors	Amors	Substantiv	3.	schlechter Schnaps	['schlechter Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
ET01334	durstig	durstig	Adjektiv		durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
ET01335	dürsterig, dürsterlich	dürsterig, dürsterlich	Adjektiv		durstigmachend, durstbringend	['durstigmachend', 'durstbringend']	Durst								
LD01155	durschtisch	durschtisch	Adjektiv		durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PD05717	dursterig, dürsterig	dursterig, dürsterig	Adjektiv	x	durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PD05718	durstig, dürstig	durstig, dürstig	Adjektiv	-	durstig, dürstig	['durstig', 'dürstig']	Durst								
PL01019	lech	lech	Adjektiv	x3	durstig	['durstig']	Durst			durstig	kein_Trinken				kein_Trinken
PU00917	unter-irdisch	unterirdisch	Substantiv	2	der aus Kartoffeln hergestellte Schnaps	['der aus Kartoffeln hergestellte Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EF00900	Fusel	Fusel	Substantiv		geringer, schlechter Branntwein	['geringer', 'schlechter Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose						Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; 
EF01024	Vitriol	Vitriol	Substantiv	2.	schlechter Branntwein	['schlechter Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG00225	Rattengift	Rattengift	Substantiv	1.	Schnaps	['Schnaps']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose				Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00272	Giger	Giger	Substantiv	4.	schlechte Sorte Branntwein	['schlechte Sorte Branntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG00282	Giges, Gigs	Giges, Gigs	Substantiv		schlechter Branntwein, Fusel; schlechter Wein	['schlechter Branntwein', 'Fusel', 'schlechter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein					Fusel	schlechter Branntwein; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
EG00283	Burlegiges	Burlegiges	Substantiv	1.	schlechter, gewässerter Wein	['schlechter', 'gewässerter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EG01048	Geist	Geist	Substantiv	2.	Weingeist, Alkohol	['Weingeist', 'Alkohol']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose								
EG01127	Herrgöttel	Herrgöttel	Substantiv	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	['ein kleines Glas Bier', 'ein halber Schoppen', 'ein viertel Liter Wein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
EH00174	huchen	huchen	Substantiv	2.	trinken, bes. übermässig	['trinken', 'bes. übermässig']	Trinken.Schnell_große_Mengen_trinken					trinken	bes. übermässig	Trinken	Trinken
EK00182	Kaffee, Kaffi	Kaffee, Kaffi	Substantiv	1.	Kaffee	['Kaffee']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee				Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
EK00183	Schokelakaffee	Schokelakaffee	Substantiv		Milchschokolade mit Brot	['Milchschokolade mit Brot']	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao								
EK01109	Kirs(e), Kirsch	Kirse, Kirs, Kirsch	Substantiv	2.	Kirschbranntwein	['Kirschbranntwein']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose			Kirschbranntwein	kein_Trinken				kein_Trinken
EK01744	Kläw(n)er, Kläfler	Kläwner, Kläwer, Kläfler	Substantiv	2.	Wein daraus	['Wein daraus']	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein								
