xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA01737	an-dudeln	andudeln	Verb	-	sich betrinken	Trinken	1	0.9786	1.0000
PA02521	Apfel-mops	Apfelmops	Substantiv	-	nachgemachter Apfelwein	Trinken	1	0.9629	1.0000
PB00550	bamscheln	bamscheln	Verb	-	trinken	Trinken	1	0.9990	1.0000
PB02056	perlen	perlen	Verb	'1.1.	trinken	Trinken	1	0.9990	1.0000
PB02354	be-trudeln	betrudeln	Verb	-	sich betrinken	Trinken	1	0.9786	1.0000
PB03442	Biest-milch	Biestmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Trinken	1	0.9331	1.0000
PB03609	Pink-pille	Pinkpille	Substantiv	1	schlechter Kaffee	Trinken	1	0.9799	1.0000
PB03816	pitschen	pitschen	Verb	1	trinken	Trinken	1	0.9990	1.0000
PB03946	Plämpel	Plämpel	Substantiv	2	schlechter Wein, minderwertiger Haustrunk	Trinken	1	0.9489	1.0000
PB04748	Böckser	Böckser	Substantiv	1c	Wein mit Bodengeschmack	Trinken	1	0.9602	1.0000
PB07195	pulvern, pülvern	pulvern, pülvern	Verb	3	einen trinken	Trinken	1	0.9907	1.0000
PB07380	Buppes	Buppes	Substantiv	1	minderwertiger Wein, Haustrunk	Trinken	1	0.9515	1.0000
PD02627	Dividenden-brühe	Dividendenbrühe	Substantiv	-	Bier	Trinken	1	0.9907	1.0000
PD03186	torschen	torschen	Verb	-	tüchtig trinken	Trinken	1	0.9789	1.0000
PD04512	Triumph-bock	Triumphbock	Substantiv	-	Biersorte	Trinken	1	0.9630	1.0000
PD04751	trudeln	trudeln	Verb	2.2	trinken	Trinken	1	0.9990	1.0000
PD05009	dulfen	dulfen	Verb	2c	übermäßig trinken	Trinken	1	0.9786	1.0000
PD05027	Dullianer-brühe	Dullianerbrühe	Substantiv	-	schlechter Wein	Trinken	1	0.9872	1.0000
PD05031	tulpen	tulpen	Verb	-	(Alkohol) trinken	Trinken	1	0.9704	1.0000
PD05778	tutchen	tutchen	Verb	x	trinken	Trinken	1	0.9990	1.0000
PE00406	Eier-wein	Eierwein	Substantiv	-	Wein mit verrührtem Ei und Zucker	Trinken	1	0.9428	1.0000
PE01783	Erdbeeren-wein, Erdbeer-wein	Erdbeerenwein, Erdbeerwein	Substantiv	-	Erdbeerenwein, Erdbeerwein	Trinken	1	0.9538	1.0000
PG00355	Gänse-wein	Gänsewein	Substantiv	-	Wasser	Trinken	1	0.0174	0.0000
PG00935	Ge-bruttel	Gebruttel	Substantiv	2	Kaffeegetränk, in dem Rückstände schwimmen	Trinken	1	0.9356	1.0000
PG01943	Ge-plämpels	Geplämpels	Substantiv	-	Apfelwein	Trinken	1	0.9874	1.0000
PG03653	Gori	Gori	Substantiv	2.2	Branntwein	Trinken	1	0.9770	1.0000
PG04446	Grundbirnen-bumpes, Grundbirn-bumpes	Grundbirnenbumpes, Grundbirnbumpes	Substantiv	2	Kartoffelschnaps	Trinken	1	0.9766	1.0000
PG04644	Grün-kopf	Grünkopf	Substantiv	2b	Flaschenwein	Trinken	1	0.9872	1.0000
PH00710	Halsrosen-tee	Halsrosentee	Substantiv	-	Tee aus der Halsrose	Trinken	1	0.9578	1.0000
PH02173	Heidelbeeren-saft, Heidelbeer-saft	Heidelbeerensaft, Heidelbeersaft	Substantiv	-	Heidelbeerensaft, Heidelbeersaft	Trinken	1	0.9456	1.0000
PH03353	Herrgotts-wein, Herrgott-wein	Herrgottswein, Herrgottwein	Substantiv	-	Wasser	Trinken	1	0.0174	0.0000
PH03915	herum-zipfeln	herumzipfeln	Verb	-	langsam trinken	Trinken	1	0.9908	1.0000
