xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
EA00652	Amors	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	Getränk
ET01334	durstig	Adjektiv	durstig	Durst	Durst	"The headword ""durstig"" refers to the state of being thirsty, which corresponds to the category Durst.

Answer: Durst"
ET01335	dürsterig, dürsterlich	Adjektiv	durstigmachend, durstbringend	Durst	Durst	"The dictionary entry ""dürsterig, dürsterlich"" refers to something that causes thirst. While it relates to the concept of thirst (Durst), it describes the cause rather than the state itself. However, since it directly pertains to inducing the state of thirst, it is most appropriately categorized under **Durst**.

Answer: Durst"
LD01155	durschtisch	Adjektiv	durstig	Durst	Durst	Durst
PD05717	dursterig, dürsterig	Adjektiv	durstig	Durst	Durst	"The dictionary entry ""dursterig"" with the definition ""durstig"" describes the state of being thirsty. This falls under the **Durst** category.

Answer: Durst"
PD05718	durstig, dürstig	Adjektiv	durstig, dürstig	Durst	Durst	"The headword ""durstig"" refers to the state of being thirsty, which fits the **Durst** category.

**Answer:** Durst"
PL01019	lech	Adjektiv	durstig	Durst	Durst	"The definition of ""lech"" is given as ""durstig,"" which means ""thirsty."" This corresponds to the state of being thirsty, fitting into category 2: **Durst**.

Answer: Durst"
PU00917	unter-irdisch	Substantiv	der aus Kartoffeln hergestellte Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	Getränk
EF00900	Fusel	Substantiv	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The word ""Fusel"" refers to a specific type of beverage, which is a cheap or inferior brandy. Therefore, it falls under the category of **Getränk**, as it is a specific type of drink.

**Answer:** Getränk"
EF01024	Vitriol	Substantiv	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry for ""Vitriol"" defines it as ""schlechter Branntwein,"" which translates to ""bad brandy."" Since this refers to a specific type of beverage, it falls under the **Getränk** category.

Answer: Getränk"
EG00225	Rattengift	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry for ""Rattengift"" with the definition ""Schnaps"" refers to a specific type of beverage. Therefore, it fits into category 3: **Getränk**.

Answer: Getränk"
EG00272	Giger	Substantiv	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The term ""Giger"" refers to a type of brandy, which is a specific beverage. Therefore, it falls under the **Getränk** category.

**Answer:** Getränk"
EG00282	Giges, Gigs	Substantiv	schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	"The term ""Giges, Gigs"" refers to specific types of beverages (bad brandy and wine), making it fall under the category of Getränk.

**Answer:** Getränk"
EG00283	Burlegiges	Substantiv	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk	Getränk
EG01048	Geist	Substantiv	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry ""Geist"" refers to a specific type of beverage, alcohol. Therefore, it belongs to the category:

**Getränk**

Answer: Getränk"
EG01127	Herrgöttel	Substantiv	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken	other
EH00174	huchen	Substantiv	trinken, bes. übermässig	Trinken.Schnell_große_Mengen_trinken	trinken	"The dictionary entry for ""huchen"" is defined as drinking, particularly excessively. This falls under the category of actions involving drinking, which is the first category provided. 

**Answer:** trinken"
EK00182	Kaffee, Kaffi	Substantiv	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk	Getränk
EK00183	Schokelakaffee	Substantiv	Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	kein_Trinken	"The headword ""Schokelakaffee"" is a type of coffee drink but also involves milk chocolate and bread. Since it combines both a beverage and food, it doesn't neatly fit into the Getränk category alone. Therefore, it falls under the broader context of ""other.""

**Answer:** other"
