xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	kein_Trinken	"The term ""Moze"" refers to a plant species (Herbstzeitlose), which isn't related to drinking, thirst, or beverages.

**Answer:** other"
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken	"The headword ""Weiber-kleider"" translates to women's clothing, which does not fit into any of the first three categories (trinken, Durst, Getränk). Therefore, it belongs to the fourth category.

Answer: other"
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	kein_Trinken	"The term ""Reib-eisen"" refers to a quarrelsome woman, which is related to a characteristic or trait of a person. Therefore, it doesn't fall into any of the first three categories but fits into the ""other"" category.

**Answer:** other"
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	kein_Trinken	"The dictionary entry describes a state related to pregnancy in cows, which doesn't fall under drinking, thirst, or beverages.

**Answer: other**"
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	kein_Trinken	"The dictionary entry ""ein-schroten"" refers to an activity in construction, specifically fitting bricks or stones. Since this is unrelated to drinking, thirst, or beverages, it falls under the ""other"" category.

**Answer: other**"
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	kein_Trinken	"The dictionary entry ""wohl-tun"" does not relate to drinking, thirst, or beverages. Instead, it describes doing something properly, which fits into general activities. 

**Answer:** other"
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	kein_Trinken	"The term ""Finger-spitze"" refers to a metaphorical expression about skill rather than anything related to drinking, thirst, or beverages. Therefore, it falls under ""other.""

**Answer:** other"
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	kein_Trinken	other
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken	"The dictionary entry for ""Rück-köze"" describes a type of backpack, which doesn't relate to drinking, thirst, or specific beverages. Therefore, it falls into the ""other"" category.

**Answer:** other"
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	kein_Trinken	"The dictionary entry refers to a leather strap or holder, which is an object. It doesn't fit into trinken (drinking actions), Durst (thirst state), or Getränk (beverages). Therefore, it falls under other.

**Answer:** other"
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	kein_Trinken	"The term ""Konzeptor,"" meaning teacher, does not relate to drinking, thirst, or specific drinks. It falls under other general topics.

**Answer:** other"
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken	"The headword ""hinein-klettern"" translates to climbing into something and does not relate to drinking, thirst, or beverages. Therefore, it falls into the ""other"" category.

**Answer:** other"
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	kein_Trinken	"The term refers to a fee for baking services, not related to drinking, thirst, or beverages.

**Answer:** other"
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	kein_Trinken	"The dictionary entry ""Spatzert, Spätzert"" with the definition ""Sperling"" refers to a sparrow, an animal. Since this doesn't relate to drinking actions, thirst states, or beverages, it falls under the 'other' category.

**Answer:** other"
PF00829	feil-halten	Verb	disputieren	kein_Trinken	kein_Trinken	"The dictionary entry ""feil-halten"" with the definition ""disputieren"" does not relate to drinking, thirst, or specific beverages. Instead, it pertains to actions like arguing or offering for sale, which fits into the ""other"" category.

**Answer:** other"
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken	"The headword ""Fronleichnams-tag"" refers to a Catholic holiday and does not relate to drinking, thirst, or beverages. Therefore, it belongs to the **other** category.

Answer: other"
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	kein_Trinken	"The dictionary entry for ""Ei-gackel"" refers to the Marsh Marigold plant, which does not fit into the categories of drinking actions, thirst, or specific beverages. Therefore, it falls under the ""other"" category.

**Answer:** other"
PW01311	weg-hören	Verb	nicht hinhören	kein_Trinken	kein_Trinken	"The headword ""weg-hören"" translates to ""not listening,"" which does not relate to drinking, thirst, or beverages. Therefore, it falls under the ""other"" category.

**Answer:** other"
PI00107	Immen-kraut	Substantiv	Melisse	kein_Trinken	kein_Trinken	"The dictionary entry ""Immen-kraut"" (Melisse) refers to an herb used in beverage preparation rather than being a specific drink. It fits into the 'other' category as it is related to the components or ingredients of beverages.

**Answer: other**"
PD04412	Drilles	Substantiv	was sich um seine Achse im Kreise dreht	kein_Trinken	kein_Trinken	"The dictionary entry ""Drilles"" refers to something that spins around its axis, which doesn't fit any of the trinken, Durst, or Getränk categories. Therefore, it belongs to the other category.

**Answer:** other"
PB05839	Brech-stange	Substantiv	Brechstange	kein_Trinken	kein_Trinken	"The dictionary entry ""Brech-stange"" refers to a tool used for prying or breaking things open. Since it is neither related to drinking actions, thirst, nor specific beverages, it falls under the ""other"" category.

**Answer:** other"
