xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	kein_Trinken	"other

Explanation: The headword ""ab-gießen"" means to remove something (in this case a sentence) by pouring. This is not related to drinking or being thirsty (""trinken"", ""Durst""), nor is it a specific type of beverage (""Getränk""). It's a gastronomy-related activity that doesn't fit into any of the first three categories, so it falls under **other**."
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	kein_Trinken	other
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	kein_Trinken	"other

The headword ""Adler"" refers to an inn or tavern named after an eagle (the German word for eagle is indeed ""Adler""). It does not relate to drinking a liquid (""trinken""), being thirsty (""Durst""), or a specific type of beverage (""Getränk""), but rather to a place where beverages are served. Therefore, it falls under the category of **other**."
PA01105	Affe	Substantiv	Rausch	kein_Trinken	[ungültig]	"The answer is **other**.

Reasoning:
- ""Affe"" (monkey) in the definition does not relate to drinking a liquid (""trinken""), so it's not category 1.
- The definition is about being intoxicated (""Rausch""), which implies a state of being, rather than a need or desire for something (""Durst""), so it's not category 2.
- ""Affe"" is not a type of beverage (""Getränk""), so it's not category 3."
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	kein_Trinken	other
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	[ungültig]	"other 

Explanation: The definition ""angeheitert"" refers to a state resulting from drinking, which is unrelated to the act of drinking itself (category 1), the need or desire for water (category 2), or specific beverages (category 3). It falls under category **other**, which includes states such as being drunk or intoxicated, and other related terms."
PA01953	an-heitern	Verb	anheitern	kein_Trinken	[ungültig]	"other 

The word ""an-heitern"" doesn't match the headwords in categories 1, 2 or 3. It is related to preparation of beverages (category 4)."
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	kein_Trinken	other
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	[ungültig]	"other 

The headword ""an-rudeln"" means to be drunk, which is not directly related to drinking a liquid (trinken), being thirsty (Durst), or specific types of beverages (Getränk). It falls under the category of states or conditions resulting from excessive consumption of alcohol."
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	kein_Trinken	other
PA02302	an-stechen	Verb	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	[ungültig]	"other

Explanation: The headword ""an-stechen"" refers to the action of inserting a tap (Zapfhahn) into a beer or wine barrel, which does not fit into any of the categories related to drinking, thirst, or specific types of beverages. It falls under the broader category of activities related to gastronomy and preparation of beverages."
PA02304	an-stecken	Verb	anzapfen	kein_Trinken	kein_Trinken	other
