xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	Getränk	"other

The headword ""Moze"" refers to a type of plant (Herbstzeitlose), not a beverage or state related to drinking. Therefore, it does not fit into the categories **trinken**, **Durst**, or **Getränk**."
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken	"The answer is: other.

Explanation:
- The headword ""Weiber-kleider"" refers to clothing for women.
- There is no mention of drinking or being thirsty in the definition.
- It also does not refer to specific types or groups of beverages. 

Therefore, it falls under category **other**."
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	[ungültig]	"A fun task!

After analyzing the definition ""zänkische Frau"", I would categorize it as:

**other**

The reason is that ""Reib-eisen"" (a colloquialism for ""zänkische Frau"") refers to a type of person (a quarrelsome or argumentative woman), which doesn't fit into any of the other categories (drinking, thirst, types of beverages). It's an example of a word related to gastronomy activities, but not a beverage itself."
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	kein_Trinken	other
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	kein_Trinken	other
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	[ungültig]	"Based on the definition ""(Part. Perf.) geziemend, richtig getan"", I would categorize ""wohl-tun"" as an **other**.

The definition refers to a verb that means doing something correctly or suitably, which is not related to drinking, thirst, specific types of beverages, or general gastronomy activities. It's more about the aspect of correctness or suitability in one's actions."
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	[ungültig]	"other 

Explanation:
The headword ""Finger-spitze"" translates to English as ""tip of the finger"". It is not related to drinking or thirst (trinken/Durst), nor is it a specific type of beverage (Getränk). Therefore, it falls under the category ""other"", which includes various other concepts such as body parts, states, activities, and objects."
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	[ungültig]	"other 

Reasoning:
The headword ""Regen-butzen"" is translated to the definition ""Regenschauer"". A Regenschauer is a stormy rain shower, not related to drinking or thirst. The term does not refer to a beverage or state of being thirsty. Therefore, it falls under the category of **other** as it relates to weather and precipitation, rather than any of the other provided categories."
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken	other
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	[ungültig]	"other

The headword ""Lederhalfter"" refers to a type of leather belt or halter, not related to drinking, thirst, or specific beverages. It falls under the category of ""other"", which includes activities such as preparation of beverages and general gastronomy activities (although ""Lederhalfter"" is actually more closely related to horsemanship)."
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	[ungültig]	"other 

The definition ""Lehrer"" translates to a teacher. This does not fit into any beverage related category. The provided examples for each category clearly indicate that they are all beverage-related. Thus, the correct answer is **other** since it covers everything else, including occupations like teaching."
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken	other
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	kein_Trinken	other
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	[ungültig]	"other 

The headword ""Spatzert"" or ""Spätzert"" refers to a type of bird (Sperling), which is unrelated to drinking, thirst, or specific types of beverages. Therefore, it falls under the category ""**other**""."
PF00829	feil-halten	Verb	disputieren	kein_Trinken	[ungültig]	"other 

The headword ""feil-halten"" is related to disputing or arguing, which doesn't fit into any of the categories of drinking, being thirsty, types of beverages, or specific activities related to gastronomy. Therefore, it falls under the category ""other""."
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken	other
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	kein_Trinken	other
PW01311	weg-hören	Verb	nicht hinhören	kein_Trinken	kein_Trinken	other
PI00107	Immen-kraut	Substantiv	Melisse	kein_Trinken	kein_Trinken	other
PD04412	Drilles	Substantiv	was sich um seine Achse im Kreise dreht	kein_Trinken	kein_Trinken	other
PB05839	Brech-stange	Substantiv	Brechstange	kein_Trinken	[ungültig]	"other

The headword ""Brechstange"" is related to a tool or device used in the process of drinking, but not specifically for drinking itself (trinken). It's also not related to the state of being thirsty (Durst) or a type of beverage (Getränk). Therefore, it falls into the category of ""other""."
PB05745	braun	Adjektiv	braun	kein_Trinken	[ungültig]	"other

Explanation: The headword is ""braun"", which means brown. There's no connection to drinking or thirst, so it falls under the ""other"" category."
PZ00100	Zahn-schwären	Substantiv	Geschwür im Zahnbereich	kein_Trinken	[ungültig]	"other

The headword ""Zahn-schwären"" refers to a dental abscess or a gum boil, which is not related to drinking or thirst. The definition mentions a Geschwür im Zahnbereich (a swelling in the jaw area), indicating that it's an oral health issue rather than something related to beverages or states of being thirsty. Therefore, it falls under the ""other"" category."
PK00621	kaputt	Adjektiv	(attr) schadhaft in höchstem Grad, entzwei, zerstört, zerstört (von Sachen)	kein_Trinken	[ungültig]	"other 

The headword ""kaputt"" is an adjective describing something as damaged or destroyed. It does not fit into the categories related to drinking (trinken), being thirsty (Durst), or specific types of beverages (Getränk). Therefore, it falls under the category ""other""."
PK02178	Kirchen-vater	Substantiv	Kirchenpfleger, Messner	kein_Trinken	kein_Trinken	other
PH05601	Hirten-acker	Substantiv	Flurname	kein_Trinken	[ungültig]	"other 

Explanation: The headword ""Hirten-acker"" refers to a type of field or pasture for shepherds. It is not related to drinking, thirst, or specific beverages. Therefore, it falls under the category ""other""."
PB04178	Blau-fabrik	Substantiv	Fabrik, die Ultramarin erzeugt	kein_Trinken	kein_Trinken	other
PH03605	herum-klüngeln	Verb	vom Garnstrang abnehmen und zu einem Klüngel wickeln	kein_Trinken	kein_Trinken	other
PU00348	Ulm	Adjektiv	ein Kegelspiel	kein_Trinken	kein_Trinken	other
PD01739	delikat	Adjektiv	fein, zartfühlend	kein_Trinken	kein_Trinken	Other.
PS08524	Speck-klotz	Substantiv	dicker Mensch, Fettwanst	kein_Trinken	kein_Trinken	other
PH04401	Hickel-bank	Substantiv	mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns	kein_Trinken	kein_Trinken	other
PS07103	Sekretär	Substantiv	Schreibtisch	kein_Trinken	kein_Trinken	other.
PF05728	Funken-sonntag	Substantiv	der Sonntag Invokavit	kein_Trinken	[ungültig]	"other

The headword ""Funken-Sonntag"" refers to a specific day (Sonntag) associated with the concept of invocation (Invokavit), and does not fall into any of the categories related to drinking, thirst, or specific types of beverages. Therefore, it falls under the category ""other""."
PS08600	Speierling	Substantiv	der Baum Sorbus domestica und seine Frucht	kein_Trinken	kein_Trinken	other
PI00286	Italiener-huhn	Substantiv	die Hühnerrasse Italiener	kein_Trinken	kein_Trinken	other
PB05547	Braddel	Substantiv	Kuhkot	kein_Trinken	[ungültig]	"other 

The headword ""Braddel"" refers to a type of cowshed or cattle yard. This is unrelated to the concepts of drinking, thirst, specific beverages, or any other related categories. It falls under the broad category of **other**, which includes places, persons, vessels, tools, states, preparation of beverages, quantities, general gastronomy activities, properties and ingredients of beverages, containers for storage and preparation of beverages, etc."
PM02615	Monats-frau	Substantiv	Haushaltshilfe, die stundenweise arbeitet (und monatlich entlohnt wird)	kein_Trinken	[ungültig]	"other 

Explanation:
- The headword ""Monats-frau"" refers to a specific type of worker, not related to drinking or beverages."
PS06492	Schwengel	Substantiv	Geschlechtsteil des Hengstes	kein_Trinken	kein_Trinken	other
PZ00099	Zahn-schrupper	Substantiv	Zahnbürste	kein_Trinken	[ungültig]	"other 

The definition ""Zahnbürste"" (toothbrush) is unrelated to drinking or beverages. The word Zahn-schrupper seems to be a combination of ""Zahn"" meaning tooth and ""schruppen"" which may be related to ""Schuppe"", meaning scale or brush, but does not relate to the four given options."
PS10650	Stern-buben	Substantiv	durch das Dorf ziehende und Gaben heischende Sternsingerbuben	kein_Trinken	kein_Trinken	other
PL02335	Lotterie	Substantiv	Lotterie	kein_Trinken	[ungültig]	"other 

Explanation: The headword ""Lotterie"" refers to a specific type of game or event where participants try their luck for prizes. It does not relate to drinking liquids (""trinken""), being thirsty (""Durst""), or types of beverages (""Getränk"")."
