"xml:id"	"Lemma"	"Wortart"	"Definition"	"Konzept"	"Konzept_gemappt"	"Antwort_Modell"
"EA00652"	"Amors"	"Substantiv"	"schlechter Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EF00900"	"Fusel"	"Substantiv"	"geringer, schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EF01024"	"Vitriol"	"Substantiv"	"schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG00225"	"Rattengift"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"	"other

The term ""Rattengift"" literally translates to ""rat poison,"" and even though it is defined as ""Schnaps"" (a type of strong alcoholic drink), the primary association with rat poison suggests a context that goes beyond just being a beverage. Given its hazardous nature, it does not neatly fit into the categories of drinking actions (""trinken""), thirst state (""Durst""), or specific types of beverages (""Getränk""). Therefore, it is best categorized as ""other."""
"EG00272"	"Giger"	"Substantiv"	"schlechte Sorte Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG00282"	"Giges, Gigs"	"Substantiv"	"schlechter Branntwein, Fusel; schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EG00283"	"Burlegiges"	"Substantiv"	"schlechter, gewässerter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EG01048"	"Geist"	"Substantiv"	"Weingeist, Alkohol"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EG01127"	"Herrgöttel"	"Substantiv"	"ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"Getränk"	"Getränk"
"EG01147"	"gutteren"	"Verb"	"aus einem Fläschchen trinken"	"Trinken"	"trinken"	"trinken"
"EG01325"	"gluckeren"	"Verb"	"schlürfen, trinken"	"Trinken.Geräuschvoll_trinken"	"trinken"	"trinken"
"EG01330"	"glucklen"	"Verb"	"trinken"	"Trinken"	"trinken"	"trinken"
"EH00174"	"huchen"	"Substantiv"	"trinken, bes. übermässig"	"Trinken.Schnell_große_Mengen_trinken"	"trinken"	"trinken"
"EH01203"	"hüpperen"	"Verb"	"trinken"	"Trinken"	"trinken"	"trinken"
"EK00182"	"Kaffee, Kaffi"	"Substantiv"	"Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"Getränk"	"Getränk"
"EK00183"	"Schokelakaffee"	"Substantiv"	"Milchschokolade mit Brot"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao"	"kein_Trinken"	"other

The term ""Schokelakaffee"" is defined as ""Milchschokolade mit Brot,"" which translates to ""milk chocolate with bread."" This definition does not fit into the categories of drinking an action (trinken), a state of thirst (Durst), or a specific beverage type (Getränk). Instead, it describes a combination of food items, which falls under the broad category of ""other"" since it involves neither the act of drinking nor any typical properties of beverages."
"EK01109"	"Kirs(e), Kirsch"	"Substantiv"	"Kirschbranntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"Getränk"
"EK01581"	"klëmmen"	"Verb"	"trinken"	"Trinken"	"trinken"	"trinken"
"EK01653"	"klepfen"	"Verb"	"wegschnappen, verzehren (Obst; eine Flasche Wein)"	"Trinken.Alkohol_trinken"	"kein_Trinken"	"other

The term ""klepfen"" as defined (""wegschnappen, verzehren (Obst; eine Flasche Wein)"") refers to the act of stealing and consuming fruit or a bottle of wine. While it involves consumption, it does not specifically pertain to drinking liquids nor is it about thirst or specific beverages. Therefore, it falls under the ""other"" category which includes activities related to gastronomy but outside the defined categories for drinking actions or states of thirst."
