xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	[ungültig]	"other

The term ""Herbstzeitlose"" refers to an amphibian, specifically the common toad. Since this does not relate to drinking actions, thirst states, or beverages, it falls into the ""other"" category as it is unrelated to the themes of drinking or beverages."
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken	other
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	kein_Trinken	other
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	[ungültig]	"other

The headword ""hoch-tragend, -trag(en)ig, -tragicht, -trägtig"" refers to being pregnant in the final stage (especially of cows), which does not relate to drinking actions, thirst states, or specific beverages. Therefore, it falls under the ""other"" category as it pertains to a biological state that is unrelated to gastronomy or beverages."
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	[ungültig]	"other

The definition provided for ""ein-schroten"" involves activities related to shaping and fitting stones like bricks or building blocks. This activity is clearly not associated with drinking actions, thirst states, or beverages. Therefore, it does not fit into the categories of **trinken**, **Durst**, or **Getränk**. The most appropriate category for this term would be **other**, as it encompasses activities that are unrelated to the consumption or preparation of drinks."
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	kein_Trinken	other
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	[ungültig]	"other

The term ""Finger-spitze"" (correctly spelled as ""Fingerspitze"") translates to ""finger tip."" This does not fall under drinking actions, thirst states, or specific types of beverages. It is a body part and thus fits into the ""other"" category which includes everything else not directly related to drinking actions, thirst, or beverages."
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	[ungültig]	"other

The term ""Regen-butzen"" meaning ""Regenschauer"" (shower of rain) does not fit into the categories of drinking actions (""trinken""), thirst states (""Durst""), or specific beverages (""Getränk""). It refers to a weather phenomenon and thus falls under the ""other"" category."
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken	"other

The headword ""Rück-köze"" refers to a back basket with straps that go over the shoulders. This definition does not relate to drinking actions, thirst states, or specific beverages. Therefore, it falls into the category of ""everything else,"" which is labeled as **other**."
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	[ungültig]	"other

The headword ""Lederhalfter"" (leather halter or leather holster) does not fit into the categories related to drinking actions (""trinken""), thirst states (""Durst""), or specific types of beverages (""Getränk""). It refers to an object made of leather, likely used for securing or carrying items, and thus falls under the ""other"" category."
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	kein_Trinken	other
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken	other
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	[ungültig]	"other

The headword ""Bäcker-lohn"" (baker's fee) and its definition ""Backgebühr"" (bakery charge/fee) do not fit into the categories of drinking actions, thirst states, or specific beverages. Instead, these terms relate to costs associated with bakery services or products, which falls under the broad ""other"" category as it pertains to gastronomy activities rather than directly to drinking or beverages."
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	kein_Trinken	other
PF00829	feil-halten	Verb	disputieren	kein_Trinken	kein_Trinken	other
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken	other
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	[ungültig]	"other

The headword ""Ei-gackel"" and its definition ""Sumpfdotterblume"" refer to a type of flower (Marsh Marigold in English), which does not fit into any of the categories related to drinking actions, thirst states, or specific beverages. Therefore, it falls under the ""other"" category as it relates to flora."
PW01311	weg-hören	Verb	nicht hinhören	kein_Trinken	kein_Trinken	other
PI00107	Immen-kraut	Substantiv	Melisse	kein_Trinken	[ungültig]	"other

The term ""Immen-kraut,"" which is another name for ""Melisse"" (lemon balm), does not directly fit into the categories of drinking actions (""trinken""), thirst state (""Durst""), or specific beverages (""Getränk""). While lemon balm can be used to make teas and other beverages, the headword itself refers more generally to the herb/plant. Therefore, it falls under the ""other"" category as it relates to a plant that could be used in beverage preparation among other uses."
PD04412	Drilles	Substantiv	was sich um seine Achse im Kreise dreht	kein_Trinken	kein_Trinken	other
PB05839	Brech-stange	Substantiv	Brechstange	kein_Trinken	kein_Trinken	other
PB05745	braun	Adjektiv	braun	kein_Trinken	kein_Trinken	other
PZ00100	Zahn-schwären	Substantiv	Geschwür im Zahnbereich	kein_Trinken	kein_Trinken	other
PK00621	kaputt	Adjektiv	(attr) schadhaft in höchstem Grad, entzwei, zerstört, zerstört (von Sachen)	kein_Trinken	kein_Trinken	other
PK02178	Kirchen-vater	Substantiv	Kirchenpfleger, Messner	kein_Trinken	[ungültig]	"other

The headword ""Kirchen-vater"" (church father/priest) and its definitions ""Kirchenpfleger"" (church warden) and ""Messner"" (sexton) do not relate to drinking actions, thirst states, or specific beverages. Instead, they pertain to roles within a religious context, thus fitting into the ""other"" category as they do not align with the specific themes of drinking, thirst, or types of drinks."
PH05601	Hirten-acker	Substantiv	Flurname	kein_Trinken	Getränk	"other

The headword ""Hirten-acker"" is a field name (Flurname), which does not relate to drinking actions, the state of being thirsty, or specific types of beverages. Therefore, it falls into the ""other"" category as it doesn't fit within the defined categories for ""trinken,"" ""Durst,"" or ""Getränk."""
PB04178	Blau-fabrik	Substantiv	Fabrik, die Ultramarin erzeugt	kein_Trinken	kein_Trinken	other
PH03605	herum-klüngeln	Verb	vom Garnstrang abnehmen und zu einem Klüngel wickeln	kein_Trinken	[ungültig]	"other

The headword ""herum-klüngeln"" and its definition are related to the process of taking yarn off a strand and winding it into a ball or skein. This activity is completely unrelated to drinking, thirst, or beverages, which rules out the categories ""trinken"", ""Durst"", and ""Getränk"". Therefore, according to the instructions provided, this entry should be categorized as ""other""."
PU00348	Ulm	Adjektiv	ein Kegelspiel	kein_Trinken	kein_Trinken	other
PD01739	delikat	Adjektiv	fein, zartfühlend	kein_Trinken	kein_Trinken	other
PS08524	Speck-klotz	Substantiv	dicker Mensch, Fettwanst	kein_Trinken	kein_Trinken	other
PH04401	Hickel-bank	Substantiv	mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns	kein_Trinken	kein_Trinken	other
PS07103	Sekretär	Substantiv	Schreibtisch	kein_Trinken	kein_Trinken	other
PF05728	Funken-sonntag	Substantiv	der Sonntag Invokavit	kein_Trinken	[ungültig]	"other

The headword ""Funken-sonntag"" (which translates to something like 'spark Sunday') and its definition as ""der Sonntag Invokavit"" refers to a specific church calendar event. It does not relate directly to drinking actions, thirst states, or beverages themselves, thus falling under the ""other"" category."
