xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	kein_Trinken	other
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	kein_Trinken	"The dictionary entry ""ab-steigen"" meaning ""einkehren"" refers to stopping at an establishment like a pub or tavern, not directly to the act of drinking or thirst. This places it in the category of activities related to places where beverages are consumed.

**Answer:** other"
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	kein_Trinken	other
PA01105	Affe	Substantiv	Rausch	kein_Trinken	kein_Trinken	"The headword ""Affe"" with the definition ""Rausch"" refers to a state of intoxication, fitting into the ""other"" category. 

Answer: other"
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	kein_Trinken	other
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	kein_Trinken	other
PA01953	an-heitern	Verb	anheitern	kein_Trinken	kein_Trinken	"The term ""an-heitern"" describes the state of being slightly drunk, which fits into the category of other states related to beverage consumption. 

**Answer:** other"
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	kein_Trinken	"The headword ""Anrauch-kopf"" with its definition of being or looking drunk refers to a state resulting from drinking. This falls under category 4, which includes states such as being drunk.

**Answer:** other"
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	kein_Trinken	"The term ""an-rudeln"" meaning ""betrunken sein"" refers to the state of being drunk. This falls under the 'states' subcategory within 'other.' 

**Answer:** other"
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	kein_Trinken	"The headword ""an-setzen"" refers to an action related to preparing or serving a beverage, specifically in the context of Bowle (punch). This activity is about serving rather than drinking itself or the state of thirst. It doesn't describe a specific type of beverage either. Therefore, it fits into the category of other activities.

**Answer:** other"
PA02302	an-stechen	Verb	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	kein_Trinken	"The word ""an-stechen"" refers to the act of tapping into a beer or wine cask, which is part of the process of serving drinks. This action doesn't fall under drinking (trinken), thirst (Durst), or types of beverages (Getränk). Therefore, it belongs to the category of other activities related to serving.

**Answer:** other"
PA02304	an-stecken	Verb	anzapfen	kein_Trinken	kein_Trinken	other
PA02306	Ansteck-kran	Substantiv	großer Hahn am Faß	kein_Trinken	kein_Trinken	"The dictionary entry ""Ansteck-kran"" refers to a device used for serving beverages from a barrel. Since it's related to serving activities and tools, it falls under the 'other' category.

**Answer:** other"
PA02319	An-stich	Substantiv	das Anstechen eines Fasses	kein_Trinken	kein_Trinken	"The dictionary entry describes an action related to serving beverages rather than drinking itself or being thirsty. Therefore, it belongs to:

**other**

Answer: other"
PA02333	an-streichen	Verb	betrunken machen	kein_Trinken	kein_Trinken	"The dictionary entry ""an-streichen"" with the definition ""betrunken machen"" refers to causing intoxication. This action doesn't fit into the categories of drinking, thirst, or specific beverages but falls under related activities. 

**Answer:** other"
PA02450	an-zapfen	Verb	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	kein_Trinken	"The term ""an-zapfen"" involves the action of tapping a keg to serve beer or wine. This is classified as a serving activity rather than drinking, being thirsty, or a specific beverage.

**Answer:** other"
