"xml:id"	"Lemma"	"Wortart"	"Definition"	"Konzept"	"Konzept_gemappt"	"Antwort_Modell"
"EA00652"	"Amors"	"Substantiv"	"schlechter Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"	"other"
"EF00900"	"Fusel"	"Substantiv"	"geringer, schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"	"I would categorize ""Fusel"" as **other**, since it refers to a specific type of low-quality or inferior liquor. It doesn't fit into the categories related to drinking (trinken), thirst (Durst), or types of beverages (Getränk). Instead, it is a term used in gastronomy to describe a particular property or characteristic of certain spirits."
"EF01024"	"Vitriol"	"Substantiv"	"schlechter Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"	"other"
"EG00225"	"Rattengift"	"Substantiv"	"Schnaps"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"The headword ""Rattengift"" is defined as ""Schnaps"", which means it's a type of strong liquor. Therefore, I would categorize it under **Getränk**, as it is a specific type or group of beverages.

Answer: Getränk"
"EG00272"	"Giger"	"Substantiv"	"schlechte Sorte Branntwein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"kein_Trinken"	"Based on the definition, I would categorize ""Giger"" as **other**, since it is a type of bad quality brandy, which does not fit into any of the first three categories."
"EG00282"	"Giges, Gigs"	"Substantiv"	"schlechter Branntwein, Fusel; schlechter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"	"other 

Explanation: The given definition describes types of beverages (schlechter Branntwein, Fusel; schlechter Wein), which falls under the category ""Getränk"". However, since it specifically refers to inferior or bad types of drink, it is better placed in the category **""other""**."
"EG00283"	"Burlegiges"	"Substantiv"	"schlechter, gewässerter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"	"other

The headword ""Burlegiges"" refers to a specific type of wine that is described as being bad or of poor quality. Therefore, it fits into the category of **other**, which includes words related to properties and ingredients of beverages."
"EG01048"	"Geist"	"Substantiv"	"Weingeist, Alkohol"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	"Getränk"	"I would categorize this as: **Getränk**

Reasoning: The definition mentions ""Weingeist"", which is a type of beverage (wine spirit), and ""Alkohol"", which refers to a specific ingredient or property of certain types of beverages. This suggests that the headword ""Geist"" specifically refers to a category of drinks, which fits with category 3: **Getränk**."
"EG01127"	"Herrgöttel"	"Substantiv"	"ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein"	"Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein"	"kein_Trinken"	"other"
"EG01147"	"gutteren"	"Verb"	"aus einem Fläschchen trinken"	"Trinken"	"kein_Trinken"	"other

Explanation:
- The headword ""gutteren"" is related to drinking a liquid (specifically from a bottle), but it's not a general action like **trinken**, rather it's more specific.
- It doesn't describe the state of being thirsty, which is what **Durst** represents.
- It also isn't describing a type or group of beverage, so it can be ruled out as **Getränk**.

Therefore, gutteren fits into the ""other"" category."
"EG01325"	"gluckeren"	"Verb"	"schlürfen, trinken"	"Trinken.Geräuschvoll_trinken"	"kein_Trinken"	"Based on the definition ""schlürfen, trinken"", I would categorize ""gluckern"" as **other**, since it specifically refers to an action of drinking a liquid (similar to trinken) and is not a specific type of beverage (Getränk), nor related directly to thirst or being thirsty (Durst)."
"EG01330"	"glucklen"	"Verb"	"trinken"	"Trinken"	"kein_Trinken"	"other

Explanation: According to the definition ""trinken"", it fits into category 1. **trinken** = any action of drinking a liquid 

However, since ""glucklen"" is given as the headword and is not in the examples for the other categories, I conclude it must be an action of drinking a liquid so it belongs to category ""other""."
"EH00174"	"huchen"	"Substantiv"	"trinken, bes. übermässig"	"Trinken.Schnell_große_Mengen_trinken"	"kein_Trinken"	"other 

The definition ""trinken, bes. übermässig"" suggests that the word **huchen** refers to an excessive or abnormal drinking behavior, rather than a type of beverage (Getränk), a state of thirst (Durst), or an act of drinking (trinken) itself. Therefore, it falls into the ""other"" category."
"EH01203"	"hüpperen"	"Verb"	"trinken"	"Trinken"	"kein_Trinken"	"other

Explanation: ""hüpperen"" is an action that involves drinking (as indicated by the definition), but it's not a verb directly synonymous with ""trinken"", nor is it a state of being thirsty (""Durst"") or a specific type of beverage (""Getränk"")."
"EK00182"	"Kaffee, Kaffi"	"Substantiv"	"Kaffee"	"Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee"	"kein_Trinken"	"Based on the definition, I would categorize this as **Getränk**, which is a specific type or group of beverages."
