xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	kein_Trinken	other
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken	other
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	kein_Trinken	other
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	kein_Trinken	other
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	kein_Trinken	other
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	kein_Trinken	other
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	kein_Trinken	other
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	kein_Trinken	other
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken	other
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	kein_Trinken	other
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	kein_Trinken	other
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken	other
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	kein_Trinken	other
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	kein_Trinken	other
PF00829	feil-halten	Verb	disputieren	kein_Trinken	kein_Trinken	other
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken	other
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	kein_Trinken	other
PW01311	weg-hören	Verb	nicht hinhören	kein_Trinken	kein_Trinken	other
PI00107	Immen-kraut	Substantiv	Melisse	kein_Trinken	kein_Trinken	other
