xml:id	Lemma	Wortart	Level	Definition	Konzept	Stringabgleich	ModernGBERT	Llama3.3:70b
EA00144	Ablässel	Substantiv		Medaille mit Heiligenbild	kein_Trinken	1/1	1/1	1/1
EA00219	Adler	Substantiv		Adler. Häufig Wirtshausschild	kein_Trinken	1/1	1/1	1/1
EA00250	Aff	Substantiv	4.	Rausch	kein_Trinken	1/1	1/1	1/1
EA00334	Agele, Agel	Substantiv		Granne, Spelze der Getreideähre, besonders Gerste; die holzigen Teile des Hanfs, die sich beim Brechen ablösen, Splitter, die bes. zum Feueranzünden dienen	kein_Trinken	1/1	1/1	1/1
EA00451	Aktion	Substantiv		Actie	kein_Trinken	1/1	1/1	1/1
EA00496	Allegaschi	Substantiv		töpelhafter Mensch, der sich ungeschickt trägt oder hält	kein_Trinken	1/1	1/1	1/1
EA00514	Eller	Substantiv		Erle	kein_Trinken	1/1	1/1	1/1
EA00652	Amors	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EA00733	Ampfer, Ampert	Substantiv		Ampfer	kein_Trinken	1/1	1/1	1/1
EA00877	Andülli, Andülie, Andüdel	Substantiv		geräucherte Fleischwurst	kein_Trinken	1/1	1/1	1/1
EA01015	opponieren	Verb		refl. sich auflehnen, widersetzen	kein_Trinken	1/1	1/1	1/1
EA01058	Arrëst 	Substantiv		Arrest in der Schule	kein_Trinken	1/1	1/1	1/1
EA01244	Ürten	Substantiv	1.	Zeche, gemeinsamer Schmaus in einem Gasthaus	kein_Trinken	1/1	1/1	1/1
EA01277	Assurans	Substantiv		Feuerversicherung (die älteren Leute sagen meist in d Brandkass tuen); Versicherungsgesellschaft	kein_Trinken	1/1	1/1	1/1
EA01408	Äsche	Substantiv		Asche	kein_Trinken	1/1	1/1	1/1
EA01459	iteren, intrücken	Verb		wiederkäuen	kein_Trinken	1/1	1/1	1/1
EF00015	Veiol	Substantiv		Veilchen	kein_Trinken	1/1	1/1	1/1
EF00152	Fagotten	Substantiv		läppisches Zeug, Grimassen, wunderliche Gebärden und Bewegungen beim Sprechen	kein_Trinken	1/1	1/1	1/1
EF00161	Fëger	Substantiv	5.	ein Rausch	kein_Trinken	1/1	1/1	1/1
EF00250	Fockol	Substantiv		abknöpfbarer, nicht fest an das Hemd aufgenähter Kragen	kein_Trinken	1/1	1/1	1/1
EF00342	Vollheit	Substantiv		Trunkenheit, Zustand des Betrunkenseins	kein_Trinken	1/1	1/1	1/1
EF00447	Fahn, Fahnen	Substantiv	8.	Rausch	kein_Trinken	1/1	1/1	1/1
EF00620	Viertel	Substantiv	2.	Viertele eine Flasche, die 0,25 l fassen kann, sodann der Inhalt einer solchen Flasche	kein_Trinken	1/1	1/1	1/1
EF00794	First	Substantiv	1.	Giebelbalken, Dachträger, Dachfirste	kein_Trinken	1/1	1/1	1/1
EF00832	Fass	Substantiv	1.	Fass, hölzernes Gefäss, das meist zur Aufnahme von Flüssigkeiten, bes. von Wein, bestimmt ist	kein_Trinken	1/1	1/1	1/1
EF00900	Fusel	Substantiv		geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	0/1
EF00951	Fisch	Substantiv	2.	feste Bestandteile, die in einem vorgesetzten Getränk umherschwimmen, z. B. Pech im Bier und dgl	kein_Trinken	1/1	1/1	0/1
EF01011	Fëttich, Fëgten 	Substantiv	1.	Flügel  eines Vogels, einer Gans, einer Windmühle, eines Spinnrads; Rockflügel, Rockschoss, verächtl. herabhängende Fetzen	kein_Trinken	1/1	1/1	1/1
EF01024	Vitriol	Substantiv	2.	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EF01183	fliehen	Verb		fliehen	kein_Trinken	1/1	1/1	1/1
EF01232	Flum, Pflum	Substantiv		Flaum, Flaumfedern, junge weiche Härchen	kein_Trinken	1/1	1/1	1/1
EF01297	Flasch	Substantiv		Flasche	kein_Trinken	1/1	1/1	1/1
EF01337	Flutt	Substantiv	1.	Kloss aus Mehl, Kartoffeln	kein_Trinken	1/1	1/1	1/1
EF01395	Friden	Substantiv		Frieden, Ruhe, Ungestörtheit	kein_Trinken	1/1	1/1	1/1
EG00146	Gob	Substantiv		grüne Wanze	kein_Trinken	1/1	1/1	1/1
EG00197	geffen	Verb		dürfen	kein_Trinken	1/1	1/1	1/1
EG00198	geiferen	Verb	1.	Speichel oder Speise und Trank aus dem Munde fliessen lassen und dadurch die Kleider beschmutzen	kein_Trinken	1/1	1/1	1/1
